Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,3.7973301715755423E-4,1.777841249809629E-4,1.4405916303553888E-4,2.463057897883933E-4,3.2903248874311146E-4
BitRate blocking probability,1,all,all,all, ,3.965955747912034E-4,5.60829222535123E-4,4.198998443734852E-4,3.8591651277401594E-4,3.822159795353884E-4
BitRate blocking probability,2,all,all,all, ,9.277520812936461E-4,6.284605391279193E-4,9.428974984948505E-4,5.959819778929255E-4,0.001300041626416467
BitRate blocking probability,3,all,all,all, ,0.0013255156562865503,0.0011856568817576706,0.001362868110692714,0.0010789856148511183,0.0033134760463105523
BitRate blocking probability,4,all,all,all, ,0.008000331978721338,0.008451478233913345,0.007916816796937558,0.0084675684924395,0.008194222081236076


General requested bitRate,0,all,all,all, ,2.3537393266463804E16,2.3480982424228308E16,2.3664527330388452E16,2.3583052109412508E16,2.3531647224044396E16
General requested bitRate,1,all,all,all, ,2.3455827935492488E16,2.3685244521339636E16,2.3497044216105536E16,2.3487589119281252E16,2.3667833439651756E16
General requested bitRate,2,all,all,all, ,2.3609960221156648E16,2.3635773092641556E16,2.3707447388217308E16,2.3587515139518084E16,2.358520829950762E16
General requested bitRate,3,all,all,all, ,2.3720347199041148E16,2.3583639168141544E16,2.364209220876906E16,2.353429805398406E16,2.3479410819565352E16
General requested bitRate,4,all,all,all, ,2.34931441912331E16,2.3554101748078792E16,2.3633359224799188E16,2.3636162992161716E16,2.36249905050334E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


