Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,2.1231512718318516E-5,2.837793717494358E-5,4.126271854725543E-6,1.7525117671733854E-5,1.5615556299284445E-5
BitRate blocking probability,1,all,all,all, ,4.498202449246786E-5,3.689140990440141E-5,4.4790168205369944E-5,5.1017951611028356E-5,1.702798520800444E-5
BitRate blocking probability,2,all,all,all, ,1.734090190877929E-4,1.7215985961750637E-4,3.8225068042780215E-4,1.1638255709383784E-4,1.8960475635895334E-4
BitRate blocking probability,3,all,all,all, ,0.004169507795946136,0.004073301765423519,0.0037634329763794735,0.003875890883176993,0.003693240250032587
BitRate blocking probability,4,all,all,all, ,0.018574542138308704,0.0212547675803447,0.020046580650246077,0.020921973216883043,0.02203739118127986


General requested bitRate,0,all,all,all, ,2.3517286090219444E16,2.3609432728373712E16,2.370622837514016E16,2.345664166076596E16,2.354810166251362E16
General requested bitRate,1,all,all,all, ,2.350431896264116E16,2.3602879587417436E16,2.3608991943036612E16,2.3617240727659556E16,2.3556896255143876E16
General requested bitRate,2,all,all,all, ,2.3730555966447656E16,2.3575486687769936E16,2.359288463610696E16,2.3419959602504192E16,2.3685780915131196E16
General requested bitRate,3,all,all,all, ,2.3572938121502012E16,2.3690186753925816E16,2.3522327906242956E16,2.3480703080036032E16,2.3542517974196208E16
General requested bitRate,4,all,all,all, ,2.344147316791402E16,2.3424920152998064E16,2.3498667050207152E16,2.3500616105661176E16,2.357506726604258E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,4.113915264087906E-7,2.1275697028869497E-5,4.095903811784096E-5,0.0,3.720016965801891E-5
BitRate blocking probability by QoTN,4,all,all,all, ,7.317592849147499E-5,3.576195537784641E-5,1.6494835674228948E-4,8.223321593240325E-5,2.540132370191793E-7


BitRate blocking probability by QoTO,0,all,all,all, ,1.1005301012708868E-5,6.798445710202977E-6,4.126271854725543E-6,1.7525117671733854E-5,2.054414485125957E-6
BitRate blocking probability by QoTO,1,all,all,all, ,1.9951751316780578E-5,1.178446393816418E-5,9.021705403633951E-6,3.196826948275807E-5,3.821704479151728E-6
BitRate blocking probability by QoTO,2,all,all,all, ,1.1670035705044886E-4,1.2191884285268114E-4,3.2419609458120914E-4,1.0904248396313896E-4,1.2038782512288787E-4
BitRate blocking probability by QoTO,3,all,all,all, ,0.0013886997899498746,0.001518334093350618,0.0012413149522230308,0.0012678789147023758,0.0010960308473347252
BitRate blocking probability by QoTO,4,all,all,all, ,0.004162565402764207,0.004688475670533341,0.0034637815921998816,0.004416123418116529,0.0049720177309395715


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
