Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,2.33814965471798E-5,6.459057618603003E-5,5.799026027118603E-5,1.97499151807859E-5,5.6718202715140946E-5
BitRate blocking probability,1,all,all,all, ,3.252861288417145E-4,2.8959994998599853E-4,1.557490800622865E-4,1.7687120094355855E-4,2.5957931735989673E-4
BitRate blocking probability,2,all,all,all, ,0.001199508268799075,0.0010920715481233982,0.001438242481744013,0.001119048337456783,7.674409589730817E-4
BitRate blocking probability,3,all,all,all, ,0.002218949651612038,0.003577255839426375,0.0035184434835604608,0.0034852121913220065,0.0028449141338375847
BitRate blocking probability,4,all,all,all, ,0.011413564179061083,0.011379885138075576,0.01224057504850033,0.012079072921449309,0.011167130141753929


General requested bitRate,0,all,all,all, ,2.3609423403874572E16,2.3606334302026072E16,2.358399900649068E16,2.3565639701319812E16,2.363152360169354E16
General requested bitRate,1,all,all,all, ,2.3787247041844512E16,2.3550898968287164E16,2.35796112593986E16,2.3619046970549304E16,2.3581627920991104E16
General requested bitRate,2,all,all,all, ,2.358013750270286E16,2.3832964902768168E16,2.3552158787410884E16,2.3732504297331624E16,2.3746832674040476E16
General requested bitRate,3,all,all,all, ,2.3532752959221876E16,2.3795559115773232E16,2.3614674754847824E16,2.3713300113332996E16,2.3573644416997704E16
General requested bitRate,4,all,all,all, ,2.3575351230417288E16,2.368904204025398E16,2.3558679428545116E16,2.36519121148734E16,2.358902309666162E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,1.97499151807859E-5,5.6718202715140946E-5
BitRate blocking probability by QoTO,1,all,all,all, ,5.424294382772632E-5,1.0769934850283393E-4,4.3374154394257126E-5,2.3713612265000226E-5,1.0030366536435811E-4
BitRate blocking probability by QoTO,2,all,all,all, ,3.7512097921736355E-4,3.1920771503337193E-4,3.2233056033431395E-4,3.199461665524104E-4,1.8217325495484073E-4
BitRate blocking probability by QoTO,3,all,all,all, ,5.382507729502392E-4,7.091725089652124E-4,5.317757364916745E-4,5.689252147719653E-4,9.381431280640285E-4
BitRate blocking probability by QoTO,4,all,all,all, ,0.0023763159314673177,0.002234868260101458,0.00264408063297064,0.00208928364339054,0.0022395766308740133


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,4,all,all,all, ,4.3374254972533845E-5,5.937870906369502E-5,1.4295274216818933E-4,7.0762257324183986E-6,6.854984246976668E-5


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,2.33814965471798E-5,6.459057618603003E-5,5.799026027118603E-5,0.0,0.0
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,2.7104318501398823E-4,1.819006014831646E-4,1.1237492566802938E-4,1.5315758867855828E-4,1.5927565199553862E-4
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,8.243872895817117E-4,7.728638330900265E-4,0.0011159119214096988,7.991021709043729E-4,5.852677040182408E-4
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,0.0016806988786617985,0.002868083330461164,0.002986667747068787,0.002916286976550041,0.0019067710057735555
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.008993873992621219,0.009085638168910427,0.009453541673361496,0.009982713052326349,0.008859003668410158


BitRate blocking probability per core 0,0,all,all,all, ,0.029533834941279667,0.08142593117591256,0.05355866228584701,0.0,0.0
BitRate blocking probability per core 0,1,all,all,all, ,0.0465378143717339,0.0715475103713504,0.07968033651377096,0.07432976781793552,0.12980068852650883
BitRate blocking probability per core 0,2,all,all,all, ,0.09005951176869226,0.12415944440351662,0.12507668754728868,0.08195651103918246,0.07619614028526991
BitRate blocking probability per core 0,3,all,all,all, ,0.02874791548853658,0.07918920906318666,0.11202311799470281,0.09389057247071632,0.10659528662101089
BitRate blocking probability per core 0,4,all,all,all, ,0.3604142371825061,0.20006051253326435,0.3346273624871069,0.13853283788709314,0.3626576001340892
BitRate blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0012040617212634196,0.002954190156291959,0.007734043357229567
BitRate blocking probability per core 1,1,all,all,all, ,0.022567008244506824,0.014724632866455265,0.004491166001664697,0.007748380174211296,0.010979346793575357
BitRate blocking probability per core 1,2,all,all,all, ,0.05685373158886057,0.05198363365160843,0.07569226202320363,0.048029638253075886,0.039166350368001986
BitRate blocking probability per core 1,3,all,all,all, ,0.10011945744051108,0.1574082926688784,0.15615012541354256,0.15653495894339253,0.12075563426577653
BitRate blocking probability per core 1,4,all,all,all, ,0.24033683593957847,0.20249090395266645,0.22091838247256942,0.18722764244683102,0.20638410373201427
BitRate blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,2,all,all,all, ,0.0016597026253454097,0.0013791007564950238,0.0016858513807670164,0.001344812998123381,8.946065770046186E-4
BitRate blocking probability per core 2,3,all,all,all, ,0.0018520220602224952,0.0016813360273831295,0.0012074577551871696,0.0030994125727838552,0.0022496158090026122
BitRate blocking probability per core 2,4,all,all,all, ,0.016082519654265232,0.016698388472765537,0.017213351734499744,0.027531219170079724,0.0185988810701992
BitRate blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,4,all,all,all, ,0.004675537115568783,0.010326899615145105,0.007170921253687093,0.0067954325224002686,0.009079625079848106
BitRate blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,4,all,all,all, ,0.0014620423071380112,0.00269272440139424,0.004237427138824329,0.002368220535805223,0.002972933193986356
