Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.0011112754667672116,5.774062258271384E-4,9.834044945250368E-4,6.504376308711135E-4,7.795554450533691E-4
BitRate blocking probability,1,all,all,all, ,0.001984886705725535,0.002184793112930803,0.0019632366462560003,0.001967544798045264,0.0021534529946072114
BitRate blocking probability,2,all,all,all, ,0.007265967370960664,0.006739192449492483,0.008282901029436632,0.007535575599572282,0.007128640509756098
BitRate blocking probability,3,all,all,all, ,0.023102126825046317,0.02699472184183643,0.02414854195229131,0.02231977915486306,0.023338030398071734
BitRate blocking probability,4,all,all,all, ,0.051749712264592296,0.05176181403521371,0.055865054801517176,0.0533253259843316,0.054860197688483325


General requested bitRate,0,all,all,all, ,2.3766639297018212E16,2.3599385115401132E16,2.3549328692052292E16,2.367267432458016E16,2.3749666408259996E16
General requested bitRate,1,all,all,all, ,2.3579902551178728E16,2.3578270657336796E16,2.3550281431823468E16,2.3679738267297508E16,2.3554496063428324E16
General requested bitRate,2,all,all,all, ,2.3646092714304488E16,2.3442112647557776E16,2.3533955079616348E16,2.35643727689056E16,2.3666799694797404E16
General requested bitRate,3,all,all,all, ,2.3429003966795204E16,2.3569228401043116E16,2.3627298780309396E16,2.3617805987272284E16,2.3438807395808152E16
General requested bitRate,4,all,all,all, ,2.3406005716622944E16,2.3461010995209592E16,2.3483698707564324E16,2.3560907504218988E16,2.373496112289096E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,8.272729377841699E-4,3.7067431285952874E-4,5.46787860120992E-4,5.579768059765466E-4,6.928630266857523E-4
BitRate blocking probability by QoTO,1,all,all,all, ,0.0017508840031018325,0.001688998370612504,0.0016656142926108426,0.0016907131718582717,0.0017492299329931486
BitRate blocking probability by QoTO,2,all,all,all, ,0.005125891392337168,0.004637269068070863,0.005670347408170963,0.005370263651705375,0.005084117207156971
BitRate blocking probability by QoTO,3,all,all,all, ,0.011156021810276605,0.014096083274600766,0.011983104036573964,0.010744646012227521,0.012406655814094251
BitRate blocking probability by QoTO,4,all,all,all, ,0.01841629697935738,0.020205834301116676,0.019136651779978142,0.02213810667762216,0.024178158931970662


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,9.331985696026416E-5,1.129075518781532E-4,7.699087894115726E-5,5.808865141140455E-5,9.484687937699991E-6
BitRate blocking probability by Crosstalk,4,all,all,all, ,4.93605187924168E-4,8.655190797516735E-4,5.912183007486772E-4,6.233674473377478E-4,5.178056547694936E-4


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,2.840025289830418E-4,2.0673191296760973E-4,4.3661663440404505E-4,9.246082489456684E-5,8.669241836761677E-5
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,2.3400270262370195E-4,4.957947423182995E-4,2.9762235364515775E-4,2.768316261869922E-4,4.042230616140624E-4
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,0.0021400759786235016,0.00210192338142162,0.0026125536212656705,0.002165311947866911,0.0020445233025991275
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,0.011852785157809428,0.012785731015357576,0.01208844703677619,0.011517044491224177,0.01092188989603978
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.03283981009731067,0.030690460654345372,0.03613718472079039,0.03056385185937183,0.030164233101743113


BitRate blocking probability per core 0,0,all,all,all, ,0.022158339030555568,0.010674856993328815,0.021632885356720127,0.009552656608476368,0.01671307047928824
BitRate blocking probability per core 0,1,all,all,all, ,0.029655125440778873,0.034420588155828075,0.02684879275676472,0.030350827115582766,0.03421706195173437
BitRate blocking probability per core 0,2,all,all,all, ,0.059886862333806815,0.056032303866591825,0.058513712371863945,0.04554165248872485,0.04447553753753319
BitRate blocking probability per core 0,3,all,all,all, ,0.10259147332778393,0.11949453819444485,0.11662800438930741,0.07419731510894595,0.11507415246059619
BitRate blocking probability per core 0,4,all,all,all, ,0.1307040236393685,0.1866248581515872,0.15500439170093855,0.13323769801125357,0.11988298260158553
BitRate blocking probability per core 1,0,all,all,all, ,0.002149293421191148,0.001168629153686695,7.750113877827407E-4,0.0030757873543207546,9.21872826521936E-4
BitRate blocking probability per core 1,1,all,all,all, ,0.013173534862064441,0.013712752982575797,0.015072750848447882,0.012873471158182067,0.013266294442536464
BitRate blocking probability per core 1,2,all,all,all, ,0.0400685320591155,0.03442990817976444,0.049414204547771644,0.04630217395420437,0.038454323766872404
BitRate blocking probability per core 1,3,all,all,all, ,0.07692189457583497,0.09741843042703843,0.08566170735454305,0.08155380727681509,0.08893977105096958
BitRate blocking probability per core 1,4,all,all,all, ,0.1542891162091797,0.14497037758327624,0.15796566519743624,0.15194493029107445,0.15404384111018754
BitRate blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,2,all,all,all, ,0.008175775681407744,0.008255823325703515,0.008185043096034735,0.007867312430845416,0.009095143515021277
