Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability,1,all,all,all, ,0.0,0.0,2.355342716301988E-5,0.0,0.0
BitRate blocking probability,2,all,all,all, ,4.564238846883355E-5,2.3788555643809667E-5,3.921193595463865E-5,4.2149420111777234E-5,0.0
BitRate blocking probability,3,all,all,all, ,4.8040184689286593E-4,4.400901429840083E-4,8.288816230186702E-4,6.068282354532346E-4,5.509647014397183E-4
BitRate blocking probability,4,all,all,all, ,0.007108239691668384,0.0068306099192670805,0.006228080551647719,0.007970221191370344,0.008279495616543647


General requested bitRate,0,all,all,all, ,2.3681367779036652E16,2.3629516414981328E16,2.354505031868592E16,2.3622916919880048E16,2.3550914739586548E16
General requested bitRate,1,all,all,all, ,2.3578985318301416E16,2.3746266468696484E16,2.3476299752349508E16,2.3569584606011192E16,2.357530274310754E16
General requested bitRate,2,all,all,all, ,2.365445506820156E16,2.355417115710656E16,2.3473887593270052E16,2.3753221916579184E16,2.3644261061035832E16
General requested bitRate,3,all,all,all, ,2.3630157044142464E16,2.3593510838155544E16,2.3590597914699036E16,2.3553754598395872E16,2.3593340172913136E16
General requested bitRate,4,all,all,all, ,2.3593463969196472E16,2.3554938014211192E16,2.3421877181495236E16,2.3712253348897968E16,2.3531979589086624E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


