Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,3.0720443959964325E-4,1.2882766821920523E-4,1.1891784758695868E-4,1.7837677138043801E-4,2.972946189673967E-4
Blocking probability,1,all,all,all, ,2.774749777029036E-4,3.369339014963829E-4,2.1801605390942423E-4,2.972946189673967E-4,2.1801605390942423E-4
Blocking probability,2,all,all,all, ,4.063026459221088E-4,4.558517490833416E-4,4.45941928451095E-4,3.7657318402536916E-4,7.82875829947478E-4
Blocking probability,3,all,all,all, ,8.026954712119711E-4,5.945892379347934E-4,7.135070855217521E-4,5.846794173025469E-4,0.0015360221979982163
Blocking probability,4,all,all,all, ,0.004528788028936677,0.004667525517788128,0.004082846100485581,0.004429689822614211,0.0046179764146268955


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,2.5765533643841047E-4,1.0900802695471211E-4,1.0900802695471211E-4,1.585571301159449E-4,2.774749777029036E-4
Blocking probability by QoTO,1,all,all,all, ,2.3783569517391736E-4,2.972946189673967E-4,2.081062332771777E-4,2.873847983351501E-4,1.8828659201268458E-4
Blocking probability by QoTO,2,all,all,all, ,3.7657318402536916E-4,3.666633633931226E-4,4.162124665543554E-4,3.666633633931226E-4,4.063026459221088E-4
Blocking probability by QoTO,3,all,all,all, ,5.648597760380537E-4,3.369339014963829E-4,4.756713903478347E-4,4.2612228718660194E-4,9.414329600634228E-4
Blocking probability by QoTO,4,all,all,all, ,0.0027747497770290357,0.0020612426915072837,0.0023882667723714203,0.002616192646913091,0.002725200673867803


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,1.9819641264493113E-5,0.0,0.0,9.909820632246557E-6,0.0
Blocking probability by crosstalk,1,all,all,all, ,9.909820632246557E-6,9.909820632246557E-6,0.0,0.0,9.909820632246557E-6
Blocking probability by crosstalk,2,all,all,all, ,9.909820632246557E-6,9.909820632246557E-6,9.909820632246557E-6,9.909820632246557E-6,1.2882766821920523E-4
Blocking probability by crosstalk,3,all,all,all, ,6.93687444257259E-5,4.954910316123278E-5,4.954910316123278E-5,1.9819641264493113E-5,1.585571301159449E-4
Blocking probability by crosstalk,4,all,all,all, ,5.648597760380537E-4,6.144088791992865E-4,4.45941928451095E-4,8.9188385690219E-4,5.549499554058072E-4


Blocking probability by crosstalk in other,0,all,all,all, ,2.972946189673967E-5,1.9819641264493113E-5,9.909820632246557E-6,9.909820632246557E-6,1.9819641264493113E-5
Blocking probability by crosstalk in other,1,all,all,all, ,2.972946189673967E-5,2.972946189673967E-5,9.909820632246557E-6,9.909820632246557E-6,1.9819641264493113E-5
Blocking probability by crosstalk in other,2,all,all,all, ,1.9819641264493113E-5,7.927856505797245E-5,1.9819641264493113E-5,0.0,2.477455158061639E-4
Blocking probability by crosstalk in other,3,all,all,all, ,1.6846695074819145E-4,2.081062332771777E-4,1.8828659201268458E-4,1.387374888514518E-4,4.3603210781884846E-4
Blocking probability by crosstalk in other,4,all,all,all, ,0.0011891784758695867,0.0019918739470815576,0.001248637399663066,9.216133187989297E-4,0.0013378257853532852


Blocking probability per core 0,0,all,all,all, ,8.239494644328481E-4,2.735229759299781E-4,0.0,2.770083102493075E-4,0.0
Blocking probability per core 0,1,all,all,all, ,3.179650238473768E-4,3.1152647975077883E-4,0.0,0.0,3.0012004801920766E-4
Blocking probability per core 0,2,all,all,all, ,3.15955766192733E-4,3.246753246753247E-4,3.2509752925877764E-4,3.0553009471432935E-4,0.004234527687296417
Blocking probability per core 0,3,all,all,all, ,0.002148557397176182,0.0015451174289245982,0.0015852885225110971,6.25E-4,0.0051579626047711154
Blocking probability per core 0,4,all,all,all, ,0.0200845665961945,0.021487039563437928,0.015151515151515152,0.029880478087649404,0.018779342723004695
Blocking probability per core 1,0,all,all,all, ,2.0542317173377156E-4,0.0,0.0,0.0,4.2835724994645533E-4
Blocking probability per core 1,1,all,all,all, ,4.961548002976929E-4,2.3691068467187872E-4,2.3860653781913624E-4,0.0012212497455729697,2.4061597690086623E-4
Blocking probability per core 1,2,all,all,all, ,4.8579062424095217E-4,0.0,2.461235540241201E-4,4.729250413809411E-4,0.0
Blocking probability per core 1,3,all,all,all, ,0.008119079837618403,0.006026516673362796,0.006731340328647793,0.00825652841781874,0.00653044027807036
Blocking probability per core 1,4,all,all,all, ,0.034132705605414156,0.038895668090298964,0.03722902921771913,0.03564814814814815,0.03807868541633749
Blocking probability per core 2,0,all,all,all, ,0.0012585400934915498,1.7286084701815038E-4,1.779042874933286E-4,6.697923643670462E-4,1.9022256039566293E-4
Blocking probability per core 2,1,all,all,all, ,2.0968756552736424E-4,2.0733982998133942E-4,1.9204916458613405E-4,0.0,0.0
Blocking probability per core 2,2,all,all,all, ,0.00404040404040404,0.003312825366777094,0.005095332018408941,0.004814876307487963,0.002448408534452606
Blocking probability per core 2,3,all,all,all, ,0.00252190071675073,0.0011078286558345643,0.0016205266711681297,5.297311614355715E-4,0.006253190403266973
Blocking probability per core 2,4,all,all,all, ,0.00882708585247884,0.008076181292189007,0.00883476599808978,0.008191784122394892,0.011538928701566866
Blocking probability per core 3,0,all,all,all, ,0.0,4.631773969430292E-4,0.0,0.0,4.636068613815484E-4
Blocking probability per core 3,1,all,all,all, ,0.002295625557964545,0.0027892150351972373,0.001411631846414455,0.0012791358726549175,0.001455026455026455
Blocking probability per core 3,2,all,all,all, ,0.0012550988390335738,0.0010755001075500108,8.317737575379496E-4,6.554511688879179E-4,0.002168021680216802
Blocking probability per core 3,3,all,all,all, ,2.0165355918531962E-4,5.325380764724678E-4,6.283380458686773E-4,4.0351054171290223E-4,0.0018152480839048004
Blocking probability per core 3,4,all,all,all, ,0.004180033051424128,0.002611752887995982,0.0018246422740804764,0.002857142857142857,0.0027
Blocking probability per core 4,0,all,all,all, ,0.0010823682216690117,3.149275666596683E-4,6.282722513089005E-4,5.320280910832092E-4,0.001309823677581864
Blocking probability per core 4,1,all,all,all, ,3.1058311980743846E-4,4.582601390055755E-4,4.5072115384615387E-4,9.508716323296355E-4,5.482456140350877E-4
Blocking probability per core 4,2,all,all,all, ,7.211365111415591E-5,3.602045962106477E-4,2.1522347370686563E-4,0.0,5.536332179930796E-4
Blocking probability per core 4,3,all,all,all, ,2.8968713789107763E-4,3.5559348552734513E-4,4.218519299725796E-4,7.18803910293272E-5,5.536715343622396E-4
Blocking probability per core 4,4,all,all,all, ,0.0014516798009124845,0.0011088779541201747,0.0013356766256590509,7.871198568872987E-4,8.961808906659313E-4
Blocking probability per core 5,0,all,all,all, ,4.564820450395618E-4,2.537427048972342E-4,1.5828628713132487E-4,2.0998477610373247E-4,4.6490004649000463E-4
Blocking probability per core 5,1,all,all,all, ,0.0,1.9674388864295903E-4,1.5051173991571343E-4,1.4578676256195937E-4,9.774693318997116E-5
Blocking probability per core 5,2,all,all,all, ,5.179736869367036E-5,1.984126984126984E-4,4.938759383642829E-5,0.0,4.829103396469389E-4
Blocking probability per core 5,3,all,all,all, ,9.887773767736194E-5,1.5749685006299875E-4,2.1081479919890376E-4,2.063983488132095E-4,5.023863350916855E-4
Blocking probability per core 5,4,all,all,all, ,5.209690023443605E-4,0.0015108185399017968,4.7969299648225136E-4,4.586220953933958E-4,0.0010154346060113728
