Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,2.6756515707065704E-4,2.873847983351501E-4,2.477455158061639E-4,2.1801605390942423E-4,2.774749777029036E-4
Blocking probability,1,all,all,all, ,2.3783569517391736E-4,3.9639282528986224E-4,3.0720443959964325E-4,3.4684372212862946E-4,1.9819641264493112E-4
Blocking probability,2,all,all,all, ,4.558517490833416E-4,4.2612228718660194E-4,5.054008522445744E-4,3.4684372212862946E-4,4.6576156971558816E-4
Blocking probability,3,all,all,all, ,5.054008522445744E-4,7.333267267862452E-4,6.0449905856704E-4,7.630561886829848E-4,5.648597760380537E-4
Blocking probability,4,all,all,all, ,0.0033594291943315827,0.003468437221286295,0.0031116836785254186,0.00388464968784065,0.004300862154395005


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,9.909820632246557E-6,0.0,0.0,9.909820632246557E-6,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,9.909820632246557E-6,0.0,0.0,0.0
