Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.001221130705180055,0.0017209978529576454,9.278989941840321E-4,9.714458430247225E-4,0.001094099236150763
BitRate blocking probability,1,all,all,all, ,0.001797262210755775,0.0016615371443795181,0.001515353701763687,0.0015556719872160127,0.002852866065373816
BitRate blocking probability,2,all,all,all, ,0.001868886799036166,0.002450709387839043,0.002611059772883429,0.002214472299220908,0.0017300826760489627
BitRate blocking probability,3,all,all,all, ,0.003031540735760897,0.0036187791529929563,0.00330177938389843,0.005257240372899463,0.003456254970358105
BitRate blocking probability,4,all,all,all, ,0.00969131232393951,0.009900306938509957,0.00924899750284908,0.00884817322392424,0.010771734068030926


General requested bitRate,0,all,all,all, ,2.4164770409792108E16,2.407262922747864E16,2.4198992953315592E16,2.4205338945328348E16,2.420289172855792E16
General requested bitRate,1,all,all,all, ,2.4024964657229588E16,2.412431657781784E16,2.4068444398289532E16,2.4229934367112396E16,2.4000524819578128E16
General requested bitRate,2,all,all,all, ,2.3916138730581084E16,2.4147111253497584E16,2.4273735206282756E16,2.4236193377475136E16,2.4237698326598412E16
General requested bitRate,3,all,all,all, ,2.4094753649638004E16,2.4221563820915184E16,2.4204584586419312E16,2.4157232114796856E16,2.412994009279964E16
General requested bitRate,4,all,all,all, ,2.4412068253214452E16,2.4244309300898948E16,2.4048304353574772E16,2.418929569758952E16,2.4072142458737972E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,5.168364539084261E-6,1.9814438511782648E-5,0.0,2.4966948493875426E-5
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,5.3965823982916006E-5,0.0,1.0001501574014313E-5,2.1532114418450297E-4
BitRate blocking probability by QoTN,2,all,all,all, ,1.2354050681320585E-4,2.8681613214103128E-5,2.635458783220528E-4,5.0793176783090214E-5,2.7073674881612973E-5
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,7.797841632291645E-5,1.2275927615487456E-5,1.3498832816949443E-4,3.360223145777512E-5
BitRate blocking probability by QoTN,4,all,all,all, ,4.176853223606555E-4,5.31323096641818E-4,2.932409893153346E-4,6.395222613855876E-4,8.369172456515403E-4


BitRate blocking probability by QoTO,0,all,all,all, ,0.0011870727367260911,0.001700736177731817,8.399438698279019E-4,8.531815557845089E-4,0.001059484242868157
BitRate blocking probability by QoTO,1,all,all,all, ,0.0015987658776468146,0.001552196659905808,0.0013765190459170693,0.0012863692144491178,0.0023283685525116444
BitRate blocking probability by QoTO,2,all,all,all, ,0.0015948632144377644,0.0019877305598300127,0.002180070849316524,0.0018958663501610967,0.0012975640543973037
BitRate blocking probability by QoTO,3,all,all,all, ,0.0023922845985502434,0.002901288712671347,0.0022420103565159366,0.003279250008910716,0.0020816893785411683
BitRate blocking probability by QoTO,4,all,all,all, ,0.004989763313132922,0.003692911000701374,0.0047387347504191405,0.004668480542484608,0.005528431749443075


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,2.013307094449205E-5,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,6.015912122426918E-5,0.0,5.054724675978121E-5
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,8.238293667472716E-5,0.0,3.625364575122915E-5,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,9.540288232385443E-5,1.223275868469609E-4,6.032001385569875E-5,2.92756173067059E-4,3.5865089227006167E-4
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.0014836463590345052,0.001472350086413228,0.0018192383219388189,0.0018141052406907383,0.0028890836192066063


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,3.4057968453963755E-5,1.5093310686744675E-5,4.800761489985574E-5,1.1826428724021351E-4,9.648044788730452E-6
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,1.9849633310896057E-4,5.537466049079422E-5,7.867553462234858E-5,2.593012711928806E-4,2.5862912191788786E-4
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,1.5048307778519457E-4,3.5191427812019944E-4,1.6744304524485073E-4,2.31559126525492E-4,4.0544494677004586E-4
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,5.438532548867991E-4,5.171844371517308E-4,9.871730859113055E-4,0.0015502458627521904,9.823124680890963E-4
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.0028002173294114324,0.004203722754753529,0.002397783441175787,0.0017260651793633089,0.0015173014537297085


BitRate blocking probability per core 0,0,all,all,all, ,0.0,4.783079134323589E-4,0.006495088887868674,0.0013182848245612523,0.0015348545311581847
BitRate blocking probability per core 0,1,all,all,all, ,0.0030532127878362043,0.003142665573252454,0.003612943319568222,5.80825401003771E-4,0.01505472746165139
BitRate blocking probability per core 0,2,all,all,all, ,0.007243504360120196,0.0066466977599924,0.01558845279700855,0.00526708612772948,0.0016505129150254192
BitRate blocking probability per core 0,3,all,all,all, ,0.0057337053966298535,0.011892016190909708,0.00454444427353504,0.026704073301606634,0.024547339340952268
BitRate blocking probability per core 0,4,all,all,all, ,0.11031193715577274,0.1169813753642127,0.11907860536262045,0.13607344859940634,0.1885754549174541
BitRate blocking probability per core 1,0,all,all,all, ,0.00531950544616987,0.003977825348819992,9.22752218399916E-4,4.462363459436796E-4,0.0043517619961285095
BitRate blocking probability per core 1,1,all,all,all, ,5.972779879329503E-4,0.004027564267149756,0.004549182723419953,0.0028936283348930105,0.005995962742378899
BitRate blocking probability per core 1,2,all,all,all, ,0.013203695663673548,0.024337921841757554,0.023714317252869394,3.7880381459710845E-4,0.008339190941949988
BitRate blocking probability per core 1,3,all,all,all, ,0.033671269077494216,0.043780571201938775,0.030746715632750433,0.036178240070721374,0.028513897075623126
BitRate blocking probability per core 1,4,all,all,all, ,0.08076942085189709,0.07697035214552236,0.06338151945705962,0.059008547065090136,0.06337839018199368
BitRate blocking probability per core 2,0,all,all,all, ,0.005844262077733009,0.008118361066460194,0.0027693173565451657,0.006597400777869002,0.0018746280792104443
BitRate blocking probability per core 2,1,all,all,all, ,0.0027441219531715434,9.065943747225006E-4,7.394733090820188E-4,0.004998493407610087,0.010774821160893797
BitRate blocking probability per core 2,2,all,all,all, ,0.013483636657342426,0.004286700926775582,0.009537622022929116,0.023934608169597926,0.01108925215731338
BitRate blocking probability per core 2,3,all,all,all, ,0.007722984230843165,0.015205215774736696,0.015043905675793506,0.023409216275778785,0.018249225648730855
BitRate blocking probability per core 2,4,all,all,all, ,0.018354483195589286,0.03004528180099081,0.02424664789199289,0.024890001993776736,0.023527159986333177
BitRate blocking probability per core 3,0,all,all,all, ,0.0017087374014839653,0.005042668811965333,5.654363766611925E-4,7.335279894907159E-4,5.174886118519036E-4
BitRate blocking probability per core 3,1,all,all,all, ,0.01700428395073545,0.011102359470624257,0.009959413439395439,0.00980205597917222,0.009166707402932163
BitRate blocking probability per core 3,2,all,all,all, ,0.00422804371600964,0.007997033347428928,0.007641701251711538,0.006183450228037933,0.0054411446704175975
BitRate blocking probability per core 3,3,all,all,all, ,0.005186637885447413,0.002021138475555737,0.0035423465238798965,0.009203750961961094,0.0017003130414429656
BitRate blocking probability per core 3,4,all,all,all, ,0.010744356645352861,0.008720919422061374,0.010813512787297152,0.005374719093021089,0.00782996543621558
BitRate blocking probability per core 4,0,all,all,all, ,0.004061948903140151,0.004967564163667749,0.00368916373828672,0.0023662791951147783,0.0073704006461123945
BitRate blocking probability per core 4,1,all,all,all, ,0.0032645804953954495,0.0044806882157272295,0.003585110365468062,0.002243812792997101,0.008248650781757391
BitRate blocking probability per core 4,2,all,all,all, ,0.002402612713192133,0.0020431903200160933,8.175010868819659E-4,0.0018076011255008238,3.3420975793680086E-4
BitRate blocking probability per core 4,3,all,all,all, ,7.357068859671812E-4,0.0013189658939131246,7.432460110130007E-4,0.002887700262630949,0.0010389474597660626
BitRate blocking probability per core 4,4,all,all,all, ,0.001245878206704652,0.0028773362986974954,0.003197287174124418,0.001105816501783256,0.0019080615580388226
BitRate blocking probability per core 5,0,all,all,all, ,0.002054280402527197,0.002769112934058999,0.0016195792127007265,0.0020773405913939035,0.0013860362917117262
BitRate blocking probability per core 5,1,all,all,all, ,7.571584678416827E-4,7.692166005852907E-4,8.430180588817254E-4,9.412598228419881E-4,0.0018423248988416578
BitRate blocking probability per core 5,2,all,all,all, ,1.5574287473763882E-4,9.279409253664682E-4,9.920684737463022E-4,3.8954526358060974E-4,0.0010374168010170942
BitRate blocking probability per core 5,3,all,all,all, ,0.0012708490210342205,8.6628167151669E-4,0.0018353547973964698,0.002033250150285583,0.0013794022329903237
BitRate blocking probability per core 5,4,all,all,all, ,0.001479701050148301,0.0024308764339390086,0.0023568659516825107,0.0017601087915615906,0.001378860776155511
BitRate blocking probability per core 6,0,all,all,all, ,3.664871363824227E-7,2.6638116912081007E-4,3.520973486110656E-5,7.59821454705602E-5,3.7420855215869773E-6
BitRate blocking probability per core 6,1,all,all,all, ,7.613399781722006E-5,1.5150852914948642E-4,1.575746126295321E-4,5.632881985577865E-4,3.2541515795917467E-4
