Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,9.450228161944885E-4,0.0011119064861214562,6.29679171854703E-4,0.001082483887646334,8.843611939666091E-4
BitRate blocking probability,1,all,all,all, ,0.0016124673579075949,0.0018259205522891658,0.001975671654930607,0.0016969262900106599,0.0018702572079178882
BitRate blocking probability,2,all,all,all, ,0.00639105610346252,0.005386143340493145,0.005520870577852754,0.006547145776402891,0.00557703433648767
BitRate blocking probability,3,all,all,all, ,0.014009148568959403,0.015663213686321842,0.01526442498188005,0.014200446650176137,0.015116996079483852
BitRate blocking probability,4,all,all,all, ,0.024994477408374162,0.027171381495713024,0.028258124194384476,0.02770350484833332,0.031198976271573583


General requested bitRate,0,all,all,all, ,2.4211727928873532E16,2.4253123971700788E16,2.410802465426904E16,2.4193443790303772E16,2.420931400998248E16
General requested bitRate,1,all,all,all, ,2.4110839643656072E16,2.416965697212274E16,2.4163126875291268E16,2.4099529928772076E16,2.4096998580392996E16
General requested bitRate,2,all,all,all, ,2.4077027935537452E16,2.4115779300745556E16,2.421082597911804E16,2.4237465066375636E16,2.4047784950823088E16
General requested bitRate,3,all,all,all, ,2.4013396302827196E16,2.425449275951046E16,2.4168451419525588E16,2.4171284227527968E16,2.4241363867986528E16
General requested bitRate,4,all,all,all, ,2.3992160728552144E16,2.4170236473467424E16,2.3980057274718444E16,2.414601916513458E16,2.4214922063245612E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,8.535447470359888E-4,9.330752195855175E-4,5.308835461196265E-4,0.0010173885511893788,7.476454508152966E-4
BitRate blocking probability by QoTO,1,all,all,all, ,0.0014532123715758382,0.0015914459941811327,0.0017881359194091306,0.0014512365541671916,0.0017204661280735432
BitRate blocking probability by QoTO,2,all,all,all, ,0.004658864331416938,0.0035724453650503277,0.003897538355890102,0.004533811768858161,0.0042250148266248675
BitRate blocking probability by QoTO,3,all,all,all, ,0.006654198601665555,0.006663455386913963,0.007132392608062201,0.007045310836380691,0.007284282573565711
BitRate blocking probability by QoTO,4,all,all,all, ,0.00926230118965368,0.009162890147990068,0.01002805803687346,0.009460600544451084,0.01145949788657016


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,1.849432702611409E-4,3.889285485729297E-5,2.7901301461411114E-5,2.1104064522095022E-4,1.3356951912278195E-4
BitRate blocking probability by Crosstalk,3,all,all,all, ,3.305406661967477E-4,5.239798888071939E-4,3.2248796338618955E-4,3.5170671399507305E-4,6.74265830895155E-4
BitRate blocking probability by Crosstalk,4,all,all,all, ,6.410324682713395E-4,4.557833302674839E-4,9.563222885825605E-4,8.762144049851952E-4,0.0018916786128988455

