Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability,3,all,all,all, ,1.1932145544451257E-4,1.3586811915705454E-4,1.8112646143258714E-4,7.004220828089143E-5,1.2659588940431936E-4
BitRate blocking probability,4,all,all,all, ,0.0034876584353269262,0.00571619703441613,0.0037620346173181745,0.004373867453736484,0.004397469163414671


General requested bitRate,0,all,all,all, ,2.4143431425608672E16,2.4233290784607384E16,2.4211678469575484E16,2.39656815684908E16,2.4275675087375088E16
General requested bitRate,1,all,all,all, ,2.4138845910015672E16,2.414755465884172E16,2.4106718660432936E16,2.412981552969532E16,2.407597920182192E16
General requested bitRate,2,all,all,all, ,2.414093895980274E16,2.4073094850114588E16,2.4065854214157608E16,2.4245482762549972E16,2.4197478048429672E16
General requested bitRate,3,all,all,all, ,2.4049982176163332E16,2.4095167186312624E16,2.435619858859098E16,2.4131704911037688E16,2.4216960133583316E16
General requested bitRate,4,all,all,all, ,2.4191117743806008E16,2.4226373513583752E16,2.403986175842486E16,2.4164648361300512E16,2.4505273942866892E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTO,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
