Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.0010704554301284547,0.0014207862981704944,0.001050992604126119,8.077072790969249E-4,9.342156481121058E-4
Blocking probability,1,all,all,all, ,0.0012748151031529778,0.0014013234721681588,0.0011483067341377968,0.001226158038147139,0.001994939665239393
Blocking probability,2,all,all,all, ,0.0014694433631763332,0.0017613857532113662,0.0016738030362008563,0.001479174776177501,0.001313740755157649
Blocking probability,3,all,all,all, ,0.0018295056442195407,0.0021798365122615805,0.0018878941222265472,0.0032210977033865318,0.002150642273258077
Blocking probability,4,all,all,all, ,0.005916699104710004,0.006150253016738031,0.005955624756714675,0.005751265083690152,0.006948228882833788


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,9.731413001167769E-6,9.731413001167769E-6,0.0,9.731413001167769E-6
Blocking probability by QoTN,1,all,all,all, ,0.0,1.9462826002335538E-5,0.0,1.9462826002335538E-5,7.785130400934215E-5
Blocking probability by QoTN,2,all,all,all, ,5.8388478007006614E-5,1.9462826002335538E-5,7.785130400934215E-5,1.9462826002335538E-5,1.9462826002335538E-5
Blocking probability by QoTN,3,all,all,all, ,0.0,2.9194239003503307E-5,1.9462826002335538E-5,6.811989100817439E-5,1.9462826002335538E-5
Blocking probability by QoTN,4,all,all,all, ,2.0435967302452317E-4,2.0435967302452317E-4,1.9462826002335538E-4,3.211366290385364E-4,4.573764110548852E-4


Blocking probability by QoTO,0,all,all,all, ,0.0010607240171272869,0.0013623978201634877,9.73141300116777E-4,7.006617360840794E-4,9.050214091086026E-4
Blocking probability by QoTO,1,all,all,all, ,0.0011580381471389645,0.001313740755157649,0.0010607240171272869,0.0010801868431296224,0.0017613857532113662
