Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability,2,all,all,all, ,3.503308680420397E-4,4.963020630595563E-4,6.520046710782406E-4,4.768392370572207E-4,4.184507590502141E-4
Blocking probability,3,all,all,all, ,0.00279291553133515,0.0032697547683923707,0.0029680809653561697,0.002569093032308291,0.0034838458544180616
Blocking probability,4,all,all,all, ,0.005663682366679642,0.006880108991825613,0.007561307901907357,0.0057901907356948225,0.006549240949785909


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,2,all,all,all, ,0.0,9.731413001167769E-6,0.0,0.0,9.731413001167769E-6
Blocking probability by QoTO,3,all,all,all, ,9.731413001167769E-6,2.9194239003503307E-5,2.9194239003503307E-5,1.9462826002335538E-5,1.9462826002335538E-5
Blocking probability by QoTO,4,all,all,all, ,2.9194239003503307E-5,2.9194239003503307E-5,7.785130400934215E-5,5.8388478007006614E-5,4.8657065005838845E-5


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,2,all,all,all, ,1.557026080186843E-4,1.557026080186843E-4,1.3623978201634878E-4,1.7516543402101986E-4,1.2650836901518102E-4
Blocking probability by crosstalk,3,all,all,all, ,5.741533670688984E-4,0.0010217983651226157,7.493188010899183E-4,4.184507590502141E-4,7.979758660957571E-4
Blocking probability by crosstalk,4,all,all,all, ,7.395873880887505E-4,0.001683534449202024,0.0019268197742312184,0.0011969637991436357,0.0016154145581938498


Blocking probability by crosstalk in other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,2,all,all,all, ,1.9462826002335538E-4,3.308680420397042E-4,5.157648890618918E-4,3.016738030362009E-4,2.822109770338653E-4
Blocking probability by crosstalk in other,3,all,all,all, ,0.002209030751265084,0.0022187621642662516,0.0021895679252627483,0.0021311794472557415,0.0026664071623199686
Blocking probability by crosstalk in other,4,all,all,all, ,0.0048949007395873885,0.005167380303620086,0.0055566368236667964,0.00453483845854418,0.004885169326586221


Blocking probability per core 0,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,2,all,all,all, ,0.85,0.9473684210526315,0.7777777777777778,0.8571428571428571,0.8421052631578947
Blocking probability per core 0,3,all,all,all, ,0.9285714285714286,0.9401709401709402,0.9404761904761905,0.88,0.9340659340659341
Blocking probability per core 0,4,all,all,all, ,0.9069767441860465,0.9157894736842105,0.9502262443438914,0.9154929577464789,0.9289617486338798
Blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,2,all,all,all, ,0.11320754716981132,0.13333333333333333,0.32432432432432434,0.2,0.15151515151515152
Blocking probability per core 1,3,all,all,all, ,0.10625,0.1491395793499044,0.16791044776119404,0.1303724928366762,0.17729393468118196
Blocking probability per core 1,4,all,all,all, ,0.12098930481283422,0.1719077568134172,0.2225609756097561,0.20062370062370063,0.1642651296829971
Blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
