Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.005079797586609576,0.00658816660179058,0.005108991825613079,0.005858310626702997,0.005284157259634099
Blocking probability,1,all,all,all, ,0.004778123783573375,0.0070552744258466325,0.0058388478007006615,0.006208641494745037,0.006928766056831452
Blocking probability,2,all,all,all, ,0.006685480731802257,0.005984818995718178,0.008826391592059167,0.009001557026080187,0.0067244063838069286
Blocking probability,3,all,all,all, ,0.013030362008563643,0.008758271701050993,0.00907940833008953,0.010977033865317244,0.00859283768003114
Blocking probability,4,all,all,all, ,0.0170299727520436,0.015035033086804204,0.016514207862981706,0.0179349941611522,0.016485013623978202


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,9.731413001167769E-6,0.0,9.731413001167769E-6
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,9.731413001167769E-6,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,9.731413001167769E-6,3.8925652004671076E-5,9.731413001167769E-6,9.731413001167769E-6,2.9194239003503307E-5


Blocking probability by QoTO,0,all,all,all, ,0.0050408719346049045,0.00641300116776956,0.004875437913585053,0.005702608018684313,0.005138186064616582
Blocking probability by QoTO,1,all,all,all, ,0.0047586609575710394,0.007035811599844298,0.005770727909692487,0.006091864538731024,0.006607629427792916
Blocking probability by QoTO,2,all,all,all, ,0.006549240949785909,0.005906967691708836,0.008310626702997275,0.008583106267029973,0.006510315297781238
Blocking probability by QoTO,3,all,all,all, ,0.010850525496302063,0.007931101595951732,0.008252238224990268,0.009955235500194629,0.007687816270922538
Blocking probability by QoTO,4,all,all,all, ,0.012407551576488906,0.01159984429739198,0.01278707668353445,0.013799143635655898,0.01282600233553912


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,1.9462826002335538E-5
Blocking probability by crosstalk,2,all,all,all, ,0.0,0.0,7.785130400934215E-5,9.731413001167769E-6,1.9462826002335538E-5
Blocking probability by crosstalk,3,all,all,all, ,5.254963020630595E-4,9.731413001167769E-5,1.1677695601401323E-4,2.3355391202802646E-4,1.2650836901518102E-4
Blocking probability by crosstalk,4,all,all,all, ,0.0013332035811599843,0.0018392370572207085,0.001683534449202024,0.0012553522771506422,0.0016154145581938498


Blocking probability by crosstalk in other,0,all,all,all, ,3.8925652004671076E-5,1.7516543402101986E-4,2.3355391202802646E-4,1.557026080186843E-4,1.4597119501751654E-4
Blocking probability by crosstalk in other,1,all,all,all, ,1.9462826002335538E-5,1.9462826002335538E-5,5.8388478007006614E-5,1.1677695601401323E-4,2.919423900350331E-4
Blocking probability by crosstalk in other,2,all,all,all, ,1.3623978201634878E-4,7.785130400934215E-5,4.3791358505254965E-4,3.9898793304787855E-4,1.9462826002335538E-4
Blocking probability by crosstalk in other,3,all,all,all, ,0.0016543402101985207,7.298559750875827E-4,7.103931490852472E-4,7.882444530945893E-4,7.785130400934215E-4
Blocking probability by crosstalk in other,4,all,all,all, ,0.0032794861813935385,0.001557026080186843,0.0020338653172440636,0.0028707668353444922,0.0020144024912417285


Blocking probability per core 0,0,all,all,all, ,0.0039030402629416597,0.013105051786091735,0.016286644951140065,0.012187434334944316,0.008613617719442166
Blocking probability per core 0,1,all,all,all, ,2.1101498206372652E-4,4.2354934349851756E-4,0.0023605150214592273,0.001928433683308335,0.009388646288209608
Blocking probability per core 0,2,all,all,all, ,6.785795068988917E-4,6.423982869379015E-4,0.005459292665558984,0.005355404089581304,0.0011069293779056896
Blocking probability per core 0,3,all,all,all, ,0.014226146676477803,0.002491506228765572,0.003425439598081754,0.005491990846681922,0.006740058413839587
Blocking probability per core 0,4,all,all,all, ,0.036865234375,0.044231646146830825,0.04118886028551369,0.03185011709601874,0.04037339556592765
Blocking probability per core 1,0,all,all,all, ,0.017039922103213243,0.0027874564459930314,0.007246376811594203,0.019206349206349206,0.01957713390759593
Blocking probability per core 1,1,all,all,all, ,0.03993679069099267,0.03433678269049859,0.02509865824782952,0.05629691409507923,0.00725792175606302
Blocking probability per core 1,2,all,all,all, ,0.031292059219380886,0.061056348388995145,0.0,0.0020813623462630085,0.0495560011458035
Blocking probability per core 1,3,all,all,all, ,0.042075965946299934,0.07615256196224476,0.0814357390968738,0.0726531759415402,0.07211410290589176
Blocking probability per core 1,4,all,all,all, ,0.11286594761171033,0.09127934834690944,0.11520793036750483,0.11541510929890135,0.09728718428437792
Blocking probability per core 2,0,all,all,all, ,0.016582106174978344,0.017742147456958863,0.005577005577005577,0.0114308768154922,0.00887409872434831
Blocking probability per core 2,1,all,all,all, ,0.002884469409442842,0.01739874500855676,0.009332166812481774,0.0031002945279801583,0.037368625924484235
Blocking probability per core 2,2,all,all,all, ,0.03748770894788594,0.014949345193970842,0.06832027850304613,0.0673821641956185,0.025724976613657625
Blocking probability per core 2,3,all,all,all, ,0.06716183701223978,0.02305605786618445,0.01995798319327731,0.04796241669398012,0.021195469328249412
Blocking probability per core 2,4,all,all,all, ,0.03592630501535312,0.03043032786885246,0.03471643035863219,0.037694704049844235,0.03752190495825173
Blocking probability per core 3,0,all,all,all, ,0.0067559267903205995,0.01962996389891697,0.013492927094668117,0.005115393766357364,0.011056086606011747
Blocking probability per core 3,1,all,all,all, ,0.011965118637193267,0.025113215314944422,0.025174825174825177,0.013533674339300937,0.01722121824173488
Blocking probability per core 3,2,all,all,all, ,0.012745912995289554,0.0060863684668148,0.015191485490766852,0.019378766805748727,0.007533955857385399
Blocking probability per core 3,3,all,all,all, ,0.016464237516869096,0.003968603933327454,0.006801470588235294,0.007404103479036575,0.005981074808069987
Blocking probability per core 3,4,all,all,all, ,0.009292227529309596,0.012770304784607526,0.007614213197969543,0.013811443767693232,0.017983699503897943
Blocking probability per core 4,0,all,all,all, ,0.00927793465106898,0.013303075358009234,0.012293446156302387,0.016885119506553584,0.009979879275653924
Blocking probability per core 4,1,all,all,all, ,0.004413753826439809,0.007179414273528575,0.006556169429097606,0.004445071615042687,0.009453555826111867
Blocking probability per core 4,2,all,all,all, ,0.0023584905660377358,6.325999859422226E-4,0.003869128427912028,0.002603992788943046,0.0020006898930665746
Blocking probability per core 4,3,all,all,all, ,0.0032669271667414004,0.0013922959623417091,0.0014480352794049892,0.0013304064391671656,0.0012065151819827067
Blocking probability per core 4,4,all,all,all, ,0.003317172748150038,0.0031423895253682487,0.0046198267564966315,0.005473382420016941,0.0026679116921229907
Blocking probability per core 5,0,all,all,all, ,0.0035212966089431287,0.00497679092692731,0.0034303682881509363,0.0029015442116651913,0.0038424591738712775
Blocking probability per core 5,1,all,all,all, ,5.252100840336134E-4,0.0013432766686738617,9.337504085158038E-4,6.005173688100518E-4,0.0016273771330264566
Blocking probability per core 5,2,all,all,all, ,6.602839220864972E-4,0.0,8.876845449448701E-4,7.400212756116739E-4,6.64042119242992E-4
Blocking probability per core 5,3,all,all,all, ,0.0023234861776281475,9.981534161800669E-5,1.4461315979754158E-4,0.0013253183130591186,9.503896597605018E-4
Blocking probability per core 5,4,all,all,all, ,0.0053369245348895205,0.002200488997555012,0.0012479600652779111,0.0013090982327173858,0.001304726007538417
Blocking probability per core 6,0,all,all,all, ,4.954933698268132E-4,3.7968675842429994E-4,2.851914347505763E-4,3.9948302197156623E-4,2.832928067234826E-4
Blocking probability per core 6,1,all,all,all, ,5.047955577990914E-5,2.0369191597708467E-4,1.2530386186502269E-4,2.5482251611752413E-5,2.753648584374296E-4
Blocking probability per core 6,2,all,all,all, ,1.6047500601781272E-4,1.0722135849461212E-4,3.5133236041295067E-4,5.142640610620907E-4,1.5912164850027846E-4
