Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,6.342285204637796E-4,7.630561886829848E-4,5.648597760380537E-4,5.945892379347934E-4,3.666633633931226E-4
Blocking probability,1,all,all,all, ,6.24318699831533E-4,4.6576156971558816E-4,4.2612228718660194E-4,4.162124665543554E-4,4.3603210781884846E-4
Blocking probability,2,all,all,all, ,5.351303141413141E-4,4.063026459221088E-4,6.837776236250124E-4,3.7657318402536916E-4,4.6576156971558816E-4
Blocking probability,3,all,all,all, ,0.0010900802695471212,0.001902685561391339,0.0013477356059855316,0.0017540382519076404,0.001248637399663066
Blocking probability,4,all,all,all, ,0.00773956991378456,0.006689128926766426,0.00713507085521752,0.0072044395996432465,0.007818848478842533


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,6.144088791992865E-4,7.432365474184917E-4,5.648597760380537E-4,5.846794173025469E-4,3.5675354276087603E-4
Blocking probability by QoTO,1,all,all,all, ,6.144088791992865E-4,4.558517490833416E-4,4.2612228718660194E-4,4.162124665543554E-4,4.3603210781884846E-4
