Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.0016293492824903074,0.001820286980844051,0.0014997871087725312,0.0021480715494805753,0.001415408705889727
BitRate blocking probability,1,all,all,all, ,0.0016980701360309169,0.001316466013633055,0.0021779871551358475,0.0018137279853770998,0.0015396233504721517
BitRate blocking probability,2,all,all,all, ,0.002920642624221948,0.002758481324231004,0.0033440267328043284,0.002413215808624183,0.002313467735394574
BitRate blocking probability,3,all,all,all, ,0.008643349961482723,0.008623462948560555,0.010352923834525971,0.009311236513267667,0.0070345898463301595
BitRate blocking probability,4,all,all,all, ,0.02761597806426051,0.027644212380300025,0.033169936413253664,0.03253825774624676,0.02780472510642686


General requested bitRate,0,all,all,all, ,2.3570893064881444E16,2.3469477081892832E16,2.350779738943726E16,2.353216113555926E16,2.3641021390404772E16
General requested bitRate,1,all,all,all, ,2.3678017172134064E16,2.3539343328540716E16,2.362782454622462E16,2.3559830283304596E16,2.3700076785386012E16
General requested bitRate,2,all,all,all, ,2.3649523348125056E16,2.3469187471328888E16,2.3479735640708036E16,2.3631521671585496E16,2.3656164245040016E16
General requested bitRate,3,all,all,all, ,2.355227470566772E16,2.3762654136990764E16,2.3709227381508912E16,2.356263249706362E16,2.3545787763767116E16
General requested bitRate,4,all,all,all, ,2.3512830901128964E16,2.3541926889061904E16,2.371692954589324E16,2.379691074296192E16,2.340513179421166E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.0015515346260672044,0.0018135562808262139,0.0014782533838213336,0.0021480715494805753,0.001415408705889727
BitRate blocking probability by QoTO,1,all,all,all, ,0.0016715321240795289,0.001303556130081132,0.0021779871551358475,0.0017686581590793974,0.0015201809233608393
BitRate blocking probability by QoTO,2,all,all,all, ,0.0028552357328703246,0.0026989977996995295,0.0033440267328043284,0.0023588489591405922,0.002280650898274944
BitRate blocking probability by QoTO,3,all,all,all, ,0.00749731776121257,0.007911998675525252,0.009266351803413696,0.008301597341005749,0.006124230070982293
BitRate blocking probability by QoTO,4,all,all,all, ,0.02030572677483434,0.020535020487375082,0.023866523774874294,0.023159951005879743,0.019682141885720924


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,2.2952640624719606E-4,1.826048153158615E-4,1.1337792902316651E-4,6.23306883724181E-5,1.6349118017453286E-4
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.0032389840015659157,0.00236614718002734,0.004537556187515932,0.0038033265876286763,0.002883142585685548


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,7.78146564231029E-5,6.730700017837392E-6,2.153372495119736E-5,0.0,0.0
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,2.6538011951388056E-5,1.2909883551923038E-5,0.0,4.506982629770263E-5,1.944242711131193E-5
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,6.540689135162293E-5,5.948352453147513E-5,0.0,5.436684948359099E-5,3.2816837119629365E-5
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,9.165057940229582E-4,5.288594577194423E-4,9.731941020891123E-4,9.473084838895033E-4,7.468685951733321E-4
