Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,1,all,all, ,-29.699954034655445,-26.038035991036963,0.0,-35.08032148304189,0.0
Average Crosstalk per overlaps,0,2,all,all, ,-28.204087428429034,-25.924202656604653,-27.08580642801341,-28.104875458908168,-31.033033646818133
Average Crosstalk per overlaps,0,3,all,all, ,-28.419640472434367,-29.51511279165595,-28.949950972724157,0.0,0.0
Average Crosstalk per overlaps,0,4,all,all, ,-26.062960172211156,0.0,-26.738425092148994,-29.10782428708533,0.0
Average Crosstalk per overlaps,0,5,all,all, ,-23.37464587154347,-24.1498468541623,-26.20944082747397,-21.805802493493648,0.0
Average Crosstalk per overlaps,0,6,all,all, ,-23.7935955864786,0.0,0.0,0.0,-22.315913682365547
Average Crosstalk per overlaps,0,7,all,all, ,-22.269999921735845,0.0,0.0,-28.654047142352177,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,1,all,all, ,-28.188947954020726,-30.74363119244046,-29.810276758668735,-30.680523853394895,-29.801394873616296
Average Crosstalk per overlaps,1,2,all,all, ,-27.521217821226497,-26.980739210710833,-30.0240710665212,-30.68387921500201,-26.547724575556646
Average Crosstalk per overlaps,1,3,all,all, ,-25.121855308223623,0.0,-26.273882919379382,-22.758040149714578,-25.2816749047554
Average Crosstalk per overlaps,1,4,all,all, ,0.0,-25.741346651145758,-24.71941132868243,-26.746419647462012,-25.719510008067218
Average Crosstalk per overlaps,1,5,all,all, ,-25.032142902158206,-29.298560223067373,-25.42250947451077,-28.204415830107695,0.0
Average Crosstalk per overlaps,1,6,all,all, ,-23.192664330118326,0.0,-23.7640654070135,-24.103749106929474,0.0
Average Crosstalk per overlaps,1,7,all,all, ,0.0,-23.576699319307952,-24.79448521165463,-20.58783487960408,0.0
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
