Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.05569459341357804,0.05699672261396365,0.05505798713162285,0.05723056137806344,0.054304438486744114
Percentage of cicuits per modulation,0,8QAM,all, ,0.3763754816668653,0.3692918859866918,0.3733219477321471,0.3671358890555616,0.37707278323900306
Percentage of cicuits per modulation,0,16QAM,all, ,0.23983037381321257,0.23779918561922733,0.24121256652633252,0.2390252625095616,0.24124714526859298
Percentage of cicuits per modulation,0,32QAM,all, ,0.1143189131212013,0.11483762041910815,0.11423663515767733,0.11513664404994883,0.11443749379406216
Percentage of cicuits per modulation,0,64QAM,all, ,0.21378063798514282,0.22107458536100905,0.2161708634522202,0.22147164300686448,0.21293813921159765
Percentage of cicuits per modulation,1,4QAM,all, ,0.06882028052608574,0.06509480790231312,0.0681226525704974,0.06671300893743794,0.06637207685815004
Percentage of cicuits per modulation,1,8QAM,all, ,0.42710692573608294,0.4329593964062345,0.4212257308082113,0.4312909632571996,0.4299389305396952
Percentage of cicuits per modulation,1,16QAM,all, ,0.23665911709778678,0.23896555147423806,0.23376920172492596,0.23700099304865938,0.23557916687354152
Percentage of cicuits per modulation,1,32QAM,all, ,0.10635951841697461,0.1082299215725206,0.10852328053894,0.10781529294935452,0.10882279926518047
Percentage of cicuits per modulation,1,64QAM,all, ,0.1610541582230699,0.15475032264469374,0.16835913435742533,0.15717974180734856,0.1592870264634328
Percentage of cicuits per modulation,2,4QAM,all, ,0.07783883693891544,0.07590181854317798,0.07695289977533451,0.0763521837618726,0.07342740733379707
Percentage of cicuits per modulation,2,8QAM,all, ,0.4572745972910932,0.4617907184736162,0.45740302602540905,0.45786472201247863,0.46496074729206
Percentage of cicuits per modulation,2,16QAM,all, ,0.22787212687939104,0.2295637483851734,0.229347674811619,0.23061638119461114,0.23061711219318295
Percentage of cicuits per modulation,2,32QAM,all, ,0.10472915900666793,0.10300109311338566,0.10408175437898881,0.10393236100623932,0.10531650601212363
Percentage of cicuits per modulation,2,64QAM,all, ,0.13228527988393238,0.12974262148464671,0.13221464500864863,0.13123435202479833,0.12567822716883634
Percentage of cicuits per modulation,3,4QAM,all, ,0.08492034974248414,0.08401432833438102,0.08561014579588576,0.08506665335263867,0.08577749872933298
Percentage of cicuits per modulation,3,8QAM,all, ,0.4791691619754861,0.48261342433222576,0.47882963850609145,0.48118228568575566,0.4807207422688632
Percentage of cicuits per modulation,3,16QAM,all, ,0.22313051463249092,0.22148052803304696,0.2219193129618534,0.22264716161565729,0.2230693335725177
Percentage of cicuits per modulation,3,32QAM,all, ,0.10043118936399568,0.10164536374612107,0.1005791891352107,0.09980528234060612,0.10071655654219112
Percentage of cicuits per modulation,3,64QAM,all, ,0.11234878428554318,0.11024635555422516,0.11306171360095865,0.11129861700534226,0.109715868887095
Percentage of cicuits per modulation,4,4QAM,all, ,0.09536324764725505,0.09215137711971397,0.0929728415571786,0.09297922319873639,0.09213878442314691
Percentage of cicuits per modulation,4,8QAM,all, ,0.48724817289516514,0.48969306440698507,0.49339019621747016,0.4929832732574622,0.4926402199846334
Percentage of cicuits per modulation,4,16QAM,all, ,0.21786772064249396,0.22154104089444607,0.21660909468480607,0.2175286541654854,0.21616320918759352
Percentage of cicuits per modulation,4,32QAM,all, ,0.10132724129913977,0.09693872398016382,0.09935472107134537,0.0997326961240938,0.09997371507137369
Percentage of cicuits per modulation,4,64QAM,all, ,0.0981936175159461,0.09967579359869105,0.09767314646919983,0.09677615325422219,0.09908407133325246


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.038751837285981014,0.04049061475816863,0.039171101755500835,0.04023325352910205,0.038288154105848474
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.005621101974337584,0.005819843082729169,0.005103661927079196,0.005642589630748139,0.005212987786714328
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.003058832876494657,0.0033667692918859867,0.0030284375248232583,0.0032782651023712784,0.003147651673120842
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.0068227863186747706,0.0057403913000297945,0.0061462387798872035,0.006407518154634771,0.006235726342964949
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.001440034958090017,0.0015791041811500646,0.0016085471443323537,0.0016689349612071963,0.0014199185780955218
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.17779962658403844,0.17158605621213627,0.1752224163952657,0.1697147909360937,0.178443054314368
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.05924005879315139,0.0589333598172609,0.059466597823496704,0.05793588508190696,0.058762784231953136
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.049894728478925836,0.04911113318105075,0.048693303677813965,0.05030646811638834,0.050302849766656735
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.0645532912247249,0.06378985003476015,0.06411351179601239,0.06374735503611059,0.06387647701320624
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.02488777658602471,0.025871486741483762,0.025826118039558345,0.02543138988506204,0.025687617912818986
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.09937234338378421,0.09821233488926408,0.10064341885773294,0.09850689925791999,0.09965246748088571
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.04621022524133,0.04701559241235475,0.04678687743267932,0.046312945173499695,0.04650978055803793
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.06899257140587137,0.06797100009931473,0.0695448407339741,0.06882369887644914,0.07013206235726344
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.02525523378222699,0.024600258218293772,0.024237429501946142,0.025381719201692778,0.02495283487240592
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.0017776983275731935,0.002035951931671467,0.0025419016601795218,0.002374258665050714,0.0020355476119551185
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.046855758153577245,0.04734333101598967,0.047372706330923824,0.048617664881833444,0.04768146162248039
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.021501211615619912,0.021303009236269738,0.020643021685598537,0.0206431360082652,0.020971105153410784
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.03367695546816033,0.03358824113616049,0.03382913654777981,0.03366678918768565,0.03393903286664681
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.010507289556270607,0.010567087099016784,0.009849868933195647,0.009834795307113835,0.009810346539569059
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.11292853454097644,0.12116396861654584,0.11681825403129717,0.11972621519326863,0.11296792771323602
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.05621101974337584,0.0562419306783196,0.05521685598538407,0.05585965051707181,0.05512858703207229
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.013009971000675326,0.01277187406892442,0.012421558503455398,0.013550162423134617,0.01350412074272664
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.026645612362451835,0.02591121263283345,0.02652116927476368,0.027149995529638496,0.0261344454373945
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.00498550033766337,0.004985599364385738,0.005193025657319882,0.005185619343750931,0.0052030582861682054
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,0.04751261572694401,0.04652040107217314,0.04650146062280161,0.04674280039721947,0.04690928950896182
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.006357531688322009,0.005797676958205103,0.006677132807376642,0.006732869910625621,0.006255895933667643
