Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,1,all,all, ,-32.429177238791794,-29.458566426965678,-29.291246790509472,-30.15707188590938,-37.91331015236129
Average Crosstalk per overlaps,0,2,all,all, ,-26.100492064981783,-25.603578679309123,-30.68571473819467,-28.337045177547708,0.0
Average Crosstalk per overlaps,0,5,all,all, ,-26.18493858526392,-24.136754521637698,0.0,0.0,0.0
Average Crosstalk per overlaps,0,7,all,all, ,-25.616881144948792,0.0,-22.50696087812816,0.0,-24.938719115400716
Average Crosstalk per overlaps,0,9,all,all, ,-23.712415710034303,-23.430816986717037,-21.864863772720216,0.0,-25.245640008458423
Average Crosstalk per overlaps,0,12,all,all, ,-25.506129235552603,0.0,0.0,-20.328874338705518,0.0
Average Crosstalk per overlaps,0,14,all,all, ,-21.95817799329045,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,0,18,all,all, ,-22.60492607461568,-19.464439609507515,0.0,0.0,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,1,all,all, ,0.0,-32.36723259425367,-26.84303485275086,-30.560069019537185,0.0
Average Crosstalk per overlaps,1,2,all,all, ,-27.8517646559033,-26.07833605383909,-28.95125792536001,-27.347782301491478,-27.219322570455482
Average Crosstalk per overlaps,1,5,all,all, ,-23.23103976914122,-24.78733195792813,-20.08724456846138,-24.072881802462966,-24.112413848382356
Average Crosstalk per overlaps,1,7,all,all, ,-23.78841204885819,-20.84240128646277,-21.717693330546023,-24.186557776237436,-22.987916859151802
Average Crosstalk per overlaps,1,9,all,all, ,0.0,-22.07752221567324,-21.62124963616269,0.0,-21.759975781651768
Average Crosstalk per overlaps,1,12,all,all, ,0.0,-19.871003960665938,-20.556421415969854,-21.01838886927229,0.0
Average Crosstalk per overlaps,1,14,all,all, ,-19.639581936162177,0.0,-22.855053512402623,0.0,-21.957986001969118
Average Crosstalk per overlaps,1,18,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,1,all,all, ,-31.48036171101476,-27.43436119537397,-31.075161495692914,-29.60947602574916,-30.530404299499587
Average Crosstalk per overlaps,2,2,all,all, ,-29.206068090721107,-28.533443991381294,-26.965226155779582,-26.954137949626556,-28.797507794610514
Average Crosstalk per overlaps,2,5,all,all, ,-24.777959682712662,-23.80049234521001,-24.842239184940134,-24.429783019635536,-23.9020908728095
Average Crosstalk per overlaps,2,7,all,all, ,-22.34446592688088,-24.002720241516712,-23.86970352151897,-24.321580200447308,-23.78302442291811
Average Crosstalk per overlaps,2,9,all,all, ,-22.520936447982535,-23.738498709966645,-23.850281852587933,-20.79716069653817,-23.75543415029226
Average Crosstalk per overlaps,2,12,all,all, ,0.0,0.0,0.0,-23.79238389838234,-25.56161478478041
Average Crosstalk per overlaps,2,14,all,all, ,-21.323095468502572,-22.52075496673242,0.0,0.0,0.0
Average Crosstalk per overlaps,2,18,all,all, ,0.0,0.0,0.0,0.0,-19.100528688362836
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,1,all,all, ,-30.111525211669807,-30.100542452593864,-30.964124298279238,-33.55204624707922,-30.96040750749371
Average Crosstalk per overlaps,3,2,all,all, ,-27.766502588603903,-28.42823088103509,-28.556594715750464,-27.774013195356762,-28.75539194799469
Average Crosstalk per overlaps,3,5,all,all, ,-24.975928437789737,-23.66167436574931,-24.505767450800096,-24.80932518040367,-25.861788658171367
