Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,6.563919603554524E-4,8.327141912469834E-4,0.0011623100121425085,2.3540490240850001E-4,8.407680867510653E-4
BitRate blocking probability,1,all,all,all, ,7.277564488896411E-4,6.355763397453246E-4,9.922771031298228E-4,7.628512339990092E-4,0.0012993632785986194
BitRate blocking probability,2,all,all,all, ,9.501038095567011E-4,8.167336880688064E-4,0.0014554217416072387,0.0012931549778252972,0.0012095687297255095
BitRate blocking probability,3,all,all,all, ,0.00276446521600937,0.0026922200244170053,0.0021423868813998832,0.0030069684931113548,0.0037098958895144677
BitRate blocking probability,4,all,all,all, ,0.011823138592661113,0.015483697285386748,0.015543668264346666,0.01432166182562319,0.01193206635207206


General requested bitRate,0,all,all,all, ,2.3625949852524188E16,2.3548835857775772E16,2.3507630403853528E16,2.3635216595967932E16,2.353754424434396E16
General requested bitRate,1,all,all,all, ,2.3588552732501288E16,2.350510642169644E16,2.3664222392385812E16,2.3477002948718964E16,2.3631637352730976E16
General requested bitRate,2,all,all,all, ,2.3574556782169896E16,2.3709624689671096E16,2.3717662112090308E16,2.3585869977557612E16,2.3612322385648156E16
General requested bitRate,3,all,all,all, ,2.3639869468879088E16,2.35283954876376E16,2.3650826171280136E16,2.371480274023434E16,2.350694856891814E16
General requested bitRate,4,all,all,all, ,2.360299511310614E16,2.3601816084949932E16,2.3668915249205064E16,2.364876334751992E16,2.3536522563177932E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,1.9386977502894397E-5,1.2011476019576716E-5,4.419806971515726E-5,1.442325085530212E-5,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,6.563919603554524E-4,8.327141912469834E-4,0.0011200894935604394,2.3439158818328672E-4,8.407680867510653E-4
BitRate blocking probability by QoTO,1,all,all,all, ,6.873409987576762E-4,6.355763397453246E-4,9.633125078077532E-4,7.627372892249335E-4,0.0012993632785986194
BitRate blocking probability by QoTO,2,all,all,all, ,9.484157135614106E-4,8.111659350350159E-4,0.001387669808332944,0.0012140904706114581,0.0011424895844823948
BitRate blocking probability by QoTO,3,all,all,all, ,0.002112076660817753,0.002284698672479094,0.001735881609423542,0.0026998614297413766,0.003248331980637254
BitRate blocking probability by QoTO,4,all,all,all, ,0.00812950115180331,0.011227236994974896,0.009527067063476929,0.008732929638934713,0.007810979731042929


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,3.0400905263815197E-4,5.6133766875836365E-5,0.0,0.0,7.690629665371869E-5
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.0015746158862214301,0.002873158335627871,0.0024462558534642342,0.0026781745913792014,0.0013940816530748211


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,0.0,0.0,4.222051858206933E-5,1.0133142252132655E-6,0.0
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,4.0415450131964856E-5,0.0,2.8964595322069438E-5,1.1394477407579139E-7,0.0
