Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.00210088197403627,0.0030125854722029533,0.0026657417500743235,0.002348627489842434,0.002725200673867803
Blocking probability,1,all,all,all, ,0.002834208700822515,0.0030224952928351997,0.002794569418293529,0.002636012288177584,0.0027648399563967893
Blocking probability,2,all,all,all, ,0.004271132692498266,0.004409870181349718,0.0053711227826776335,0.004528788028936677,0.004588246952730156
Blocking probability,3,all,all,all, ,0.008274700227925874,0.009166584084828065,0.008581904667525517,0.008790010900802695,0.009008026954712119
Blocking probability,4,all,all,all, ,0.02377365969675949,0.020761074224556534,0.022703399068476862,0.022723218709741352,0.023099791893766722


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,0.00210088197403627,0.0030026756515707065,0.0026657417500743235,0.0023387176692101874,0.0027152908532355564
Blocking probability by QoTO,1,all,all,all, ,0.0028044792389257753,0.002972946189673967,0.0027648399563967893,0.0026261024675453375,0.0027648399563967893
Blocking probability by QoTO,2,all,all,all, ,0.004261222871866019,0.004330591616291745,0.005341393320780894,0.004449509463878704,0.00451887820830443
Blocking probability by QoTO,3,all,all,all, ,0.007719750272520067,0.008552175205628778,0.008017044891487465,0.008254880586661382,0.00837379843424834
Blocking probability by QoTO,4,all,all,all, ,0.01948270736299673,0.016935883460509366,0.01766921018729561,0.018491725299772076,0.017817857496779308


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,3,all,all,all, ,9.909820632246557E-6,8.918838569021901E-5,2.972946189673967E-5,6.93687444257259E-5,4.954910316123278E-5
Blocking probability by crosstalk,4,all,all,all, ,0.0017936775344366267,0.0012783668615598057,8.126052918442176E-4,0.001139629372708354,0.0014765632742047368


Blocking probability by crosstalk in other,0,all,all,all, ,0.0,9.909820632246557E-6,0.0,9.909820632246557E-6,9.909820632246557E-6
Blocking probability by crosstalk in other,1,all,all,all, ,2.972946189673967E-5,4.954910316123278E-5,2.972946189673967E-5,9.909820632246557E-6,0.0
Blocking probability by crosstalk in other,2,all,all,all, ,9.909820632246557E-6,7.927856505797245E-5,2.972946189673967E-5,7.927856505797245E-5,6.93687444257259E-5
Blocking probability by crosstalk in other,3,all,all,all, ,5.450401347735606E-4,5.252204935090674E-4,5.351303141413141E-4,4.6576156971558816E-4,5.846794173025469E-4
Blocking probability by crosstalk in other,4,all,all,all, ,0.002497274799326132,0.002546823902487365,0.004221583589337033,0.0030918640372609254,0.003805371122782678


Blocking probability per core 0,0,all,all,all, ,0.0011769321302471558,0.0031496062992125984,0.0019743336623889436,9.723842862699338E-4,0.0013908205841446453
Blocking probability per core 0,1,all,all,all, ,0.0011027790030877812,0.002244165170556553,0.0019793270288102046,2.155636990730761E-4,0.0
Blocking probability per core 0,2,all,all,all, ,2.453385672227674E-4,0.0017690169320192064,4.954173891503591E-4,0.0014433485686793362,4.975124378109452E-4
Blocking probability per core 0,3,all,all,all, ,2.7464982147761604E-4,0.002793296089385475,0.0016769144773616546,0.0035802809143486644,0.005195515449822259
Blocking probability per core 0,4,all,all,all, ,0.05667655786350148,0.03997595431319507,0.030303030303030304,0.03791887125220458,0.047379330766952915
Blocking probability per core 1,0,all,all,all, ,0.010436295115234091,0.003814973772055317,0.003891681530728069,0.011393903521751998,0.009194327567399097
Blocking probability per core 1,1,all,all,all, ,0.02057807100219918,0.02413793103448276,0.02453122797123925,0.021558630735615442,0.02502108518414394
Blocking probability per core 1,2,all,all,all, ,0.04465334900117509,0.04259501965923984,0.05294265593561368,0.04928598508783015,0.04312524956741648
Blocking probability per core 1,3,all,all,all, ,0.06790525858322469,0.07373271889400922,0.07348431233781552,0.06992293744333636,0.07102908277404922
Blocking probability per core 1,4,all,all,all, ,0.1320419055149239,0.11243810078648413,0.1309211852449103,0.12265171633716927,0.13214467651553743
Blocking probability per core 2,0,all,all,all, ,0.006347972535302501,0.009738527214514408,0.012976901116013496,0.008550280755487494,0.010309278350515464
Blocking probability per core 2,1,all,all,all, ,0.012645131624324636,0.011652411057394323,0.00716580182851495,0.009903297215425842,0.008614413977190002
Blocking probability per core 2,2,all,all,all, ,0.008061094611794654,0.010413311862587225,0.01002963300661044,0.00512652705061082,0.011539275883972052
Blocking probability per core 2,3,all,all,all, ,0.014755848946704203,0.015786924939467314,0.014208766716196137,0.012505921364282331,0.01773559582015147
Blocking probability per core 2,4,all,all,all, ,0.029364610581385536,0.038539020758518,0.037477384337038,0.04162598739682258,0.04292839330245814
Blocking probability per core 3,0,all,all,all, ,0.006382756095008894,0.01138811942136042,0.008727053866987662,0.0046026388462718625,0.009017132551848512
Blocking probability per core 3,1,all,all,all, ,0.0030373414329104877,0.001729631315430132,0.0032701111837802484,0.0023491824844953956,0.001907703488372093
Blocking probability per core 3,2,all,all,all, ,0.0010392309690828788,9.992505620784412E-4,0.0013959599277385448,8.532423208191126E-4,0.0015481207534187667
Blocking probability per core 3,3,all,all,all, ,0.0027228317450148152,0.0025161188866173927,0.0031966754575241747,0.005655117483074472,0.003168065895770632
Blocking probability per core 3,4,all,all,all, ,0.0211573379647904,0.012913026965438662,0.013451520099525698,0.0141155712395236,0.01236722306525038
Blocking probability per core 4,0,all,all,all, ,0.0013539514002707902,0.004970884817497514,0.0024573683818601534,0.002526566099427807,0.002475968540635013
Blocking probability per core 4,1,all,all,all, ,4.1197473221642406E-4,9.301089556205156E-4,3.9460703715882934E-4,3.9344262295081965E-4,6.018054162487463E-4
Blocking probability per core 4,2,all,all,all, ,0.0,2.5974025974025974E-4,6.255473539346928E-4,1.3030164831585118E-4,1.2495314257153568E-4
