Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.015572924923612797,0.014397214147857414,0.016929888213674128,0.014111201556707179,0.01426977622810904
BitRate blocking probability,1,all,all,all, ,0.015339180251287207,0.01335384921706427,0.014642685488084999,0.014530617624087711,0.014556831581330892
BitRate blocking probability,2,all,all,all, ,0.014714132041170332,0.015077361851322076,0.014910273017713709,0.015697883838890467,0.014506053671648473
BitRate blocking probability,3,all,all,all, ,0.017054443455850242,0.018214373546370257,0.01772419260525116,0.017075747543268217,0.016155283951633053
BitRate blocking probability,4,all,all,all, ,0.036633452207036905,0.032152997376003065,0.03490985945861221,0.03565515489095833,0.032717941760761336


General requested bitRate,0,all,all,all, ,2.3616698899603132E16,2.3455396384606208E16,2.3701212696550756E16,2.3554032289826452E16,2.3662645230772624E16
General requested bitRate,1,all,all,all, ,2.3771421984068368E16,2.349418808992446E16,2.3469167422006424E16,2.3492800930318036E16,2.353473121350962E16
General requested bitRate,2,all,all,all, ,2.3610497252682744E16,2.3619471918355768E16,2.36385596592991E16,2.383399072426104E16,2.340216374086426E16
General requested bitRate,3,all,all,all, ,2.3655583718885416E16,2.3640577692105592E16,2.3427542842617576E16,2.3579000327860088E16,2.3675431613093768E16
General requested bitRate,4,all,all,all, ,2.3565108935166076E16,2.3515628815029232E16,2.3519895679577664E16,2.3557312742117288E16,2.36419525284508E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.010328701022708246,0.008901896528213955,0.012525340333088567,0.009477668842347558,0.009765742410071498
BitRate blocking probability by QoTN,1,all,all,all, ,0.005470112658419392,0.004958349089192361,0.005759233883349477,0.0045378725785828545,0.005021349487938028
BitRate blocking probability by QoTN,2,all,all,all, ,0.0019623197774864243,0.0030922695524591274,0.003470052469872252,0.002740189619608836,0.0030970159246709408
BitRate blocking probability by QoTN,3,all,all,all, ,0.0012320637513266374,0.0010606276687925424,0.0015973248856755431,0.0014156800453482235,0.001657146594285439
BitRate blocking probability by QoTN,4,all,all,all, ,6.572771164568855E-4,4.172701198988158E-4,0.0011686308409044263,3.929596557939348E-4,6.163272686807806E-4


BitRate blocking probability by QoTO,0,all,all,all, ,1.1164447757272088E-5,0.0,0.0,6.917828733016598E-6,0.0
BitRate blocking probability by QoTO,1,all,all,all, ,8.345595707424624E-6,4.596868402286465E-5,0.0,1.4221735218840098E-5,0.0
BitRate blocking probability by QoTO,2,all,all,all, ,6.933656542145205E-5,1.958527370929723E-4,2.716139426024404E-4,1.28141988479327E-4,5.2776978921674134E-5
BitRate blocking probability by QoTO,3,all,all,all, ,8.897039803703069E-4,8.244343155200048E-4,9.045838547844902E-4,5.244459629302845E-4,9.022165875699849E-4
BitRate blocking probability by QoTO,4,all,all,all, ,0.002413755306942834,0.0030035843971736565,0.0023043486420594203,0.0025117065044557157,0.001845469404309159


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.005221459354004559,0.005495317619643477,0.004397784949641474,0.004623293689824359,0.0045020108237862075
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.009857677171956533,0.00833487065459578,0.008883451604735533,0.009975497394125067,0.009523660594991766
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.012651264307942146,0.01177104357473015,0.011163332430225513,0.012804240586874507,0.011354265459241628
BitRate blocking probability by Crosstalk,3,all,all,all, ,0.014620537525085376,0.01578779839152078,0.014820243795431275,0.014798896390051816,0.013232682205956837
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.031352726650652085,0.027400952392139716,0.02957639408256953,0.030550270918592814,0.028800268593890625


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,1.1600099142726446E-5,0.0,6.762930944114496E-6,3.3211958022426854E-6,2.0229942513233603E-6
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,3.044825203849789E-6,1.4660789253268838E-5,0.0,3.0259161609703333E-6,1.1821498401107063E-5
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,3.1211390320324486E-5,1.8195987039801063E-5,5.274175013501951E-6,2.5311643927791628E-5,1.995308814236945E-6
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,3.1213819906792523E-4,5.415131705369273E-4,4.020400693598732E-4,3.3672514493790723E-4,3.6323856382080606E-4
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.002209693132985099,0.00133119046679087,0.0018604858930787915,0.002200217812115884,0.001455876493880738


BitRate blocking probability per core 0,0,all,all,all, ,0.4825739352736514,0.4728589744858033,0.5096911491432838,0.4604450786176962,0.4700343313685045
BitRate blocking probability per core 0,1,all,all,all, ,0.5135857380411818,0.47954736467019266,0.5065510374209982,0.4820677918191382,0.500269773408166
BitRate blocking probability per core 0,2,all,all,all, ,0.5349465249892408,0.522908639548254,0.5207567235944629,0.5441650085154335,0.5262810300569564
BitRate blocking probability per core 0,3,all,all,all, ,0.5910605952535111,0.6012651476122436,0.6006407396354222,0.6014435742404007,0.578924244663443
BitRate blocking probability per core 0,4,all,all,all, ,0.7686272481968563,0.7524508863947473,0.7724786251064286,0.7591858583669814,0.7643276357870309
BitRate blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 1,1,all,all,all, ,0.0,0.0016424970384094763,0.0,0.0,0.0
BitRate blocking probability per core 1,2,all,all,all, ,0.0015953410313812155,0.004577049602103662,0.003910480066838739,0.0027435120299089013,0.0013121047219157589
BitRate blocking probability per core 1,3,all,all,all, ,0.012779492081887717,0.010383750852052506,0.010722996412950232,0.004753513276380779,0.011646182239856235
BitRate blocking probability per core 1,4,all,all,all, ,0.019830294911081067,0.025290464740341217,0.015511671814043521,0.02899087592589575,0.019768626941438213
BitRate blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0013335086915323537,3.2365684158660533E-4,0.0
BitRate blocking probability per core 2,3,all,all,all, ,0.0015112098221685083,0.00424570093565093,0.002540005601875522,0.001026930676281594,0.002664728043508127
BitRate blocking probability per core 2,4,all,all,all, ,0.009620952683333265,0.011107825164291037,0.014308965383322126,0.009820599747622479,0.0053436685713078545
BitRate blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,3,all,all,all, ,6.005922124283351E-4,1.765596344204E-4,0.002048037782547999,6.097287849696766E-4,0.0015344482916829468
BitRate blocking probability per core 3,4,all,all,all, ,0.011567147098373406,0.005031446974646082,0.004871919596738475,0.007017362429548694,0.00459812284583002
BitRate blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,3,all,all,all, ,4.1724542496235747E-4,4.248986954242296E-4,1.7093981347455944E-4,6.881700337857096E-4,0.0
BitRate blocking probability per core 4,4,all,all,all, ,0.0017116072450011437,0.0017865138035204696,0.0023675610247133024,0.0017977936108230172,7.813729433030774E-4
BitRate blocking probability per core 5,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
