Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.00713507085521752,0.006629670002972946,0.007382816371023684,0.006748587850559905,0.006728768209295412
Blocking probability,1,all,all,all, ,0.006817956594985631,0.0064612030522247545,0.0066990387473986725,0.006669309285501932,0.006857595877514617
Blocking probability,2,all,all,all, ,0.006798136953721137,0.007055792290159548,0.0071152512139530276,0.006996333366366069,0.007045882469527301
Blocking probability,3,all,all,all, ,0.00869091269448023,0.00888910910712516,0.008294519869190367,0.008393618075512832,0.008244970766029135
Blocking probability,4,all,all,all, ,0.019036765434545636,0.017134079873154295,0.0179863244475275,0.01832325834902388,0.016618769200277474


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.004756713903478347,0.0042909523337627585,0.005242295114458428,0.004548607670201169,0.004528788028936677
Blocking probability by QoTN,1,all,all,all, ,0.002318898027945694,0.002299078386681201,0.002695471211971063,0.0022891685660489545,0.002507184619958379
Blocking probability by QoTN,2,all,all,all, ,0.0010405311663858885,0.0014171043504112575,0.00149638291546923,0.0012783668615598057,0.0015459320186304627
Blocking probability by QoTN,3,all,all,all, ,6.738678029927658E-4,5.846794173025469E-4,7.035972648895055E-4,6.738678029927658E-4,7.135070855217521E-4
Blocking probability by QoTN,4,all,all,all, ,2.972946189673967E-4,2.873847983351501E-4,4.2612228718660194E-4,2.6756515707065704E-4,2.774749777029036E-4


Blocking probability by QoTO,0,all,all,all, ,1.9819641264493113E-5,0.0,0.0,9.909820632246557E-6,0.0
Blocking probability by QoTO,1,all,all,all, ,9.909820632246557E-6,1.9819641264493113E-5,0.0,2.972946189673967E-5,0.0
Blocking probability by QoTO,2,all,all,all, ,7.927856505797245E-5,8.918838569021901E-5,1.387374888514518E-4,9.909820632246556E-5,4.954910316123278E-5
Blocking probability by QoTO,3,all,all,all, ,4.2612228718660194E-4,5.747695966703002E-4,4.8558121098008124E-4,3.369339014963829E-4,4.162124665543554E-4
Blocking probability by QoTO,4,all,all,all, ,0.0016450302249529283,0.0017936775344366267,0.0014567436329402438,0.0014369239916757507,0.001248637399663066


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0023387176692101874,0.0023387176692101874,0.0021306114359330094,0.0021801605390942423,0.0021900703597264887
Blocking probability by crosstalk,1,all,all,all, ,0.004479238925775443,0.004102665741750075,0.004003567535427609,0.004340501436923992,0.004330591616291745
Blocking probability by crosstalk,2,all,all,all, ,0.005628778119116044,0.005519770092161332,0.005470220989000099,0.005608958477851551,0.00544049152710336
Blocking probability by crosstalk,3,all,all,all, ,0.007412545832920424,0.00751164403924289,0.006917054801308096,0.007194529779011,0.00690714498067585
Blocking probability by crosstalk,4,all,all,all, ,0.01576652462590427,0.014299871172331781,0.015112476464175998,0.015300763056188682,0.014171043504112576


Blocking probability by crosstalk in other,0,all,all,all, ,1.9819641264493113E-5,0.0,9.909820632246557E-6,9.909820632246557E-6,9.909820632246557E-6
Blocking probability by crosstalk in other,1,all,all,all, ,9.909820632246557E-6,3.963928252898623E-5,0.0,9.909820632246557E-6,1.9819641264493113E-5
Blocking probability by crosstalk in other,2,all,all,all, ,4.954910316123278E-5,2.972946189673967E-5,9.909820632246557E-6,9.909820632246557E-6,9.909820632246557E-6
Blocking probability by crosstalk in other,3,all,all,all, ,1.7837677138043801E-4,2.1801605390942423E-4,1.8828659201268458E-4,1.8828659201268458E-4,2.081062332771777E-4
Blocking probability by crosstalk in other,4,all,all,all, ,0.0013279159647210386,7.531463680507383E-4,9.909820632246556E-4,0.001318006144088792,9.216133187989297E-4


Blocking probability per core 0,0,all,all,all, ,0.23506366307541626,0.22248087795144664,0.2546138072453862,0.23258196721311475,0.2289278489548213
Blocking probability per core 0,1,all,all,all, ,0.2360205831903945,0.2222222222222222,0.23472222222222222,0.22984972677595628,0.23658119658119658
Blocking probability per core 0,2,all,all,all, ,0.24051081943951755,0.24075342465753424,0.23695725345001684,0.2479515496971856,0.25295592977427445
Blocking probability per core 0,3,all,all,all, ,0.31728155339805825,0.31102661596958175,0.3171534348004936,0.31507936507936507,0.31116485288190243
Blocking probability per core 0,4,all,all,all, ,0.5203330131284022,0.5,0.5231589470176607,0.48641136504014826,0.5029320455329424
Blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,1,all,all,all, ,0.0,4.895960832313342E-4,0.0,0.0,0.0
