Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.2742975082730868,0.27733029119277264,0.27656900388575645,0.27735254389914454,0.27627721217997553
Percentage of cicuits per modulation,0,8QAM,all, ,0.1070716155291893,0.10796142012652539,0.10388921558453539,0.1055888430944712,0.10455479372994436
Percentage of cicuits per modulation,0,16QAM,all, ,0.27773357777854646,0.27902421036862907,0.27937089948920174,0.28089680093282077,0.2782048618325369
Percentage of cicuits per modulation,0,32QAM,all, ,0.1685288318516725,0.16744448669639667,0.17010850138941735,0.16780383056835105,0.16790174758178084
Percentage of cicuits per modulation,0,64QAM,all, ,0.17236846656750493,0.16823959161567625,0.17006237965108906,0.16835798150521247,0.1730613846757624
Percentage of cicuits per modulation,1,4QAM,all, ,0.27810835120736177,0.2787888586077879,0.2778629650552821,0.276549055841081,0.2758720092245604
Percentage of cicuits per modulation,1,8QAM,all, ,0.1043612629442561,0.10644833479606448,0.10545672550353367,0.10583819368250852,0.1082732776016143
Percentage of cicuits per modulation,1,16QAM,all, ,0.2801840448349824,0.27898517252528987,0.27950009799739445,0.2775192007853554,0.27937734217353705
Percentage of cicuits per modulation,1,32QAM,all, ,0.1669664890795452,0.16827567093168275,0.16797906314490932,0.1682162037304383,0.16761026232343615
Percentage of cicuits per modulation,1,64QAM,all, ,0.17037985193385458,0.167501963139175,0.16920114829888053,0.17187734596061674,0.16886710867685212
Percentage of cicuits per modulation,2,4QAM,all, ,0.2782303662504904,0.2765115688943228,0.2766028674993651,0.27847911550744187,0.2744707923655292
Percentage of cicuits per modulation,2,8QAM,all, ,0.1060441716092405,0.10913746568548294,0.10579964444854893,0.10578863025859186,0.10806246385193753
Percentage of cicuits per modulation,2,16QAM,all, ,0.27917657104613325,0.27864541281229094,0.27913097684298016,0.2778911446984632,0.28050896471949105
Percentage of cicuits per modulation,2,32QAM,all, ,0.16699360734808796,0.1671318830884219,0.16785953408907256,0.16787143038310334,0.1657836899942163
Percentage of cicuits per modulation,2,64QAM,all, ,0.16955528374604786,0.1685736695194814,0.17060697712003325,0.16996967915239972,0.17117408906882592
