Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,3.963928252898623E-5,5.945892379347934E-5,1.9819641264493113E-5,1.9819641264493113E-5,5.945892379347934E-5
Blocking probability,1,all,all,all, ,9.909820632246556E-5,1.0900802695471211E-4,1.0900802695471211E-4,6.93687444257259E-5,4.954910316123278E-5
Blocking probability,2,all,all,all, ,2.5765533643841047E-4,1.6846695074819145E-4,3.0720443959964325E-4,1.585571301159449E-4,3.0720443959964325E-4
Blocking probability,3,all,all,all, ,0.002497274799326132,0.002368447131106927,0.0023882667723714203,0.002209890000990982,0.002170250718461996
Blocking probability,4,all,all,all, ,0.01107917946685165,0.011862055296799128,0.01139629372708354,0.011614309780992964,0.012139530274502031


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,9.909820632246557E-6,9.909820632246557E-6,3.963928252898623E-5,0.0,2.972946189673967E-5
Blocking probability by QoTN,4,all,all,all, ,3.963928252898623E-5,3.963928252898623E-5,4.954910316123278E-5,3.963928252898623E-5,9.909820632246557E-6


Blocking probability by QoTO,0,all,all,all, ,1.9819641264493113E-5,1.9819641264493113E-5,1.9819641264493113E-5,1.9819641264493113E-5,9.909820632246557E-6
Blocking probability by QoTO,1,all,all,all, ,2.972946189673967E-5,2.972946189673967E-5,2.972946189673967E-5,9.909820632246557E-6,1.9819641264493113E-5
Blocking probability by QoTO,2,all,all,all, ,1.387374888514518E-4,9.909820632246556E-5,2.3783569517391736E-4,1.1891784758695868E-4,1.585571301159449E-4
Blocking probability by QoTO,3,all,all,all, ,0.0010008918838569022,9.117034981666832E-4,8.026954712119711E-4,8.126052918442176E-4,8.026954712119711E-4
Blocking probability by QoTO,4,all,all,all, ,0.0029828560103062137,0.0030224952928351997,0.0026657417500743235,0.003081954216628679,0.0032999702705381034


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,2,all,all,all, ,3.963928252898623E-5,0.0,9.909820632246557E-6,9.909820632246557E-6,9.909820632246557E-6
Blocking probability by crosstalk,3,all,all,all, ,0.0013378257853532852,0.001298186502824299,0.0011990882965018333,0.0011693588346050937,0.0010999900901793678
Blocking probability by crosstalk,4,all,all,all, ,0.006966603904469329,0.007759389555049054,0.007333267267862452,0.007531463680507383,0.008036864532751957


