Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,3,all,all, ,-28.927900303521316,0.0,-26.375175252488255,0.0,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,3,all,all, ,-29.55580860211587,0.0,0.0,-28.696132105693252,-27.96549192730206
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,3,all,all, ,-26.327258169312113,0.0,-26.649284753429157,-25.75369618499981,0.0
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,3,all,all, ,-26.09318075446183,-23.11930709392502,-23.76994998234997,-22.770485029407233,-25.001495513185787
Average Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,4,3,all,all, ,-25.141339577341697,-24.461761808646855,-25.036569968114602,-24.75645647327664,-24.32193263995053


Minimum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,0,3,all,all, ,-28.927900303521316,0.0,-26.375175252488255,0.0,0.0
Minimum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,1,3,all,all, ,-29.55580860211587,0.0,0.0,-29.55580860211587,-29.385475209128067
Minimum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,2,3,all,all, ,-30.634862575211066,0.0,-29.55580860211587,-25.75369618499981,0.0
Minimum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,3,3,all,all, ,-33.53520868883625,-29.55580860211587,-27.788466780452946,-27.166987712964502,-30.524908732196433
Minimum Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,4,3,all,all, ,-30.846755565910446,-29.882112024029098,-31.426675035687314,-33.53520868883625,-32.39577516576788


Maximum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,0,3,all,all, ,-28.927900303521316,0.0,-26.375175252488255,0.0,0.0
Maximum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,1,3,all,all, ,-29.55580860211587,0.0,0.0,-27.836455609270633,-26.54550864547606
Maximum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,2,3,all,all, ,-21.14638779968488,0.0,-23.74276090474244,-25.75369618499981,0.0
Maximum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,3,3,all,all, ,-19.965394678904936,-20.634862575211066,-19.385475209128067,-19.385475209128067,-19.89700043360188
