Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.07303827324440569,0.07365416633631967,0.07403773734490823,0.07410710746422484,0.07453619281693491
Percentage of cicuits per modulation,0,8QAM,all, ,0.15596693952787744,0.1591413620867359,0.15748008086573909,0.15901613350774962,0.15741695076508364
Percentage of cicuits per modulation,0,16QAM,all, ,0.2617386478504747,0.2617933877745183,0.2636857335394617,0.25962262655091767,0.2629727265519702
Percentage of cicuits per modulation,0,32QAM,all, ,0.14418369571680573,0.14501902798699753,0.14207991437745274,0.1433186665081064,0.14313605010703243
Percentage of cicuits per modulation,0,64QAM,all, ,0.36507244366043645,0.36039205581542855,0.36271653387243824,0.36393546596900145,0.36193807975897885
Percentage of cicuits per modulation,1,4QAM,all, ,0.08773042616451933,0.08807817718708807,0.08767183024608767,0.0869547981725023,0.0873990386997671
Percentage of cicuits per modulation,1,8QAM,all, ,0.17448959365708622,0.173985867055174,0.17376782723317377,0.17412762752346314,0.17671076755363957
Percentage of cicuits per modulation,1,16QAM,all, ,0.2727353815659068,0.2733723822832734,0.2743040069772743,0.27288584085706075,0.2704028541697636
Percentage of cicuits per modulation,1,32QAM,all, ,0.142398414271556,0.14315305404414316,0.14184481511214184,0.14344469440948238,0.14211386948119517
Percentage of cicuits per modulation,1,64QAM,all, ,0.3226461843409316,0.3214105194303214,0.32241152043132243,0.3225870390374915,0.3233734700956345
Percentage of cicuits per modulation,2,4QAM,all, ,0.10402045914119186,0.10035384020695191,0.10147800830698163,0.09938152912958154,0.10081384629110123
Percentage of cicuits per modulation,2,8QAM,all, ,0.18836485468458825,0.18524575540424013,0.18892931135320531,0.18336075485162645,0.1859455387146978
Percentage of cicuits per modulation,2,16QAM,all, ,0.27861702549462747,0.2775514654138543,0.28029619643335085,0.2824746763930462,0.27775850276073316
Percentage of cicuits per modulation,2,32QAM,all, ,0.14162800840569367,0.14292369143548114,0.1415160737120709,0.1433881102939719,0.13954341339624698
Percentage of cicuits per modulation,2,64QAM,all, ,0.2873696522738987,0.2939252475394725,0.2877804101943913,0.29139492933177397,0.29593869883722085
Percentage of cicuits per modulation,3,4QAM,all, ,0.11065191042937471,0.11448182694122438,0.11152390507504793,0.11256666699772562,0.11089372436464033
Percentage of cicuits per modulation,3,8QAM,all, ,0.19159927675892627,0.19112753424521461,0.19241275864466717,0.19453355448071746,0.19268852231083214
Percentage of cicuits per modulation,3,16QAM,all, ,0.285710028015657,0.28664660130524183,0.2814272516862192,0.2855482832937718,0.28429551797082164
Percentage of cicuits per modulation,3,32QAM,all, ,0.1428897852132965,0.14025886302907492,0.1438277920710447,0.14062391371279312,0.14083681759045
Percentage of cicuits per modulation,3,64QAM,all, ,0.2691489995827455,0.26748517447924425,0.27080829252302097,0.266727581514992,0.2712854177632559
Percentage of cicuits per modulation,4,4QAM,all, ,0.12492985409652076,0.1227723566636246,0.12583199679230153,0.12393470893741602,0.12494357225259568
Percentage of cicuits per modulation,4,8QAM,all, ,0.19616802950136283,0.19789796716576574,0.19398556535685646,0.19890112093685455,0.19763254250890305
Percentage of cicuits per modulation,4,16QAM,all, ,0.284481721981722,0.2849377714039293,0.28740978348035284,0.28120676171569514,0.2825700958017756
Percentage of cicuits per modulation,4,32QAM,all, ,0.14259660092993426,0.14122531665881077,0.14183039294306335,0.1419218352082456,0.14294026182474795
Percentage of cicuits per modulation,4,64QAM,all, ,0.25182379349046013,0.2531665881078696,0.2509422614274258,0.2540355732017887,0.2519135276119777


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.011000336947257845,0.01190240228335844,0.011535259840646926,0.011564989891782614,0.011654642035994608
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,9.414702792698155E-4,9.018473004043447E-4,0.001119831926110913,0.0010702818408847663,0.0011496075477681756
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.029631538263334194,0.028343772298422262,0.028540849090260435,0.02888769968684346,0.028938396892095458
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.005490258260162924,0.0062732894632522,0.005916280176001903,0.006292860823720617,0.006322841512724967
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.02597466949438091,0.026232854990882425,0.026925516311888057,0.02629127522099338,0.0264707048283517
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.009860662398668067,0.010495124078331879,0.010524438102033535,0.009622626550917668,0.009662649647189409
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.03480466969258518,0.03544953619281693,0.03491299005034289,0.036617512982122326,0.03540989455323872
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.03542901314094306,0.03575675889954809,0.034625599556031235,0.035269750663971144,0.035330611274082296
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.06199829544328385,0.06344644414492984,0.06301779839061324,0.0637511396519602,0.06309957979862046
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.013874298852397281,0.013993498771109173,0.0143992547667182,0.013755103658778293,0.013914215491952747
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.02698551126791271,0.027521208277174344,0.027847147897094384,0.02602370476077219,0.027768968524538175
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.11310526628743583,0.11186870688971697,0.11459943711103183,0.11288500416220716,0.11320661222548165
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.04005708282956415,0.04103900737334496,0.041195940857018276,0.04121576089110873,0.041138111472290496
