Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,8.469038439376109E-4,0.0010592689276846161,8.68618786419301E-4,9.653583775685045E-4,7.049673922959941E-4
BitRate blocking probability,1,all,all,all, ,0.0033987871611307232,0.0022673249634181116,0.0028422882398060614,0.0030745639087921264,0.0029111668770331967
BitRate blocking probability,2,all,all,all, ,0.006805159997134762,0.005569197798818644,0.005318004240671149,0.006006265088511226,0.00558117491437105
BitRate blocking probability,3,all,all,all, ,0.014878495561991356,0.013814094123939443,0.014299910947390049,0.014362668588544465,0.01241243456244582
BitRate blocking probability,4,all,all,all, ,0.026151820839003703,0.025972291559819675,0.028885237544832625,0.02707638346253702,0.025791503993845402


General requested bitRate,0,all,all,all, ,2.3610705918007512E16,2.3520347513321436E16,2.3560504824045068E16,2.3626572357093616E16,2.360186078094426E16
General requested bitRate,1,all,all,all, ,2.3758919033274124E16,2.3686195458414028E16,2.3677462989807676E16,2.357690260304098E16,2.3537811043134272E16
General requested bitRate,2,all,all,all, ,2.3837791229654912E16,2.359486084513202E16,2.3510709291218836E16,2.36849718067105E16,2.3500386611955508E16
General requested bitRate,3,all,all,all, ,2.3550515585744004E16,2.3693905033863124E16,2.3617798826531488E16,2.3590527076282032E16,2.3606564516813812E16
General requested bitRate,4,all,all,all, ,2.3554100521002768E16,2.3583198093820316E16,2.3534366668566144E16,2.3703650426448456E16,2.3585859374205644E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
