Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,3,all,all, ,-24.15668775632469,0.0,-26.70941280735775,-29.208187539523752,0.0
Average Crosstalk per overlaps,0,5,all,all, ,-24.921525057367408,-27.166987712964502,0.0,-23.64158956182703,0.0
Average Crosstalk per overlaps,0,8,all,all, ,-25.917600346881503,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,0,12,all,all, ,-24.52893683643394,0.0,-24.45631999009912,0.0,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,3,all,all, ,-28.675828852583297,-27.121745022333588,-28.855518032988407,-28.54425638516596,-27.651537778004787
Average Crosstalk per overlaps,1,5,all,all, ,-26.87702797807607,-24.49092531119419,-26.286531417686096,-26.61666813045044,-28.53199407328319
Average Crosstalk per overlaps,1,8,all,all, ,0.0,-24.49092531119419,-24.897000433601878,0.0,0.0
Average Crosstalk per overlaps,1,12,all,all, ,0.0,0.0,-22.38430106445941,0.0,-20.257062072869537
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,3,all,all, ,-27.988834759527073,-28.703856231506183,-27.309048678448182,-28.55388806168576,-28.98845497714915
Average Crosstalk per overlaps,2,5,all,all, ,-26.043661025077437,-25.41268864785476,-26.86749800190425,-26.68956148594074,-25.714782946548468
Average Crosstalk per overlaps,2,8,all,all, ,-24.857662970467338,-24.805125852290875,-21.3926119586798,-25.70875588849552,-25.76300017435154
Average Crosstalk per overlaps,2,12,all,all, ,-20.601285483039952,-24.8759009690568,0.0,0.0,-23.049300761164517
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,3,all,all, ,-27.928883572338027,-28.553037335041623,-28.229594278272305,-27.956931613765214,-28.306460635183253
Average Crosstalk per overlaps,3,5,all,all, ,-26.672957958348277,-26.08537923062271,-25.97571265059713,-26.855546784478097,-26.35404514032619
Average Crosstalk per overlaps,3,8,all,all, ,-24.14436953247427,-24.034181763087137,-24.37158651030225,-25.395514509928514,-25.01479336343418
Average Crosstalk per overlaps,3,12,all,all, ,-25.220592887792456,-21.97278766346895,-23.576768286547825,-22.405201665602164,-23.352210992514106
Average Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,4,3,all,all, ,-28.07758490188188,-27.650773593725116,-29.088515507699338,-27.93783041457844,-27.73470686554273
Average Crosstalk per overlaps,4,5,all,all, ,-26.902647064220325,-25.615872836481422,-26.020009068713534,-25.495337908451422,-26.144855368346484
Average Crosstalk per overlaps,4,8,all,all, ,-24.89225436351352,-24.118371302504787,-24.085417181097203,-25.91884386166698,-24.65414506941566
Average Crosstalk per overlaps,4,12,all,all, ,-23.016319929641504,-22.418949404397168,-23.164544367641305,-23.663848588278682,-23.128939583579186


Minimum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,0,3,all,all, ,-24.15668775632469,0.0,-26.70941280735775,-29.208187539523752,0.0
Minimum Crosstalk per overlaps,0,5,all,all, ,-25.40607512240769,-27.166987712964502,0.0,-23.64158956182703,0.0
Minimum Crosstalk per overlaps,0,8,all,all, ,-25.917600346881503,0.0,0.0,0.0,0.0
Minimum Crosstalk per overlaps,0,12,all,all, ,-24.52893683643394,0.0,-24.45631999009912,0.0,0.0
Minimum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
