Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,1.9819641264493113E-5,1.9819641264493113E-5,2.972946189673967E-5,9.909820632246557E-6,9.909820632246557E-6
Blocking probability,1,all,all,all, ,1.8828659201268458E-4,1.387374888514518E-4,1.387374888514518E-4,1.4864730948369834E-4,1.387374888514518E-4
Blocking probability,2,all,all,all, ,7.035972648895055E-4,6.144088791992865E-4,7.531463680507383E-4,6.540481617282728E-4,5.846794173025469E-4
Blocking probability,3,all,all,all, ,0.0013972847091467645,0.0020612426915072837,0.00178376771380438,0.0020612426915072837,0.0014864730948369834
Blocking probability,4,all,all,all, ,0.006233277177683084,0.006748587850559905,0.006768407491824398,0.00693687444257259,0.0066197601823406995


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,9.909820632246557E-6,9.909820632246557E-6
Blocking probability by QoTO,1,all,all,all, ,2.972946189673967E-5,4.954910316123278E-5,5.945892379347934E-5,2.972946189673967E-5,4.954910316123278E-5
Blocking probability by QoTO,2,all,all,all, ,2.477455158061639E-4,1.8828659201268458E-4,1.7837677138043801E-4,1.7837677138043801E-4,1.7837677138043801E-4
Blocking probability by QoTO,3,all,all,all, ,3.7657318402536916E-4,4.45941928451095E-4,2.972946189673967E-4,3.666633633931226E-4,4.162124665543554E-4
Blocking probability by QoTO,4,all,all,all, ,0.0014369239916757507,0.0013972847091467645,0.0016053909424239422,0.0013675552472500248,0.001248637399663066


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,4,all,all,all, ,1.9819641264493113E-5,1.9819641264493113E-5,3.963928252898623E-5,9.909820632246557E-6,4.954910316123278E-5


Blocking probability by crosstalk in other,0,all,all,all, ,1.9819641264493113E-5,1.9819641264493113E-5,2.972946189673967E-5,0.0,0.0
Blocking probability by crosstalk in other,1,all,all,all, ,1.585571301159449E-4,8.918838569021901E-5,7.927856505797245E-5,1.1891784758695868E-4,8.918838569021901E-5
Blocking probability by crosstalk in other,2,all,all,all, ,4.558517490833416E-4,4.2612228718660194E-4,5.747695966703002E-4,4.756713903478347E-4,4.063026459221088E-4
Blocking probability by crosstalk in other,3,all,all,all, ,0.0010207115251213953,0.0016153007630561886,0.0014864730948369834,0.0016945793281141612,0.0010702606282826281
Blocking probability by crosstalk in other,4,all,all,all, ,0.004776533544742841,0.005331483500148647,0.0051233772668714695,0.005559409374690318,0.005321573679516401


Blocking probability per core 0,0,all,all,all, ,0.028169014084507043,0.0392156862745098,0.031746031746031744,0.0,0.0
Blocking probability per core 0,1,all,all,all, ,0.05454545454545454,0.044444444444444446,0.046153846153846156,0.06481481481481481,0.07920792079207921
Blocking probability per core 0,2,all,all,all, ,0.08974358974358974,0.07407407407407407,0.1056338028169014,0.07792207792207792,0.0641025641025641
Blocking probability per core 0,3,all,all,all, ,0.029850746268656716,0.05555555555555555,0.05405405405405406,0.06206896551724138,0.05405405405405406
Blocking probability per core 0,4,all,all,all, ,0.16875,0.10982658959537572,0.11764705882352941,0.10734463276836158,0.1564245810055866
Blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0017421602787456446,0.0018832391713747645,0.0016835016835016834
Blocking probability per core 1,1,all,all,all, ,0.012287334593572778,0.007073386383731211,0.0071877807726864335,0.007960199004975124,0.005529953917050691
Blocking probability per core 1,2,all,all,all, ,0.029994001199760048,0.02880921895006402,0.035233824471492634,0.029411764705882353,0.029201817001946788
Blocking probability per core 1,3,all,all,all, ,0.06434599156118144,0.09548254620123203,0.08932461873638345,0.09641135511515801,0.0713899405083829
Blocking probability per core 1,4,all,all,all, ,0.16392242956458106,0.15575539568345323,0.1506986027944112,0.1467140319715808,0.15705247487904728
Blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,2,all,all,all, ,0.0019509476031215162,0.0014675667742882301,0.001768867924528302,7.921837866385001E-4,0.001105888858169754
Blocking probability per core 2,3,all,all,all, ,0.0018547581680696248,0.0018840579710144927,0.0012501736352271149,0.00265103948653551,0.0016797312430011197
Blocking probability per core 2,4,all,all,all, ,0.012090734003851916,0.015668776590225173,0.014973607669934288,0.021409749670619236,0.015255128879537085
Blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,4,all,all,all, ,0.0024937655860349127,0.005124777183600713,0.004661016949152543,0.00464704580659438,0.005471956224350205
Blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,4,all,all,all, ,7.582322357019064E-4,0.0016026526664824536,0.0017895090034671737,0.001646451896163767,0.001538207987694336
Blocking probability per core 5,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,3,all,all,all, ,2.698327037236913E-4,0.0,1.4411298457991066E-4,0.0,0.0
Blocking probability per core 5,4,all,all,all, ,0.0011463507833397019,0.0010832932113625422,7.137758743754461E-4,0.001055842327545753,0.0010175527855507504
Blocking probability per core 6,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,4,all,all,all, ,1.2080421088963673E-4,2.960176914102631E-4,2.2624434389140272E-4,2.259062315365099E-4,2.2379837487949319E-4


Blocking probability per pair,0,all,1,6, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,8,3, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,6,9, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,7, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,6, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,12, ,0.0017699115044247787,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,7,9, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,3, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,14, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,10, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,11, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,5, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,4, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,14,8, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,6, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,5,13, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,11, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,6,5, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,7,8, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,14,10, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,11,9, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,8,4, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,8, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,7, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,8, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,14, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,2, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,3, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,12,4, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,12, ,0.0,0.0,0.0,0.0,0.0
