Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.12891813416048123,0.12919561188793863,0.12763848974333564,0.12761867010207115,0.13045287880289366
Percentage of cicuits per modulation,0,8QAM,all, ,0.4368292223686688,0.43608597845583646,0.43766722822316917,0.43445644633832126,0.43642850064413835
Percentage of cicuits per modulation,0,16QAM,all, ,0.2612551903199913,0.2597290628189755,0.2625606976513725,0.26318501635120406,0.2608562085026261
Percentage of cicuits per modulation,0,32QAM,all, ,0.14012625236599313,0.14124607319466054,0.13976811019720542,0.14166088593796453,0.1399960360717471
Percentage of cicuits per modulation,0,64QAM,all, ,0.03287120078486557,0.03374327364258887,0.03236547418491725,0.033078981270439005,0.03226637597859479
Percentage of cicuits per modulation,1,4QAM,all, ,0.1321923374229481,0.1311194355254291,0.13127929677822153,0.12994271896616652,0.1322082272146191
Percentage of cicuits per modulation,1,8QAM,all, ,0.4311537470517115,0.4323641336663099,0.4332206883566056,0.43443402770895684,0.43262741678145655
Percentage of cicuits per modulation,1,16QAM,all, ,0.2625909262085505,0.2625460815792603,0.2620829080242203,0.2612431371771748,0.2623155516356321
Percentage of cicuits per modulation,1,32QAM,all, ,0.1407944027114344,0.13991953066159274,0.13972271497517516,0.14216201216974214,0.13976949528783358
Percentage of cicuits per modulation,1,64QAM,all, ,0.03326858660535548,0.03405081856740794,0.0336943918657774,0.03221810397795968,0.033079309080458634
Percentage of cicuits per modulation,2,4QAM,all, ,0.13814296051783784,0.1380616250941825,0.1381016109045849,0.1396331184928111,0.13742962493061614
Percentage of cicuits per modulation,2,8QAM,all, ,0.4303981919291046,0.4271721457746758,0.4266567534076828,0.427902825979177,0.42931765918642456
Percentage of cicuits per modulation,2,16QAM,all, ,0.2618035110674954,0.2630864099615339,0.2607187112763321,0.26052553296975706,0.262508920783443
Percentage of cicuits per modulation,2,32QAM,all, ,0.13653710807783428,0.13900345005353532,0.1411350681536555,0.13931581556767478,0.1379351359923876
Percentage of cicuits per modulation,2,64QAM,all, ,0.03311822840772792,0.03267636911607249,0.033387856257744736,0.03262270699058007,0.0328086591071287
Percentage of cicuits per modulation,3,4QAM,all, ,0.14325870597349968,0.1426571204432837,0.1434499052005678,0.14422761805452108,0.1432231667593549
Percentage of cicuits per modulation,3,8QAM,all, ,0.42612090029599314,0.4257469985998431,0.4246121164593653,0.42542330800933514,0.42836855485818703
Percentage of cicuits per modulation,3,16QAM,all, ,0.26054351496851347,0.25944609395946494,0.26265895035686276,0.259099260142013,0.25759712401684276
