Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.0017799709184293103,0.0021742614314344505,0.0017672547616012912,0.0013515495433652862,0.0011805753271964536
BitRate blocking probability,1,all,all,all, ,0.001458831560649955,0.0024505331931176186,0.0026171903018500048,0.0015439143984794037,0.0020333368178279392
BitRate blocking probability,2,all,all,all, ,0.002638723812748003,0.003480453765204232,0.0034127798757948146,0.002920726116809052,0.0029782789452738358
BitRate blocking probability,3,all,all,all, ,0.008171723816356662,0.010120148077024618,0.009180797685498928,0.009072935356709413,0.00908376256238083
BitRate blocking probability,4,all,all,all, ,0.02901983379318879,0.029154237645186574,0.027134783474874965,0.02672566411202831,0.028715205390607856


General requested bitRate,0,all,all,all, ,2.3596908216618408E16,2.34153471384935E16,2.34590848647614E16,2.3768581957365468E16,2.3561091662774012E16
General requested bitRate,1,all,all,all, ,2.3640219447532752E16,2.3501000546636776E16,2.3547541369429364E16,2.348071057091058E16,2.3691435545694392E16
General requested bitRate,2,all,all,all, ,2.3602857712438048E16,2.3594312675406516E16,2.3350636087344416E16,2.3621232577842044E16,2.3722701042426612E16
General requested bitRate,3,all,all,all, ,2.36686852015996E16,2.3623025583349944E16,2.3734267409666888E16,2.3623399544689608E16,2.3672317543843264E16
General requested bitRate,4,all,all,all, ,2.3401602480606852E16,2.358021262876312E16,2.3500395072467756E16,2.3638330020283808E16,2.3651628163377952E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.0017799709184293103,0.002163917532123393,0.0016984486751886693,0.0013515495433652862,0.0011805753271964536
BitRate blocking probability by QoTO,1,all,all,all, ,0.001458831560649955,0.0024456978079417852,0.0025759737232673007,0.0015439143984794037,0.0020333368178279392
BitRate blocking probability by QoTO,2,all,all,all, ,0.002606922263443217,0.003470108387511002,0.003301159427919863,0.0029105330802563925,0.0029782789452738358
BitRate blocking probability by QoTO,3,all,all,all, ,0.007405062797452838,0.009524254682525449,0.008214250420386544,0.008288663541874255,0.007934380568477827
BitRate blocking probability by QoTO,4,all,all,all, ,0.02164209590131616,0.020198763465858322,0.018845525437941626,0.018060628856159007,0.022029204709296257


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
