Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.0022693489247844613,0.002636012288177584,0.0023981765930036667,0.0018927757407590923,0.001763948072539887
Blocking probability,1,all,all,all, ,0.001972054305817065,0.0027846595976612825,0.0027846595976612825,0.00210088197403627,0.0023089882073134478
Blocking probability,2,all,all,all, ,0.0030621345753641858,0.0038251907640471706,0.0032900604499058565,0.0036369041720344863,0.0031017738578931722
Blocking probability,3,all,all,all, ,0.00713507085521752,0.007848577940739272,0.007184619958378754,0.007362996729759192,0.007253988702804479
Blocking probability,4,all,all,all, ,0.020196214448518483,0.019700723416906155,0.018729560994945993,0.018382717272817362,0.019611535031215935


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0022693489247844613,0.0026261024675453375,0.002368447131106927,0.0018927757407590923,0.001763948072539887
Blocking probability by QoTO,1,all,all,all, ,0.001972054305817065,0.0027648399563967893,0.0027747497770290357,0.00210088197403627,0.0023089882073134478
Blocking probability by QoTO,2,all,all,all, ,0.003032405113467446,0.003815280943414924,0.003220691705480131,0.0036071747101377467,0.0031017738578931722
Blocking probability by QoTO,3,all,all,all, ,0.006570211079179467,0.007353086909126945,0.006520661976018234,0.00693687444257259,0.006639579823605192
Blocking probability by QoTO,4,all,all,all, ,0.015707065702110792,0.014696263997621643,0.01372510157566148,0.013457536418590824,0.015964721038549203


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
