Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,4,all,all, ,-24.292013517468206,0.0,-24.470794517678367,-25.045219749213217,0.0
Average Crosstalk per overlaps,0,5,all,all, ,-23.97738342604315,0.0,-23.771787788639806,0.0,-25.49007685910782
Average Crosstalk per overlaps,0,6,all,all, ,-22.724459723546147,0.0,0.0,-21.838446858124282,0.0
Average Crosstalk per overlaps,0,7,all,all, ,-25.421035543429362,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,4,all,all, ,-23.682965185238565,-25.04675098548313,-26.142532903300047,-24.752131946541837,-30.90488765918022
Average Crosstalk per overlaps,1,5,all,all, ,-22.181777924727143,-24.691797394487942,-25.566442704321723,0.0,-25.06137418964629
Average Crosstalk per overlaps,1,6,all,all, ,0.0,-24.888979905417354,0.0,-22.89639128315911,-29.70720483852955
Average Crosstalk per overlaps,1,7,all,all, ,-19.155901642868297,-25.00244363814322,-23.90400075197302,-24.193723562552414,0.0
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,4,all,all, ,-25.566491456737953,-27.265528581974365,-25.96522854476193,-25.894255359436826,-24.800351123834677
Average Crosstalk per overlaps,2,5,all,all, ,-24.145240289743505,-25.178319588346167,-24.963630391536867,-23.689461548287696,-25.678997902485502
Average Crosstalk per overlaps,2,6,all,all, ,0.0,-20.83532270622326,-20.990833704839716,-24.151939856598954,-26.65783046783027
Average Crosstalk per overlaps,2,7,all,all, ,0.0,-23.261310206904497,-25.755579620289744,-23.130896696588678,-26.865259582579345
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,4,all,all, ,-25.619324122075657,-26.1510003295987,-24.5403492015276,-27.150463705783903,-25.74568338278307
Average Crosstalk per overlaps,3,5,all,all, ,-24.466680919856728,-24.54141804710946,-24.260920494602537,-25.635592827232383,-25.818928537992928
Average Crosstalk per overlaps,3,6,all,all, ,-23.598391500050706,-23.708525355720557,-23.52163935491342,-24.693900741201926,-23.83222003255644
Average Crosstalk per overlaps,3,7,all,all, ,-23.304367048574566,-23.10515130096185,-22.66949996208565,-24.721311328855833,-23.240093182161353
Average Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,4,4,all,all, ,-26.071981533859798,-25.593846194058678,-26.56659403845617,-25.803349907908192,-26.656675199831046
Average Crosstalk per overlaps,4,5,all,all, ,-26.277593110511813,-24.674257701857634,-26.16056252612391,-25.535062989279318,-24.628236876164248
Average Crosstalk per overlaps,4,6,all,all, ,-23.905883822229878,-24.424105572305514,-24.980377660532017,-24.512209028735487,-24.983143490577053
Average Crosstalk per overlaps,4,7,all,all, ,-24.06637061899889,-23.813076760700593,-24.239099773844767,-24.32901778755929,-23.614368422521594


Minimum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,0,4,all,all, ,-24.292013517468206,0.0,-25.087731023021252,-25.045219749213217,0.0
Minimum Crosstalk per overlaps,0,5,all,all, ,-23.97738342604315,0.0,-23.771787788639806,0.0,-25.49007685910782
Minimum Crosstalk per overlaps,0,6,all,all, ,-22.724459723546147,0.0,0.0,-21.838446858124282,0.0
Minimum Crosstalk per overlaps,0,7,all,all, ,-25.421035543429362,0.0,0.0,0.0,0.0
Minimum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,1,4,all,all, ,-24.075185478265215,-28.336786890512546,-28.744858471640413,-24.752131946541837,-31.27599922714015
Minimum Crosstalk per overlaps,1,5,all,all, ,-22.181777924727143,-25.005135306085418,-25.566442704321723,0.0,-25.06137418964629
Minimum Crosstalk per overlaps,1,6,all,all, ,0.0,-24.888979905417354,0.0,-22.89639128315911,-29.70720483852955
Minimum Crosstalk per overlaps,1,7,all,all, ,-19.155901642868297,-26.376591072329486,-25.28763133422995,-24.193723562552414,0.0
Minimum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,2,4,all,all, ,-28.20381975831975,-30.609181179615938,-26.61121238555782,-28.85567159717631,-25.598257309850858
Minimum Crosstalk per overlaps,2,5,all,all, ,-24.145240289743505,-25.77594164393585,-25.32635388602519,-25.062327700925152,-26.838704954511794
Minimum Crosstalk per overlaps,2,6,all,all, ,0.0,-21.744342344050107,-20.990833704839716,-24.597223342074166,-28.74329723688129
Minimum Crosstalk per overlaps,2,7,all,all, ,0.0,-23.261310206904497,-25.755579620289744,-23.130896696588678,-26.865259582579345
Minimum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,3,4,all,all, ,-28.81913657331804,-30.251131521708572,-27.518834908649588,-31.29899673314557,-28.24555552282821
Minimum Crosstalk per overlaps,3,5,all,all, ,-26.736957663595486,-28.62364415136166,-27.836194856062555,-29.35873779241403,-28.94086824506897
Minimum Crosstalk per overlaps,3,6,all,all, ,-26.611351469326884,-27.151261175000194,-28.09227429097364,-25.217240204934726,-25.02348411443328
Minimum Crosstalk per overlaps,3,7,all,all, ,-26.34269410237067,-24.885513829246907,-24.584885956239457,-26.351744872848432,-25.61564031839724
Minimum Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,4,4,all,all, ,-31.175129342869813,-31.543546167180875,-30.92813389686027,-29.377178142515238,-32.342688484891376
Minimum Crosstalk per overlaps,4,5,all,all, ,-30.536116313906202,-29.42125346012963,-29.483421865555567,-28.40359790775591,-28.848953700295542
Minimum Crosstalk per overlaps,4,6,all,all, ,-27.951912858623317,-30.10588214144932,-29.71139715943787,-30.119689832193956,-28.510480077090506
Minimum Crosstalk per overlaps,4,7,all,all, ,-29.43600067655848,-27.702549289148518,-29.437417713468115,-29.436077357244503,-28.200610561041152


Maximum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,0,4,all,all, ,-24.292013517468206,0.0,-23.853858012335483,-25.045219749213217,0.0
Maximum Crosstalk per overlaps,0,5,all,all, ,-23.97738342604315,0.0,-23.771787788639806,0.0,-25.49007685910782
Maximum Crosstalk per overlaps,0,6,all,all, ,-22.724459723546147,0.0,0.0,-21.838446858124282,0.0
Maximum Crosstalk per overlaps,0,7,all,all, ,-25.421035543429362,0.0,0.0,0.0,0.0
Maximum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,1,4,all,all, ,-23.29074489221191,-23.460292086434684,-23.540207334959682,-24.752131946541837,-30.533776091220282
Maximum Crosstalk per overlaps,1,5,all,all, ,-22.181777924727143,-24.37845948289047,-25.566442704321723,0.0,-25.06137418964629
Maximum Crosstalk per overlaps,1,6,all,all, ,0.0,-24.888979905417354,0.0,-22.89639128315911,-29.70720483852955
Maximum Crosstalk per overlaps,1,7,all,all, ,-19.155901642868297,-23.62829620395695,-22.520370169716088,-24.193723562552414,0.0
Maximum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,2,4,all,all, ,-23.743247015462387,-24.382335567922944,-25.22974988461658,-23.47028252375437,-24.38593113926387
Maximum Crosstalk per overlaps,2,5,all,all, ,-24.145240289743505,-24.58069753275648,-24.600906897048542,-21.97687354529949,-23.97915473020841
Maximum Crosstalk per overlaps,2,6,all,all, ,0.0,-19.926303068396408,-20.990833704839716,-23.706656371123742,-24.57236369877925
Maximum Crosstalk per overlaps,2,7,all,all, ,0.0,-23.261310206904497,-25.755579620289744,-23.130896696588678,-26.865259582579345
Maximum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,3,4,all,all, ,-20.657492500758433,-22.254864629699544,-21.42763237866596,-24.437675124730717,-23.30084789448403
Maximum Crosstalk per overlaps,3,5,all,all, ,-21.047936601958227,-20.34100117375351,-22.186481613957746,-21.078403619022662,-23.720481404445426
Maximum Crosstalk per overlaps,3,6,all,all, ,-20.765748376085284,-19.726783752372693,-19.14147924896347,-24.027084956142236,-20.586142722073642
