Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.05584966378959287,0.056963157267199235,0.05581714149481464,0.05534209037023799,0.0549080729063257
Percentage of cicuits per modulation,0,8QAM,all, ,0.37469830454604147,0.37879058860935577,0.37581952556919773,0.376830588071764,0.3782710558710241
Percentage of cicuits per modulation,0,16QAM,all, ,0.2416444016249342,0.2392194268908231,0.23807962808439623,0.24005401165619197,0.23990390342691498
Percentage of cicuits per modulation,0,32QAM,all, ,0.11572193363196631,0.11511863598426136,0.11282632018118965,0.11260040310169879,0.11719215343684232
Percentage of cicuits per modulation,0,64QAM,all, ,0.21208569640746516,0.20990819124836055,0.2174573846704017,0.21517290680010723,0.2097248143588929
Percentage of cicuits per modulation,1,4QAM,all, ,0.0651468062078621,0.06982082699818144,0.06791282830993053,0.06842241156726052,0.06791024762358831
Percentage of cicuits per modulation,1,8QAM,all, ,0.4313828678098718,0.42404277097059495,0.4277395184290811,0.4289956106377485,0.4283302045154305
Percentage of cicuits per modulation,1,16QAM,all, ,0.23670701313659878,0.23011259179759314,0.23387890170825507,0.23404635643210392,0.23565461823455208
Percentage of cicuits per modulation,1,32QAM,all, ,0.11030572628610578,0.10794105079052758,0.10742430114579296,0.10826431508073646,0.10989600405256414
Percentage of cicuits per modulation,1,64QAM,all, ,0.15645758655956152,0.16808275944310289,0.16304445040694035,0.16027130628215058,0.15820892557386493
Percentage of cicuits per modulation,2,4QAM,all, ,0.07510859733004642,0.08028928415104851,0.0763785320845513,0.07517181703350805,0.07517122777021183
Percentage of cicuits per modulation,2,8QAM,all, ,0.46176479359052097,0.4593131988380884,0.46179084889339617,0.4635230697313587,0.4615246975555931
Percentage of cicuits per modulation,2,16QAM,all, ,0.2301965189212831,0.22656281087103577,0.2286583547097775,0.22762400167092686,0.2300565623229321
Percentage of cicuits per modulation,2,32QAM,all, ,0.10404469140465801,0.10350762007082885,0.10255721927260435,0.10284157027341535,0.10424764157976878
Percentage of cicuits per modulation,2,64QAM,all, ,0.1288853987534915,0.13032708606899845,0.1306150450396707,0.130839541290791,0.1289998707714942
Percentage of cicuits per modulation,3,4QAM,all, ,0.08672522207805171,0.08876525699674384,0.08571143384738235,0.0878932183253966,0.08605681886242489
Percentage of cicuits per modulation,3,8QAM,all, ,0.48057690388262303,0.4780159411893965,0.477366871288117,0.47420807251889346,0.47680129369721896
Percentage of cicuits per modulation,3,16QAM,all, ,0.22372492264697075,0.22379592081344013,0.22438488795727904,0.22270807751055738,0.22394138433588212
Percentage of cicuits per modulation,3,32QAM,all, ,0.09996007585587384,0.09946263409177171,0.10171183310874882,0.10106122774965808,0.1013495977160654
Percentage of cicuits per modulation,3,64QAM,all, ,0.10901287553648069,0.1099602469086478,0.11082497379847282,0.11412940389549453,0.11185090538840864
Percentage of cicuits per modulation,4,4QAM,all, ,0.09760093858726435,0.09610602292715473,0.0944354675823066,0.0909393771137247,0.09132627791086717
Percentage of cicuits per modulation,4,8QAM,all, ,0.4889958734525447,0.4907401791310325,0.4904665724096142,0.4964211801524406,0.491625476342097
Percentage of cicuits per modulation,4,16QAM,all, ,0.21643134557812121,0.21646347627423626,0.2169157745909917,0.2172530412397153,0.22042635776450253
Percentage of cicuits per modulation,4,32QAM,all, ,0.09841006553928311,0.09967449101312145,0.10144415269642497,0.0988945535308667,0.09922066895108712
Percentage of cicuits per modulation,4,64QAM,all, ,0.09856177684278664,0.09701583065445503,0.09673803272066249,0.09649184796325273,0.09740121903144616


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.03954072764473932,0.04082707364572155,0.03895974887749831,0.038999592926855904,0.039739109716872494
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.005522392507027145,0.005444934621040499,0.005652243016648786,0.00573873847039784,0.005231703927252512
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.003079031793486358,0.0030106116609037795,0.0034867087853141018,0.003137441793504701,0.002551324306079498
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.006197793029469314,0.0063193036842732805,0.005999920530853896,0.0061954546808447265,0.006065599809395227
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.0015097188148707303,0.0013612336552601247,0.0017185202844995431,0.0012708624986348157,0.001320335146725966
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.17610075386617138,0.17984181868765153,0.17560694560336948,0.175607382916828,0.18018107453440813
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.05871018364934794,0.05903978379237709,0.05911511105813168,0.05835046019122509,0.058749950363340346
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.04957241187513036,0.04914351575851516,0.04955894623912266,0.050427426801298664,0.04789937656355478
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.06373595812516761,0.06472318270339017,0.06511503158898557,0.0659657065697634,0.06429932891236151
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.026578997030224174,0.026042287667421803,0.02642349107958835,0.026479611592648854,0.027141325497359328
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.09998907440331344,0.09801875919081117,0.09780665156752891,0.09795569852758665,0.09860818806337608
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.04822161083024602,0.04700727316084417,0.045953033734652524,0.047051698289299934,0.047005916689830445
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.06882132676473217,0.06833989110130757,0.06927722811618389,0.06958965041352674,0.06988841678910376
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.024612389626642563,0.025853503437860182,0.025042714666030915,0.02545696442577865,0.024401381884604695
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.002185119337312899,0.001768610150629943,0.0023145388802797316,0.0019460082010345615,0.0024421236548465234
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.04841032568210486,0.048030682405309805,0.04610203838359757,0.04728998500779396,0.04859428979867371
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.02102680744132458,0.021382298000874368,0.021595740453768823,0.021028802907097965,0.021393400309732757
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.03418718526832272,0.03428917769564008,0.032671752692017324,0.0327247093398465,0.03450740578961998
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.009912495902901242,0.009647867731807163,0.010142249771526205,0.009610897645925794,0.010254933883969345
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.1114708832848303,0.10881920432415246,0.11711765407080701,0.1145761971425451,0.10882341261962435
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.055174263267150706,0.05634712451810341,0.055449596694083524,0.05565980599489669,0.05650637334709924
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.012842542287025357,0.012290846945669886,0.012426987722016928,0.013115698130442121,0.013004804828654251
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.027671556698880623,0.027353841262270976,0.02740692176262566,0.02655904049881353,0.026476194258031212
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.004926450869578172,0.005097174198163825,0.005056224420868598,0.005262165033409784,0.004914029305483858
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,0.04649938934177995,0.04775959216528038,0.04723290502737779,0.04927605314901984,0.047806351003704915
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.006047005788841338,0.007184807560444802,0.006181120750479484,0.00590875687699855,0.006188106518867268
Percentage of cicuits per modulation and bandwidth,1,4QAM,400.0, ,0.0042795722413639025,0.0049886215703226705,0.004591121843603732,0.0038332439571788913,0.0037943125043455803
Percentage of cicuits per modulation and bandwidth,1,4QAM,300.0, ,0.006235664425931626,0.007542557314491847,0.008089119438730386,0.0074678742378200165,0.007747549092642808
Percentage of cicuits per modulation and bandwidth,1,4QAM,500.0, ,0.002085174409945289,0.0023452483876417337,0.0018185612497391408,0.0019364833462432224,0.0023739285040277323
Percentage of cicuits per modulation and bandwidth,1,8QAM,100.0, ,0.2152297167141623,0.20052867463653617,0.21144004213497103,0.211275298417049,0.21295827249520743
