Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.003921140256848352,0.0036528251504440805,0.0036090957440378588,0.0041068688997831,0.0030993518826534037
BitRate blocking probability,1,all,all,all, ,0.00585999814217126,0.00684250797439378,0.0061124206476324255,0.005856003580463329,0.004883709448227462
BitRate blocking probability,2,all,all,all, ,0.014083484355408191,0.01421398925509281,0.015775914690862022,0.014726326047527596,0.013497199971110105
BitRate blocking probability,3,all,all,all, ,0.03603765710945942,0.03318398056265869,0.030478934268883942,0.034619735728951814,0.0353312503521324
BitRate blocking probability,4,all,all,all, ,0.06926491057211899,0.06625517540325697,0.0664384748530238,0.06872549478966092,0.06758328547888205


General requested bitRate,0,all,all,all, ,2.3591718779263756E16,2.3476780191337684E16,2.3497900544581304E16,2.3362976513834516E16,2.3413424955767928E16
General requested bitRate,1,all,all,all, ,2.376264802702192E16,2.3754686494118544E16,2.3624851428943484E16,2.3481044635537492E16,2.3464750917890264E16
General requested bitRate,2,all,all,all, ,2.3474659821302904E16,2.3491927881933232E16,2.3698859550151408E16,2.3500569694398536E16,2.3579471149038056E16
General requested bitRate,3,all,all,all, ,2.351205661396822E16,2.3708322430038912E16,2.3525939862863168E16,2.3667936872851684E16,2.3513961819478076E16
General requested bitRate,4,all,all,all, ,2.3835349217474628E16,2.3661236342172716E16,2.3512723730396316E16,2.37330167025335E16,2.3501862062946564E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.0030600207939143627,0.0027795793824608593,0.002551121600500514,0.0033408085267167265,0.002238890211228482
BitRate blocking probability by QoTO,1,all,all,all, ,0.004264752044883019,0.005457414677234727,0.004653271109697987,0.004703856857807543,0.0036702295679541088
BitRate blocking probability by QoTO,2,all,all,all, ,0.009137532934737187,0.009746598841520012,0.010466976438344943,0.009438918223917644,0.008915411682893804
BitRate blocking probability by QoTO,3,all,all,all, ,0.01865737202774507,0.015321809902084337,0.01513968925532213,0.016025821756286293,0.015924417624946483
BitRate blocking probability by QoTO,4,all,all,all, ,0.02624274838512538,0.025579168599752265,0.025758426683181432,0.028876855979171053,0.02712848417554048


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,9.923163520115935E-6
BitRate blocking probability by Crosstalk,3,all,all,all, ,1.8058075393691063E-4,8.228978422326289E-5,3.8835225446323593E-5,7.469202145181943E-5,6.87629734017929E-5
BitRate blocking probability by Crosstalk,4,all,all,all, ,4.119076248946729E-4,2.082459471234283E-4,1.8526275814170063E-4,3.70636200352627E-4,4.249458034881675E-4


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,8.611194629339895E-4,8.7324576798322E-4,0.001057974143537344,7.660603730663742E-4,8.604616714249225E-4
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,0.0015952460972882415,0.0013850932971590528,0.0014591495379344343,0.0011521467226557832,0.0012134798802733479
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,0.004945951420670982,0.004467390413572824,0.005308938252517076,0.005287407823609948,0.004571865124696169
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,0.017199704327777555,0.01777988087635107,0.015300409788115553,0.018519221951213725,0.01933806975378409
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.042610254562099145,0.04046776085638107,0.04049478541170072,0.03947800261013731,0.04002985549985326


BitRate blocking probability per core 0,0,all,all,all, ,0.08283282277645622,0.06984324193985174,0.07103421053841119,0.0803114695366316,0.06453717355166959
BitRate blocking probability per core 0,1,all,all,all, ,0.10901745834404508,0.12279146057389446,0.0998738567585724,0.09020221931336896,0.09790624413209827
BitRate blocking probability per core 0,2,all,all,all, ,0.14936272157111222,0.15041119724764923,0.16210371313880034,0.1590856311475797,0.13688132877952644
BitRate blocking probability per core 0,3,all,all,all, ,0.17391088775810604,0.14076806663859726,0.1384729504246416,0.16872698056616794,0.1787232330594984
BitRate blocking probability per core 0,4,all,all,all, ,0.20679703940741373,0.16557658161176242,0.20045811650888382,0.20741123275947304,0.23404689887340807
BitRate blocking probability per core 1,0,all,all,all, ,0.00262564898883336,0.0038520873090235044,0.00447329554098722,0.006531195785894411,0.0031077007972555013
BitRate blocking probability per core 1,1,all,all,all, ,0.027858058060535405,0.03140602251843512,0.03284833248008364,0.034420778680379044,0.018769066104690296
BitRate blocking probability per core 1,2,all,all,all, ,0.06745801028273515,0.06817430043071081,0.07129807728591178,0.06185578485954727,0.06321490180685829
BitRate blocking probability per core 1,3,all,all,all, ,0.13645949058413484,0.11704714656685179,0.10263695683135608,0.11536756588649598,0.12631862580281017
BitRate blocking probability per core 1,4,all,all,all, ,0.18826124554728868,0.19479550443705557,0.20438556981139608,0.19674861931043125,0.20162739516178824
BitRate blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,1,all,all,all, ,0.001213108526578111,5.000409002911022E-4,6.361460061629538E-5,0.0,4.2867779824614977E-4
BitRate blocking probability per core 2,2,all,all,all, ,0.011917241116875301,0.014242112018293429,0.018367225958576056,0.014517638770646631,0.012806475392436551
BitRate blocking probability per core 2,3,all,all,all, ,0.04688113537608939,0.04896836724678465,0.04941956053070319,0.04188531132885118,0.0513324408218077
BitRate blocking probability per core 2,4,all,all,all, ,0.09701929867365436,0.09344512469528321,0.09667097795613395,0.08989870736598142,0.09164615555581977
BitRate blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,2,all,all,all, ,0.005109152978992868,0.0043928757982477145,0.002480956463538219,0.0038402460356385462,0.004977033309056157
BitRate blocking probability per core 3,3,all,all,all, ,0.02375229117758616,0.028681493752463955,0.019720096282882755,0.027304431356707258,0.021651818426718136
BitRate blocking probability per core 3,4,all,all,all, ,0.05487629523625339,0.04704870327180935,0.0514797940614741,0.06862546909732975,0.04687924841157985
BitRate blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,2,all,all,all, ,0.0018789772768417923,0.0014836501552951645,0.002149081690781387,0.0036697621926879485,0.0014283684080035964
BitRate blocking probability per core 4,3,all,all,all, ,0.011985193295847426,0.012132250812782014,0.010804214071943357,0.02173891206216814,0.01350031273924828
BitRate blocking probability per core 4,4,all,all,all, ,0.044732801333872474,0.03789817917720454,0.03798509520135193,0.03534308344172474,0.04240530106118739
BitRate blocking probability per core 5,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,2,all,all,all, ,0.0015007729041338765,4.7938980438980513E-4,7.976272670458058E-4,0.0016425762619828605,0.001809728493653738
BitRate blocking probability per core 5,3,all,all,all, ,0.0089185880707042,0.006810003420355786,0.009564925704226125,0.009522059249213493,0.011333392956252734
BitRate blocking probability per core 5,4,all,all,all, ,0.024935337981298752,0.02676123066423423,0.020242717653096542,0.02427864562554559,0.024629560752695207
BitRate blocking probability per core 6,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,2,all,all,all, ,4.82910543855038E-4,4.1754276173824753E-4,0.0010119948704048266,7.131797510677449E-4,5.08858858207037E-4
BitRate blocking probability per core 6,3,all,all,all, ,0.004751183680188719,0.006507150726767199,0.006539656546968164,0.007709741358844067,0.005306428987956712
BitRate blocking probability per core 6,4,all,all,all, ,0.02113437766274088,0.01747419406725317,0.013061613960848045,0.017168406620175745,0.018322179008410003


BitRate blocking probability per pair,0,all,1,6, ,0.00889809594897719,0.0014281839958042242,0.0026489542851024428,0.006223252046746948,0.011993775782996515
BitRate blocking probability per pair,0,all,8,3, ,0.017284711696466348,0.0037156838300577174,0.002743890539458192,0.004430807471444843,0.0030718285791577157
BitRate blocking probability per pair,0,all,6,9, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,1,7, ,0.01141053479588269,0.013012682987746008,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,4,6, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,2,12, ,0.034331714894259,0.019123689726609126,0.028951998361388967,0.01543927479283435,0.004522414374577461
BitRate blocking probability per pair,0,all,7,9, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,2,3, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,3,14, ,0.020593935388112824,0.001722618836240863,0.007511481092724626,0.020876194598252188,0.007804534090616609
BitRate blocking probability per pair,0,all,4,10, ,0.0,0.0,5.580852711352963E-4,0.0018802725590955172,0.0
BitRate blocking probability per pair,0,all,3,11, ,0.010133773687460783,0.01043197224644767,0.01117554020323933,0.025316361555249335,0.01737866396052489
BitRate blocking probability per pair,0,all,4,5, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,10,4, ,0.0064384775806110356,0.00615016821604554,0.0,0.010191683418078828,0.0013424151143414482
BitRate blocking probability per pair,0,all,14,8, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,2,6, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,5,13, ,0.0,0.006808623008893069,0.0047323421779792195,0.0,0.0
