Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,1,all,all, ,-28.151355353720948,-32.884535147962495,-31.176999685540967,-26.82576127134581,-31.028489667069607
Average Crosstalk per overlaps,0,2,all,all, ,-26.880241983868945,-26.73351277898942,-28.00357488069912,-27.064365763051164,-29.341968467447316
Average Crosstalk per overlaps,0,3,all,all, ,-27.09973441399831,-27.333170179292225,-28.15581734359076,-26.15559974462033,-26.197198253661753
Average Crosstalk per overlaps,0,4,all,all, ,-25.75159974163351,-26.125471610103062,-23.709165411633485,-25.82888650841257,-24.649090424061203
Average Crosstalk per overlaps,0,5,all,all, ,-24.42768698966764,-24.68316352995273,-24.58083647098103,-25.027568273637765,-23.701113659687522
Average Crosstalk per overlaps,0,6,all,all, ,-22.822545278144684,-20.818806620902492,-26.697731637732215,-23.458237214313833,-24.031389375517833
Average Crosstalk per overlaps,0,7,all,all, ,-22.618659439484038,-24.670720671039902,-25.919388779216256,-23.46305223463224,-24.147067293308925
Average Crosstalk per overlaps,0,8,all,all, ,-24.405636957381684,-22.761394801243423,-22.956966311549007,-23.62247927151134,-23.642951594520365
Average Crosstalk per overlaps,0,9,all,all, ,-25.05988597836384,-26.054463184299248,-23.502458220053413,-26.44131862454062,-19.98898877107521
Average Crosstalk per overlaps,0,10,all,all, ,-20.32326415198887,-21.20832344136917,-23.440061094805564,-22.047104904385712,-23.272281631456096
Average Crosstalk per overlaps,0,11,all,all, ,-22.14271754997588,-20.63708267743081,-20.76768914759299,-19.30796253504891,0.0
Average Crosstalk per overlaps,0,12,all,all, ,-21.890476734785768,-22.90893624814523,0.0,-23.907987593879195,-24.082601100527043
Average Crosstalk per overlaps,0,13,all,all, ,-20.602783684769893,-20.614238386158554,-24.245085787376908,0.0,-23.609273085653125
Average Crosstalk per overlaps,0,14,all,all, ,-20.44610788475562,-20.503257248060095,-20.76808079193165,-24.01241776324397,0.0
