Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.29770227788851533,0.2924619030150405,0.2954937622721593,0.2920566307106599,0.2935413175196597
Percentage of cicuits per modulation,0,8QAM,all, ,0.2277690179394877,0.22837370242214533,0.22750352049822486,0.22794059327411167,0.23083864697890738
Percentage of cicuits per modulation,0,16QAM,all, ,0.20699332599490278,0.2081379324020186,0.20932584938217735,0.2124048223350254,0.20667188941006137
Percentage of cicuits per modulation,0,32QAM,all, ,0.11203006773173078,0.11253110716728963,0.11058331184672444,0.11032677664974619,0.109756944100118
Percentage of cicuits per modulation,0,64QAM,all, ,0.1555053104453634,0.15849535499350592,0.157093556000714,0.15727117703045684,0.15919120199125356
Percentage of cicuits per modulation,1,4QAM,all, ,0.32514856592954156,0.32799086984568054,0.3257653187794592,0.32669848483345076,0.3240969473297816
Percentage of cicuits per modulation,1,8QAM,all, ,0.23573122215938966,0.23614350220810798,0.23680476308608286,0.23817981563985274,0.23893568260960146
Percentage of cicuits per modulation,1,16QAM,all, ,0.2030318362649682,0.2015183843596487,0.20462416273877448,0.20090096347525824,0.20642479438872188
Percentage of cicuits per modulation,1,32QAM,all, ,0.10265186463882854,0.0993202004664318,0.10000496154800298,0.10146753852412657,0.09881246465668621
Percentage of cicuits per modulation,1,64QAM,all, ,0.13343651100727205,0.135027043120131,0.13280079384768048,0.13275319752731168,0.1317301110152088
Percentage of cicuits per modulation,2,4QAM,all, ,0.34644783725142825,0.34519155201400703,0.34046026437330784,0.3404132494625368,0.34633413282113035
Percentage of cicuits per modulation,2,8QAM,all, ,0.240191492326373,0.24290446772316232,0.24595875139353401,0.24507325423998727,0.24171733959654063
Percentage of cicuits per modulation,2,16QAM,all, ,0.2026593944702112,0.2016195620815551,0.20395365504061155,0.20319093876901026,0.2020680526666733
Percentage of cicuits per modulation,2,32QAM,all, ,0.09302904233931167,0.09394056963221616,0.09396400700748526,0.09524046500517556,0.09387844468108399
Percentage of cicuits per modulation,2,64QAM,all, ,0.11767223361267591,0.1163438485490594,0.11566332218506131,0.11608209252329008,0.11600203023457172
Percentage of cicuits per modulation,3,4QAM,all, ,0.3522202129797066,0.35339534134605705,0.3535195126364678,0.35217041800643084,0.3532231803654345
Percentage of cicuits per modulation,3,8QAM,all, ,0.2451476793248945,0.24455919953292665,0.24282727144781552,0.24362942122186496,0.24184405716697824
Percentage of cicuits per modulation,3,16QAM,all, ,0.20984528832630098,0.20914618187674902,0.208255423527756,0.20890273311897106,0.2114715873685903
Percentage of cicuits per modulation,3,32QAM,all, ,0.09022503516174402,0.08937810795031306,0.09179283028731126,0.09117765273311897,0.09036362539950551
Percentage of cicuits per modulation,3,64QAM,all, ,0.10256178420735383,0.10352116929395422,0.10360496210064941,0.10411977491961415,0.10309754969949145
Percentage of cicuits per modulation,4,4QAM,all, ,0.36535592388971777,0.3656456149322424,0.36033922956377457,0.35953182390194494,0.35780633929028627
Percentage of cicuits per modulation,4,8QAM,all, ,0.24080810970998795,0.243211454870877,0.24375979433183453,0.24410431650996,0.24447744380152595
Percentage of cicuits per modulation,4,16QAM,all, ,0.20949743505896298,0.20776272053183328,0.21267399342435447,0.21224460564144013,0.2146653694505607
Percentage of cicuits per modulation,4,32QAM,all, ,0.08979337407263586,0.08945026847353618,0.08959060973236509,0.08824341883140135,0.08912898765937836
Percentage of cicuits per modulation,4,64QAM,all, ,0.09454515726869546,0.09392994119151113,0.09363637294767138,0.09587583511525358,0.09392185979824876


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.06935808566130168,0.06806396922497299,0.06849600349074754,0.06828006027918782,0.0687716305867653
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.07813445194815498,0.0772548358632177,0.07788730438921836,0.07737151015228426,0.07610991560972223
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.04918731839863545,0.04904769930894994,0.05037783375314862,0.04859018083756345,0.049632589918783034
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.07482224139469848,0.07258504278165,0.0734346179019814,0.07177982233502538,0.07294651976874486
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.02620018048572477,0.025510355836249887,0.02529800273706341,0.026035057106598983,0.026080661635644233
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.064310435446603,0.06398905424296805,0.06380531148971617,0.06324357550761421,0.06360508126654833
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.06670038378008508,0.06655694470608065,0.06601677938872251,0.06689205266497462,0.06695689253379082
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.032398179275875405,0.03356103945033263,0.03381661675162141,0.03314363895939086,0.034341190587161965
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.04708495720901635,0.04689622351553128,0.04721434379896468,0.04758883248730964,0.04806576690036791
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.017275062227907853,0.017370440507232725,0.0166504690692001,0.017072493654822336,0.017869715691038367
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.07353305764634714,0.07393343314065892,0.0735635375552867,0.07414934961928935,0.07359109885859919
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.05213260742371503,0.05381663874044477,0.05360082508578115,0.05432066941624365,0.05320256641643776
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.027925703348902705,0.027423880389843447,0.027648307185783136,0.02814681154822335,0.026576491704762943
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.039439105901486526,0.03936110092106959,0.040768361133699596,0.0412337404822335,0.03923999167005484
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.013962851674451352,0.013602879210001884,0.013744818421626767,0.014554251269035532,0.014061740760206661
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.03176350419976398,0.03230188080625812,0.031644816438247486,0.031825031725888325,0.0315942920042443
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.03535338509901923,0.03606944210348896,0.03545290465895793,0.03518599302030457,0.03428169097886772
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.013685181328652605,0.013414501145140341,0.013516729804240464,0.013195986675126904,0.01428982259200127
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.02424657126706929,0.023339050772845798,0.023106368630873283,0.02284263959390863,0.02218343729237116
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.006981425837225676,0.007406232339556419,0.0068624923144052835,0.007277125634517766,0.007407701232633552
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.09157171332520156,0.09306867867659452,0.09275273210496043,0.09392845812182742,0.09358296724546564
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.03260643203522447,0.03425506389982253,0.0328943453856681,0.032449635152284266,0.033676778294542895
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.008825950277174506,0.00935941543312083,0.009411134691287015,0.009091449873096447,0.009133189873166669
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.01811799006336834,0.017479501492152567,0.017840496638172117,0.017677268401015227,0.018385378962921826
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.00438322474439453,0.004332695491815469,0.004194847180626351,0.004124365482233503,0.004412887615156533
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,0.07880194847068861,0.08189351461320896,0.08020838501612503,0.0792014367787579,0.08009166939492247
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.08651051122553251,0.0838386344464844,0.08438600843463161,0.0863059505263889,0.0857465996011786
Percentage of cicuits per modulation and bandwidth,1,4QAM,400.0, ,0.053771441610365386,0.054780925916736965,0.053416025800049616,0.053799823379406836,0.05303729277657073
Percentage of cicuits per modulation and bandwidth,1,4QAM,300.0, ,0.07867297637826523,0.08023619312261202,0.07992061523195237,0.07980670959803932,0.07835550661229997
Percentage of cicuits per modulation and bandwidth,1,4QAM,500.0, ,0.02739168824468982,0.027241601746638217,0.02783428429670057,0.0275845645508578,0.026865878944809865
Percentage of cicuits per modulation and bandwidth,1,8QAM,100.0, ,0.07007152990664405,0.06916091896988041,0.06997767303398661,0.07038032962562388,0.07113306943659037
Percentage of cicuits per modulation and bandwidth,1,8QAM,200.0, ,0.0687222834012917,0.06879372798094577,0.06949144132969487,0.06852482114684315,0.0697639810708652
Percentage of cicuits per modulation and bandwidth,1,8QAM,400.0, ,0.03277875333591278,0.0335036967200913,0.03264698585958819,0.03402427044780266,0.033294641705606316
Percentage of cicuits per modulation and bandwidth,1,8QAM,300.0, ,0.04790817187019455,0.04818141219669528,0.04807740014884644,0.048024925333148116,0.04806690675317718
Percentage of cicuits per modulation and bandwidth,1,8QAM,500.0, ,0.016250483645346588,0.01650374634049521,0.01661126271396676,0.017225469086434943,0.0166770836433624
Percentage of cicuits per modulation and bandwidth,1,16QAM,100.0, ,0.07529986011488438,0.07480772093484842,0.07573306871743984,0.07383336144709816,0.07687728801452424
Percentage of cicuits per modulation and bandwidth,1,16QAM,200.0, ,0.05062650674127206,0.050007443060586514,0.05236417762341851,0.05109097945049166,0.05131105092413465
Percentage of cicuits per modulation and bandwidth,1,16QAM,400.0, ,0.025586078950762422,0.025842306356373742,0.025968742247581247,0.025639753524969985,0.02620117662232011
Percentage of cicuits per modulation and bandwidth,1,16QAM,300.0, ,0.03781858587061123,0.037681734729320696,0.037886380550731825,0.03629652414641649,0.037759060289492746
Percentage of cicuits per modulation and bandwidth,1,16QAM,500.0, ,0.013700804587438118,0.013179179278519327,0.012671793599603076,0.014040344906281938,0.014276218538250146
Percentage of cicuits per modulation and bandwidth,1,32QAM,100.0, ,0.02979255334980208,0.02885922691410708,0.028389977673033986,0.028150147349202726,0.02838378126333125
Percentage of cicuits per modulation and bandwidth,1,32QAM,200.0, ,0.03249104636050676,0.030754726343472438,0.03197221533118333,0.03225806451612903,0.030953302181612546
Percentage of cicuits per modulation and bandwidth,1,32QAM,400.0, ,0.012807920870660834,0.01243487321986801,0.012493177871495906,0.013097706909040394,0.012530134825441233
Percentage of cicuits per modulation and bandwidth,1,32QAM,300.0, ,0.02107205571594393,0.02091003820771101,0.020947655668568592,0.020876951012591658,0.0202883022312172
Percentage of cicuits per modulation and bandwidth,1,32QAM,500.0, ,0.006488288341914938,0.00636133578127326,0.006201935003721161,0.0070846687371627585,0.006656944155083981
Percentage of cicuits per modulation and bandwidth,1,64QAM,100.0, ,0.07864321358770598,0.07855902347045104,0.0780451500868271,0.0774054633313819,0.07723444150123515
Percentage of cicuits per modulation and bandwidth,1,64QAM,200.0, ,0.028056390567179578,0.029980648042475067,0.028350285289010173,0.029102707851678393,0.02847306963500898
