Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.41191904423325354,0.4066556573087124,0.40807520573453737,0.4053431598341778,0.41065993913182763
Percentage of cicuits per modulation,0,8QAM,all, ,0.1620116766976777,0.16005604764049441,0.16496806359249544,0.1653015040153806,0.1630826525708794
Percentage of cicuits per modulation,0,16QAM,all, ,0.16166117548093775,0.16710203673122154,0.16200468534128906,0.16199707608194983,0.16059987185647925
Percentage of cicuits per modulation,0,32QAM,all, ,0.1123506614458676,0.11033378371615873,0.1101455659451775,0.11119900666893638,0.11103435848149928
Percentage of cicuits per modulation,0,64QAM,all, ,0.15205744214226344,0.1558524746034129,0.1548064793865006,0.15615925339955541,0.15462317795931443
Percentage of cicuits per modulation,1,4QAM,all, ,0.46070592036184477,0.45907064022114163,0.4563931779190635,0.4569710786736742,0.4604400040367343
Percentage of cicuits per modulation,1,8QAM,all, ,0.15914506098053469,0.16166945783983375,0.15941063679483297,0.16246179298100494,0.1585931981027349
Percentage of cicuits per modulation,1,16QAM,all, ,0.15113884177368547,0.14838280099271606,0.15162983146634373,0.1490452028124401,0.14967201533959026
Percentage of cicuits per modulation,1,32QAM,all, ,0.10237460625151441,0.10493129678577914,0.1041881118175396,0.1030051144445229,0.10292663235442527
Percentage of cicuits per modulation,1,64QAM,all, ,0.12663557063242065,0.12594580416052945,0.1283782420022202,0.12851681108835783,0.1283681501665153
Percentage of cicuits per modulation,2,4QAM,all, ,0.48114848001309274,0.4819483889422389,0.4828687216013754,0.48815248306766795,0.48500831454484244
Percentage of cicuits per modulation,2,8QAM,all, ,0.15896444498997586,0.16121815172751977,0.1591346350648819,0.15835567105236234,0.1603737974515665
Percentage of cicuits per modulation,2,16QAM,all, ,0.14759011497074587,0.14684428825368284,0.14622989070367187,0.14475865032432322,0.14635639301782272
Percentage of cicuits per modulation,2,32QAM,all, ,0.1003948283621783,0.09815499662873138,0.099420770395841,0.09772666816721573,0.09808102345415778
Percentage of cicuits per modulation,2,64QAM,all, ,0.1119021316640072,0.11183417444782706,0.11234598223422981,0.11100652738843077,0.11018047153161058
Percentage of cicuits per modulation,3,4QAM,all, ,0.4980887606628407,0.49856843902591386,0.4974063040353326,0.5000677626846534,0.5021189749783938
Percentage of cicuits per modulation,3,8QAM,all, ,0.15975252835612586,0.15821091317973118,0.16004874898439617,0.1589816832250868,0.15901163093391088
Percentage of cicuits per modulation,3,16QAM,all, ,0.14808719834185666,0.14981936303345167,0.1501322889106477,0.14679482501589816,0.14716203130043629
Percentage of cicuits per modulation,3,32QAM,all, ,0.09566612159023445,0.09555539360118273,0.09698756275910919,0.09644193780428052,0.09565063465122817
Percentage of cicuits per modulation,3,64QAM,all, ,0.0984053910489423,0.09784589115972056,0.09542509531051437,0.09771379127008122,0.0960567281360309
Percentage of cicuits per modulation,4,4QAM,all, ,0.5082231228668942,0.5108048723254475,0.5111243713238428,0.5056960947148759,0.5049273443589114
Percentage of cicuits per modulation,4,8QAM,all, ,0.16048421501706484,0.15681464257525013,0.15567726536527152,0.15885183765597718,0.16060046337322897
Percentage of cicuits per modulation,4,16QAM,all, ,0.1491467576791809,0.14980694157049299,0.149390503793368,0.1535390315574294,0.1518668389190805
Percentage of cicuits per modulation,4,32QAM,all, ,0.09341936860068259,0.09270004479808862,0.09376864717415395,0.09354371619607342,0.09467120786666809
Percentage of cicuits per modulation,4,64QAM,all, ,0.08872653583617747,0.08987349873072083,0.09003921234336373,0.08836931987564414,0.08793414548211102


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.10057382056340566,0.09933443426912876,0.09877260076487196,0.09949332105020728,0.09988186769181483
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.11199014590864936,0.11021368162938498,0.1099253148589392,0.11023771854284742,0.11230578247637354
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.06758664890793835,0.06575589250863234,0.06769717477924835,0.06667935032944144,0.06641438411020342
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.09750943849705078,0.0962418055347045,0.09722083174819295,0.09507740372098612,0.09673834694858241
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.03425899035620938,0.035109843366861834,0.03445928358328494,0.033855366190695534,0.03531955790485344
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.05611023763982495,0.056357904218585796,0.05732535090002603,0.05713656299441251,0.056222969726093225
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.044703926615059536,0.04291647900715608,0.04535170093907054,0.04623195081409088,0.04559106198942816
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.02042921377569925,0.020487414302156833,0.021374366778127065,0.021498808403260367,0.021093624859843025
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.030563706099722605,0.029935445128359106,0.030414672726908676,0.030040253940279975,0.03021383950024027
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.010204592567371341,0.010358804984236601,0.010501972248363134,0.010393927863336871,0.009961156495274707
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.06122755540422804,0.06338387629485062,0.06151012153855395,0.06092163499088779,0.0616690693576806
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.0394263797230039,0.0418655857478857,0.04126704443065094,0.041545671199407205,0.040024827807144
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.02004866959752446,0.020627533403392885,0.02019302004284885,0.020016822542206558,0.019401729937530032
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.029702474538590182,0.02943501976680178,0.028102036321406402,0.028197785031942802,0.028271664263975652
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.011256096217591155,0.011790021518290547,0.010932463007828925,0.011315162317505458,0.011232580490148967
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.0351202219173418,0.03507981784516839,0.034709568908555755,0.03481665431678449,0.0353295691174115
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.030463562894939764,0.03034579392483611,0.02996415914142122,0.030791260288786974,0.030303940413262856
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.014951380474077932,0.014442275934544363,0.014646697234847727,0.014339214547493642,0.014926717924074963
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.025216058964318975,0.024450783165690836,0.0244178363334201,0.02469308873891014,0.024036921351914143
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.006599437195189121,0.006015112845919031,0.006407304326932703,0.006558788776961128,0.006437209674835816
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.07961384780235738,0.08182955512185358,0.08256412310033438,0.084012576852983,0.08126101233381387
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.03961665181209129,0.0404643947355252,0.039525058566766115,0.03971321570905013,0.04011492872016659
