Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability,2,all,all,all, ,0.0,0.0,9.909820632246557E-6,0.0,0.0
Blocking probability,3,all,all,all, ,7.927856505797245E-5,9.909820632246556E-5,4.954910316123278E-5,6.93687444257259E-5,7.927856505797245E-5
Blocking probability,4,all,all,all, ,0.0026855613913388168,0.002636012288177584,0.0028936676246159943,0.002844118521454762,0.002923397086512734


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,2,all,all,all, ,0.0,0.0,9.909820632246557E-6,0.0,0.0
Blocking probability by QoTO,3,all,all,all, ,5.945892379347934E-5,1.9819641264493113E-5,9.909820632246557E-6,3.963928252898623E-5,2.972946189673967E-5
Blocking probability by QoTO,4,all,all,all, ,7.729660093152314E-4,7.729660093152314E-4,7.234169061539986E-4,7.82875829947478E-4,9.017936775344367E-4


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,3,all,all,all, ,0.0,9.909820632246557E-6,0.0,0.0,1.9819641264493113E-5
Blocking probability by crosstalk,4,all,all,all, ,5.846794173025469E-4,5.054008522445744E-4,7.927856505797245E-4,7.135070855217521E-4,6.144088791992865E-4


Blocking probability by crosstalk in other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,3,all,all,all, ,1.9819641264493113E-5,6.93687444257259E-5,3.963928252898623E-5,2.972946189673967E-5,2.972946189673967E-5
Blocking probability by crosstalk in other,4,all,all,all, ,0.0013279159647210386,0.0013576454266177782,0.0013774650678822712,0.0013477356059855316,0.001407194529779011


Blocking probability per core 0,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,3,all,all,all, ,0.0,5.892751915144372E-4,0.0,0.0,0.0011117287381878821
Blocking probability per core 0,4,all,all,all, ,0.040605643496214726,0.03595206391478029,0.050216986980781156,0.04599129894344313,0.041223404255319146
Blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,2,all,all,all, ,0.0,0.0,2.253267237494367E-4,0.0,0.0
Blocking probability per core 1,3,all,all,all, ,0.0012304447178766039,0.001246660730186999,5.412231643514342E-4,8.703220191470844E-4,5.092514004413513E-4
Blocking probability per core 1,4,all,all,all, ,0.01282051282051282,0.01312617197964104,0.012538311507383673,0.010430777567054999,0.011558335599673647
Blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,3,all,all,all, ,0.0,2.3515579071134627E-4,0.0,2.3282887077997672E-4,1.1866619200189867E-4
Blocking probability per core 2,4,all,all,all, ,0.005719633943427621,0.004166221557525905,0.005316886431305828,0.005492764339283828,0.008306171801072442
