Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per circuit (dB),0,all,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per circuit (dB),1,all,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per circuit (dB),2,all,all,all, ,-200.0,-200.0,-200.0,-199.99832558621043,-200.0
Average Crosstalk per circuit (dB),3,all,all,all, ,-199.91116875366902,-199.949542746256,-199.96676279174483,-199.95153374391023,-199.9758301749193
Average Crosstalk per circuit (dB),4,all,all,all, ,-199.72104957550846,-199.55924299542824,-199.64411837615035,-199.66991123345684,-199.6548662127257


Average OSNR per circuit (dB),0,all,all,all, ,18.90108863639199,18.876525920135453,18.88308252654445,18.86741055320668,18.884755676023577
Average OSNR per circuit (dB),1,all,all,all, ,18.53506295932626,18.520091599005443,18.553591456181046,18.555457767851834,18.57333651448884
Average OSNR per circuit (dB),2,all,all,all, ,18.30170933074377,18.302129509271115,18.295808231230758,18.308603749404842,18.28806378287993
Average OSNR per circuit (dB),3,all,all,all, ,18.11733082105715,18.120542321218306,18.108248636232283,18.103267766250763,18.11354451400917
Average OSNR per circuit (dB),4,all,all,all, ,17.965061483412125,17.96161202161551,17.961583527223862,17.947032778723386,17.97957419068684


Average Launch Power per circuit (dBm),0,all,all,all, ,0.03431406523829447,0.04955358774113577,0.04447511489740356,0.032921564585947354,0.04339371220500226
Average Launch Power per circuit (dBm),1,all,all,all, ,-0.06526908863812372,-0.059973911551731915,-0.06344627316906082,-0.0633814400428735,-0.06769027714510893
Average Launch Power per circuit (dBm),2,all,all,all, ,-0.1473431510847576,-0.13721603003606764,-0.15324860633234047,-0.12978912637438833,-0.1416681159701553
Average Launch Power per circuit (dBm),3,all,all,all, ,-0.21131139767030901,-0.21566451534320205,-0.20262755175437847,-0.21962428779352725,-0.22000475761748922
Average Launch Power per circuit (dBm),4,all,all,all, ,-0.24997545572522537,-0.2777228133147187,-0.23913137203289425,-0.2758134182480439,-0.27489429766339796


Average Crosstalk per overlaps (dB),0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps (dB),0,1,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,2,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,3,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,4,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,5,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,6,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,7,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,8,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,9,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,10,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,11,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,12,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,13,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,14,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,15,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,16,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps (dB),0,17,all,all, ,0.0,0.0,0.0,0.0,0.0
