Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability,2,all,all,all, ,1.1628781706080615E-5,4.691477553360902E-5,0.0,0.0,0.0
BitRate blocking probability,3,all,all,all, ,5.449636733188661E-4,6.049703619779242E-4,5.296697142383031E-4,4.472052666858266E-4,1.6391492286589357E-4
BitRate blocking probability,4,all,all,all, ,0.006714008224856619,0.007901700024675374,0.007539191091558315,0.007161171445376287,0.005975262329528637


General requested bitRate,0,all,all,all, ,2.365861853382174E16,2.355366113291495E16,2.369917260618013E16,2.361598667053603E16,2.369036790276871E16
General requested bitRate,1,all,all,all, ,2.355672662694801E16,2.3804175452254584E16,2.356498320387758E16,2.3646696873741124E16,2.370045028130298E16
General requested bitRate,2,all,all,all, ,2.3756801674067292E16,2.3676848118941776E16,2.3558033825719944E16,2.359313503558833E16,2.370349958898576E16
General requested bitRate,3,all,all,all, ,2.3715655449264284E16,2.3822617968684708E16,2.3832326824074944E16,2.365740714340039E16,2.3589570047828132E16
General requested bitRate,4,all,all,all, ,2.3678344388640904E16,2.3647957973516084E16,2.3658963518168764E16,2.3583379213430384E16,2.3647598022792676E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTO,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
