Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.0030918640372609254,0.003171142602318898,0.0030522247547319394,0.002695471211971063,0.003190962243583391
Percentage of cicuits per modulation,0,8QAM,all, ,0.14205727876325439,0.1400158557130116,0.14039242889703696,0.141720344861758,0.14183926270934497
Percentage of cicuits per modulation,0,16QAM,all, ,0.2961946288772173,0.29694777524526805,0.2962739074422753,0.29745317609751265,0.29598652264394015
Percentage of cicuits per modulation,0,32QAM,all, ,0.18736497869388563,0.19076404717074621,0.19021900703597264,0.18814785452383312,0.18910910712516105
Percentage of cicuits per modulation,0,64QAM,all, ,0.3712912496283817,0.3691011792686552,0.37006243186998317,0.3699831533049252,0.36987414527797047
Percentage of cicuits per modulation,1,4QAM,all, ,0.007323430021108127,0.007878307402636012,0.007987315429590724,0.008413521093262245,0.008938746791663777
Percentage of cicuits per modulation,1,8QAM,all, ,0.15610104153246984,0.15905262114755722,0.1577048855415717,0.1567650060946001,0.15670554658157348
Percentage of cicuits per modulation,1,16QAM,all, ,0.3086444222021822,0.307917946685165,0.3101773857893172,0.30873361147172207,0.30814892626029394
Percentage of cicuits per modulation,1,32QAM,all, ,0.19654342030938768,0.19539193340600536,0.19585769497572095,0.1984758544827518,0.19719747495268014
Percentage of cicuits per modulation,1,64QAM,all, ,0.3313876859348522,0.3297591913586364,0.32827271826379945,0.32761200685766384,0.32900930541378864
Percentage of cicuits per modulation,2,4QAM,all, ,0.014319974630356364,0.015994767511000117,0.01496412573829627,0.014230643451030136,0.014686645261029849
Percentage of cicuits per modulation,2,8QAM,all, ,0.16683513695643556,0.1655963848257819,0.16560629484282713,0.1676857366538168,0.16663693661553097
Percentage of cicuits per modulation,2,16QAM,all, ,0.3192611091291077,0.31484124152693543,0.3213620327426963,0.3224588490620262,0.319617869742736
Percentage of cicuits per modulation,2,32QAM,all, ,0.19436516430808262,0.19566337654100766,0.19556427637055535,0.19597855493563507,0.19704086891029451
Percentage of cicuits per modulation,2,64QAM,all, ,0.30521861497601777,0.3079042295952749,0.3025032703056249,0.2996462158974918,0.3020176794704087
Percentage of cicuits per modulation,3,4QAM,all, ,0.023446716963922788,0.023004233968924453,0.022464112935205012,0.022951014702529072,0.022086959969863394
Percentage of cicuits per modulation,3,8QAM,all, ,0.1740212358848781,0.17492141872663633,0.1750436196367674,0.17287120663844469,0.17503023573963558
Percentage of cicuits per modulation,3,16QAM,all, ,0.3255673312381651,0.3256388136954517,0.32698865889444045,0.32536905033360763,0.32318535995400205
Percentage of cicuits per modulation,3,32QAM,all, ,0.1946920201849961,0.19690434403228524,0.19396859386152748,0.19603041629075912,0.19654222098855997
Percentage of cicuits per modulation,3,64QAM,all, ,0.2822726957280379,0.27953118957670225,0.28153501467205966,0.28277831203465953,0.283155223347939
Percentage of cicuits per modulation,4,4QAM,all, ,0.030735947999122683,0.031139835487661575,0.029658612347301456,0.02839952584446503,0.030433051269288202
Percentage of cicuits per modulation,4,8QAM,all, ,0.1793013379060076,0.17961919177836644,0.1784295570622144,0.18041817330584028,0.17849676455948232
Percentage of cicuits per modulation,4,16QAM,all, ,0.3248858493011385,0.3246728674142086,0.3254781318757902,0.3289404217593561,0.3266301642608263
Percentage of cicuits per modulation,4,32QAM,all, ,0.1960401172412418,0.19488537911529805,0.19492647571259322,0.19524051439898793,0.19637630662020905
Percentage of cicuits per modulation,4,64QAM,all, ,0.2690367475524894,0.2696827262044653,0.2715072230021007,0.26700136469135066,0.2680637132901941


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,1.9819641264493112E-4,2.774749777029036E-4,1.9819641264493112E-4,1.6846695074819145E-4,2.1801605390942423E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,5.153106728768209E-4,5.549499554058072E-4,5.450401347735606E-4,5.054008522445744E-4,5.747695966703002E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,8.819740362699435E-4,7.234169061539986E-4,7.82875829947478E-4,8.225151124764641E-4,8.423347537409573E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,9.909820632246556E-4,9.117034981666832E-4,8.126052918442176E-4,7.432365474184917E-4,9.414329600634228E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,5.054008522445744E-4,7.035972648895055E-4,7.135070855217521E-4,4.558517490833416E-4,6.144088791992865E-4
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.0016747596868496681,0.0018729560994945992,0.0016945793281141612,0.001407194529779011,0.0014864730948369834
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.026924982657813894,0.025567337231196117,0.026409671984937072,0.026885343375284906,0.026181746110395403
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.043385194727975425,0.04225547517589932,0.04267168764245367,0.0437419482707363,0.043315825983549695
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.046913090873055195,0.04693291051431969,0.04617976414626895,0.04756713903478347,0.04750768011098999
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.023159250817560203,0.02338717669210187,0.023436725795263107,0.022118719651174314,0.023347537409572888
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.02489346942820335,0.024824100683777623,0.02406104449509464,0.02425924090773957,0.024447527499752254
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.11205034188881181,0.11088098305420672,0.11117827767317412,0.11233772668714696,0.11129719552076107
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.049737389753245466,0.050867109305321574,0.0512139530274502,0.05058963432761867,0.049628381726290756
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.08253889604598157,0.08378753344564463,0.08370825488058665,0.08349023882667723,0.08401545932018631
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.026974531760975126,0.02658804875631751,0.026112377365969677,0.026776335348330196,0.026597958576949757
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.05252204935090675,0.0539589733425825,0.05554454464374195,0.05385987513626003,0.05588147854523833
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.06277871370528193,0.06504806263006639,0.06198592805470221,0.06120305222475473,0.06212466554355366
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.02356555346348231,0.024090773956991378,0.023823208799920722,0.023753840055494996,0.02333762758894064
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.03850956297691012,0.037251015756614804,0.03857893172133584,0.03886631651967099,0.0371221880883956
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.009989099197304528,0.01041522148449113,0.010286393816271925,0.010464770587652364,0.010643147359032802
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.25199682885739766,0.24833019522346644,0.24905361212962046,0.2526409671984937,0.25026261024675456
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.06481022693489248,0.06579129917748489,0.06584084828064612,0.06446338321276385,0.06609850361708453
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.01594490139728471,0.015726885343375286,0.016301654940045585,0.015419680903775641,0.015429590724407888
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.03105737786146071,0.03249430185313646,0.03155286889307304,0.030403329699732435,0.03145377068675057
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.00748191457734615,0.006758497671192152,0.007313447626597958,0.007055792290159548,0.006629670002972946
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,5.351356172392948E-4,6.837776236250124E-4,7.035972648895055E-4,7.234240751568244E-4,6.045050491036479E-4
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.0013081092865849429,0.0014765632742047368,0.0013675552472500248,0.0014864878256647077,0.0017540556342843553
Percentage of cicuits per modulation and bandwidth,1,4QAM,400.0, ,0.0020216234429040027,0.0022297096422554752,0.0021405212565652563,0.002259461495010356,0.0024477499529278854
Percentage of cicuits per modulation and bandwidth,1,4QAM,300.0, ,0.002140542468957179,0.0022891685660489545,0.00241799623426816,0.0025072094659544736,0.0025864888166565914
Percentage of cicuits per modulation and bandwidth,1,4QAM,500.0, ,0.0013180192054227076,0.0011990882965018333,0.0013576454266177782,0.0014369382314758843,0.0015459473386912961
Percentage of cicuits per modulation and bandwidth,1,8QAM,100.0, ,0.0044693733958318885,0.004251313051233773,0.0037855514815181845,0.004449553558156359,0.004261265100238829
Percentage of cicuits per modulation and bandwidth,1,8QAM,200.0, ,0.034119850558423925,0.03550688732533941,0.0340996927955604,0.03497210357847169,0.03365408437304898
Percentage of cicuits per modulation and bandwidth,1,8QAM,400.0, ,0.044535175256914646,0.0437419482707363,0.04488157764344465,0.04348472386011159,0.043603642886164765
Percentage of cicuits per modulation and bandwidth,1,8QAM,300.0, ,0.049321666055555005,0.05161034585274007,0.05174908334159152,0.0502234686697916,0.051313559741945715
Percentage of cicuits per modulation and bandwidth,1,8QAM,500.0, ,0.023654976265744383,0.02394212664750768,0.02318898027945694,0.023635156428068856,0.023872994480175207
Percentage of cicuits per modulation and bandwidth,1,16QAM,100.0, ,0.043564003210813704,0.04384104647705876,0.04366266970567833,0.04394058012664876,0.04311805686311429
Percentage of cicuits per modulation and bandwidth,1,16QAM,200.0, ,0.11071361325550744,0.10968189475770489,0.10968189475770489,0.11011901812524155,0.11067397358015638
Percentage of cicuits per modulation and bandwidth,1,16QAM,400.0, ,0.04962887353952571,0.04954910316123278,0.04979684867703894,0.04913337759763747,0.0486775213311003
Percentage of cicuits per modulation and bandwidth,1,16QAM,300.0, ,0.07913070191955128,0.0792884748786047,0.08042810425131305,0.07947754907887304,0.07930908045863104
Percentage of cicuits per modulation and bandwidth,1,16QAM,500.0, ,0.025607230276784035,0.025557427410563868,0.026607868397582005,0.02606308654332121,0.026370294027291918
Percentage of cicuits per modulation and bandwidth,1,32QAM,100.0, ,0.0690424045427068,0.0683480329006045,0.06835794272123674,0.06994420715694338,0.06907213429922009
Percentage of cicuits per modulation and bandwidth,1,32QAM,200.0, ,0.058250502928381014,0.057972450698642354,0.058021999801803587,0.05886491789632243,0.0586766294384049
Percentage of cicuits per modulation and bandwidth,1,32QAM,400.0, ,0.023278399349909325,0.023198890100089187,0.02318898027945694,0.023129750567342854,0.022951372028263087
Percentage of cicuits per modulation and bandwidth,1,32QAM,300.0, ,0.036131564082490165,0.036299672975919135,0.036497869388564065,0.03608201448830134,0.03625048310854334
Percentage of cicuits per modulation and bandwidth,1,32QAM,500.0, ,0.009840549405900366,0.009572886730750173,0.009790902784659598,0.010454964373841778,0.010246856078248719
Percentage of cicuits per modulation and bandwidth,1,64QAM,100.0, ,0.21785965572941957,0.2162620156575166,0.2137548310375582,0.21303352525542815,0.21353893111615416
Percentage of cicuits per modulation and bandwidth,1,64QAM,200.0, ,0.06296762429515702,0.060975126350213064,0.06177782182142503,0.06309645324004796,0.06270996640537514
