Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability,2,all,all,all, ,1.9819641264493113E-5,9.909820632246557E-6,1.9819641264493113E-5,9.909820632246557E-6,1.9819641264493113E-5
Blocking probability,3,all,all,all, ,3.270240808641364E-4,2.3783569517391736E-4,3.270240808641364E-4,2.774749777029036E-4,5.549499554058072E-4
Blocking probability,4,all,all,all, ,0.004191854127440294,0.004261222871866019,0.004281042513130513,0.003934198791001883,0.004608066593994649


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,2,all,all,all, ,1.9819641264493113E-5,9.909820632246557E-6,1.9819641264493113E-5,9.909820632246557E-6,1.9819641264493113E-5
Blocking probability by QoTO,3,all,all,all, ,2.774749777029036E-4,2.1801605390942423E-4,2.279258745416708E-4,2.3783569517391736E-4,4.8558121098008124E-4
Blocking probability by QoTO,4,all,all,all, ,0.0026756515707065704,0.0027152908532355564,0.0028639381627192546,0.002655831929442077,0.002903577445248241


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,3,all,all,all, ,1.9819641264493113E-5,0.0,2.972946189673967E-5,9.909820632246557E-6,3.963928252898623E-5
Blocking probability by crosstalk,4,all,all,all, ,0.0010603508076503815,0.0011098999108116144,0.0010207115251213953,8.819740362699435E-4,0.0010603508076503815


Blocking probability by crosstalk in other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,3,all,all,all, ,2.972946189673967E-5,1.9819641264493113E-5,6.93687444257259E-5,2.972946189673967E-5,2.972946189673967E-5
Blocking probability by crosstalk in other,4,all,all,all, ,4.558517490833416E-4,4.3603210781884846E-4,3.9639282528986224E-4,3.9639282528986224E-4,6.441383410960261E-4


Blocking probability per core 0,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,3,all,all,all, ,8.684324793747286E-4,0.0,0.001349527665317139,4.496402877697842E-4,0.0017551557700745941
Blocking probability per core 0,4,all,all,all, ,0.05404040404040404,0.05788113695090439,0.054773082942097026,0.04708994708994709,0.05331340308918784
Blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,2,all,all,all, ,3.417634996582365E-4,1.815211472136504E-4,3.4626038781163435E-4,1.7442874585731728E-4,3.484320557491289E-4
Blocking probability per core 1,3,all,all,all, ,0.002637423653525819,0.002973661852166525,0.003259637188208617,0.001813363091086623,0.005488319729805798
Blocking probability per core 1,4,all,all,all, ,0.015433181339880744,0.017067223963775687,0.02109151572926597,0.01663716814159292,0.02272992190231962
Blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
