Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability,1,all,all,all, ,0.0,0.0,0.0,2.5677628848286515E-5,3.2794147085943846E-5
BitRate blocking probability,2,all,all,all, ,0.0,1.072171896950722E-4,1.1548195550658864E-5,1.5661340816863753E-4,0.0
BitRate blocking probability,3,all,all,all, ,3.370829351498165E-4,5.073508747634198E-4,7.614982091389527E-4,3.062995816316041E-4,4.334923155529388E-4
BitRate blocking probability,4,all,all,all, ,0.00900933763503756,0.007022214858773222,0.007024741680416598,0.007545235888404581,0.008257134716396537


General requested bitRate,0,all,all,all, ,2.3603273363734084E16,2.3582262139046676E16,2.3769208750916528E16,2.3643310445653984E16,2.3759821213737508E16
General requested bitRate,1,all,all,all, ,2.3540534794497936E16,2.3548578484197756E16,2.3701000944661472E16,2.3624311041395868E16,2.3736141141786272E16
General requested bitRate,2,all,all,all, ,2.3758780015931968E16,2.3598651375443348E16,2.366117326064118E16,2.363191991464264E16,2.3541433489721136E16
General requested bitRate,3,all,all,all, ,2.360908441064184E16,2.37105333387713E16,2.3690844597425116E16,2.3447384981808424E16,2.3435010938822056E16
General requested bitRate,4,all,all,all, ,2.3726657999931732E16,2.3662840616699092E16,2.3528564696081252E16,2.3595444545272936E16,2.373165200530272E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTO,1,all,all,all, ,0.0,0.0,0.0,2.5677628848286515E-5,3.2794147085943846E-5
BitRate blocking probability by QoTO,2,all,all,all, ,0.0,1.072171896950722E-4,1.1548195550658864E-5,1.5661340816863753E-4,0.0
BitRate blocking probability by QoTO,3,all,all,all, ,3.299863416300804E-4,4.1645708666609505E-4,6.819004061457603E-4,2.959767965870842E-4,3.847540191368035E-4
BitRate blocking probability by QoTO,4,all,all,all, ,0.0054047041995692454,0.004262054074737065,0.004289610163796004,0.004384428870573832,0.0050379279090488486


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,0.0,5.602597178585542E-5,2.907778329043678E-5,0.0,0.0
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.002336728346374078,0.0017375912621807191,0.0014078688347390832,0.0023170445525178204,0.0020091367732787066


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,7.096593519736179E-6,3.4867816311469345E-5,5.0520019702755565E-5,1.0322785044519878E-5,4.8738296416135384E-5
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.0012679050890942421,0.0010225695218554433,0.0013272626818815133,8.437624653129287E-4,0.0012100700340689679


BitRate blocking probability per core 0,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 0,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 0,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 0,3,all,all,all, ,0.0,0.00409906828710082,0.002109473307344279,0.0,0.0
BitRate blocking probability per core 0,4,all,all,all, ,0.1725549682615427,0.13130214978845933,0.11254023015976361,0.16767110644770944,0.1635259048399742
BitRate blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 1,1,all,all,all, ,0.0,0.0,0.0,6.323568543917384E-4,7.949488391132517E-4
BitRate blocking probability per core 1,2,all,all,all, ,0.0,0.002114745185997558,2.2337226236419846E-4,0.003142207104559065,0.0
BitRate blocking probability per core 1,3,all,all,all, ,0.0038543426745785837,0.003681525658933141,0.007382042733816497,0.004227267633416627,0.0059842581520119275
BitRate blocking probability per core 1,4,all,all,all, ,0.035917734905774754,0.026540010647057747,0.027515038239565096,0.02601124495324924,0.03405794774379593
BitRate blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,3,all,all,all, ,5.024618862026322E-4,0.0015375504714096502,0.0012430898057444503,1.2619484403184538E-4,7.135784085693297E-5
BitRate blocking probability per core 2,4,all,all,all, ,0.01540565341655529,0.013545400391213675,0.015499532275510432,0.012035192330761422,0.013526101493886233
BitRate blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,3,all,all,all, ,2.4467697441383585E-4,7.988763911224294E-5,3.838552662616609E-4,4.628523975302405E-5,0.0
BitRate blocking probability per core 3,4,all,all,all, ,0.007615333273480016,0.0049514072705915116,0.004314922335225436,0.006113146155815258,0.0074739256145866925
BitRate blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
