Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.06774864139859345,0.06519388815064518,0.07379476950448485,0.06924913277186942,0.07301490589835492
BitRate blocking probability,1,all,all,all, ,0.12608617713443002,0.11989322515904476,0.12419125392364153,0.10762055791205093,0.1203816285354669
BitRate blocking probability,2,all,all,all, ,0.15178349446676034,0.16428576634571487,0.1704140640427766,0.16115086192466618,0.16375325592902104
BitRate blocking probability,3,all,all,all, ,0.21284774105059098,0.19296589549489407,0.19495254263902287,0.1848993735037777,0.22467464721371863
BitRate blocking probability,4,all,all,all, ,0.2011988782526522,0.2386776171982318,0.24178841883347404,0.26009440278161117,0.2493911889679105


General requested bitRate,0,all,all,all, ,2.408338543530448E16,2.3949302466723284E16,2.410742893497886E16,2.4212426022046336E16,2.4195820080596012E16
General requested bitRate,1,all,all,all, ,2.4145191597568868E16,2.4061891673046936E16,2.4283647484149648E16,2.4326922662836224E16,2.4154758972757028E16
General requested bitRate,2,all,all,all, ,2.4108481421820672E16,2.3960184052812492E16,2.4218010314215608E16,2.4146173578309184E16,2.420419128613388E16
General requested bitRate,3,all,all,all, ,2.4235687427048084E16,2.422047558278232E16,2.3991202755069912E16,2.4169140825286848E16,2.40792294979212E16
General requested bitRate,4,all,all,all, ,2.4133300163389124E16,2.420750762400668E16,2.4267659709223924E16,2.4277882181759884E16,2.4198449996147112E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.009451529933964337,0.008173380109061204,0.010132911407850819,0.010253187821435016,0.012646263055664785
BitRate blocking probability by QoTN,1,all,all,all, ,0.013464783113901554,0.009050870989412216,0.010698588607550966,0.009184495244685719,0.010794241665568673
BitRate blocking probability by QoTN,2,all,all,all, ,0.009159886050281342,0.0062323447485169055,0.014338602862856067,0.013560113359761958,0.007287054711529221
BitRate blocking probability by QoTN,3,all,all,all, ,0.01584329646584213,0.005746588087282488,0.009147843071524242,0.008751228501270395,0.014124060190122302
BitRate blocking probability by QoTN,4,all,all,all, ,0.008766120130407219,0.015018134290222192,0.01016279116283213,0.01261536364087411,0.006177812883772612


BitRate blocking probability by QoTO,0,all,all,all, ,0.057661847970725044,0.055931577996183215,0.06251358224207136,0.05808704625669547,0.05910618430529232
BitRate blocking probability by QoTO,1,all,all,all, ,0.10305590007514467,0.10282127936073852,0.10504273584376027,0.0925969185067762,0.10188069789704685
BitRate blocking probability by QoTO,2,all,all,all, ,0.11969460104956253,0.13855938795257094,0.13822078917759179,0.12846635202047788,0.13700353619990888
BitRate blocking probability by QoTO,3,all,all,all, ,0.17022959838466292,0.1532112900027637,0.1512735763867298,0.14182243089002075,0.17653071038453108
BitRate blocking probability by QoTO,4,all,all,all, ,0.14640615271210775,0.17080580206508156,0.1852936322404244,0.20355803489621035,0.1977523889015219


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,3.159970946969222E-5,0.0,0.0,3.4240791251274128E-6,2.5356103785981266E-5
BitRate blocking probability by Crosstalk,1,all,all,all, ,1.071228729242884E-4,1.8562793133049374E-4,5.469540972514185E-5,6.929816611044243E-5,3.024311367141269E-4
BitRate blocking probability by Crosstalk,2,all,all,all, ,2.821046570035888E-4,1.4611770019979837E-4,3.860410487739107E-4,4.0661623536203655E-4,1.2085951110627815E-4
BitRate blocking probability by Crosstalk,3,all,all,all, ,3.220507256250291E-4,5.247990307398393E-4,5.70769759252158E-4,4.469178358795904E-4,8.665822329157177E-4
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.0013614012059771931,8.341480803716942E-4,7.109410713498849E-4,6.642400461799264E-4,5.435168248818968E-4


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,6.036637844343373E-4,0.001088930045400678,0.0011482758545626542,9.054746146137275E-4,0.001237102433611797
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,0.00945837107245946,0.007835446877563318,0.008395234062605575,0.00576984599447815,0.007404257836137335
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,0.02264690270991288,0.019347915944427283,0.01746863095355457,0.018717780309064354,0.01934180550647651
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,0.026452795474462106,0.033483218374107546,0.0339603534215168,0.03387879627660726,0.033153294406149614
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.04466520420416034,0.052019532762556296,0.045621054358868644,0.04325676419834571,0.044917470357733


BitRate blocking probability per core 0,0,all,all,all, ,0.30969737043561696,0.2730651567060064,0.3470381721052288,0.2990723942732221,0.3210072254156402
BitRate blocking probability per core 0,1,all,all,all, ,0.4830640930485413,0.4614884396340827,0.4948269797737202,0.43775939850281326,0.489417660283987
BitRate blocking probability per core 0,2,all,all,all, ,0.5826445202198024,0.5991453809835723,0.6037274137596651,0.5944028453979608,0.5951553703960163
BitRate blocking probability per core 0,3,all,all,all, ,0.7216959613025562,0.6698284454853305,0.6705090059944927,0.6503427814871162,0.7183581326574849
BitRate blocking probability per core 0,4,all,all,all, ,0.6922571485160305,0.7508335717223324,0.7496814325326064,0.7696975884566903,0.7542093653774906
BitRate blocking probability per core 1,0,all,all,all, ,0.07410598636449642,0.12971446945088996,0.07652429029264264,0.07536172787345934,0.08427447813125342
BitRate blocking probability per core 1,1,all,all,all, ,0.10861922142285561,0.16141975726616065,0.08908200791927304,0.24852793172683826,0.10107617127149608
BitRate blocking probability per core 1,2,all,all,all, ,0.14764829464191642,0.171900826500417,0.2825077542380557,0.20728459335919172,0.1693433736089921
BitRate blocking probability per core 1,3,all,all,all, ,0.2243833207093231,0.35142173262818244,0.23812571901124274,0.34155108291725483,0.3220789414102859
BitRate blocking probability per core 1,4,all,all,all, ,0.40528792943209624,0.31883192850424047,0.37849459249783574,0.36624079976699964,0.3214780877449967
BitRate blocking probability per core 2,0,all,all,all, ,0.04201978423687211,0.07702600034448899,0.0700454062527975,0.054371673118549714,0.0821037559794672
BitRate blocking probability per core 2,1,all,all,all, ,0.10242001603276926,0.04761676523517485,0.06621672501393003,0.03380706287668608,0.07297700413300214
BitRate blocking probability per core 2,2,all,all,all, ,0.15761990272152673,0.1756844406960698,0.06658556202144401,0.21898341183856465,0.25851707852205374
BitRate blocking probability per core 2,3,all,all,all, ,0.09185765324251922,0.10111534254000183,0.18128464714967124,0.1927991801698261,0.22450812172002874
BitRate blocking probability per core 2,4,all,all,all, ,0.1309079036522641,0.18332146643978492,0.0968780161563062,0.12087070602011492,0.18716172847205986
BitRate blocking probability per core 3,0,all,all,all, ,0.05820655760071188,0.03931892300789121,0.04041234971923738,0.07767783072930891,0.05424996106049928
BitRate blocking probability per core 3,1,all,all,all, ,0.18928098057806284,0.16081208393497937,0.09696584452014374,0.05264758488276841,0.02534913963791207
BitRate blocking probability per core 3,2,all,all,all, ,0.10231975128709689,0.09060436309234522,0.14662685708852333,0.059673635705435116,0.09109795263983748
