Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.2044961464553588,0.205301150230149,0.21756169566934863,0.2115418383894725,0.20781284072147285
Percentage of cicuits per modulation,0,8QAM,all, ,0.1510320887658326,0.1471717931027381,0.15563733133744984,0.1529443359879355,0.14775240646708826
Percentage of cicuits per modulation,0,16QAM,all, ,0.23903341116184887,0.23704832614224958,0.23636666042953075,0.2452046729261566,0.24495602421523732
Percentage of cicuits per modulation,0,32QAM,all, ,0.14548422422877452,0.14806767513463975,0.14364123994261835,0.13716133163934596,0.14164667767359274
Percentage of cicuits per modulation,0,64QAM,all, ,0.25995412938818524,0.2624110553902236,0.2467930726210524,0.25314782105708944,0.25783205092260886
Percentage of cicuits per modulation,1,4QAM,all, ,0.29203327030483206,0.2745393290073772,0.2906307462978881,0.2949794839846184,0.2972896668548842
Percentage of cicuits per modulation,1,8QAM,all, ,0.15311553889368584,0.1574460248507762,0.15790962603501366,0.16446110550172935,0.15946010511227904
Percentage of cicuits per modulation,1,16QAM,all, ,0.22447618943525735,0.22556358397157436,0.2235520689392538,0.21685750499473672,0.21895495808539286
Percentage of cicuits per modulation,1,32QAM,all, ,0.12224978960139027,0.1314686223743649,0.12089394714221985,0.11974478506520012,0.11769751987143291
Percentage of cicuits per modulation,1,64QAM,all, ,0.20812521176483448,0.2109824397959073,0.2070136115856246,0.20395712045371545,0.20659775007601094
Percentage of cicuits per modulation,2,4QAM,all, ,0.33698933386999397,0.34977196923286363,0.34466600540411124,0.3335526390417097,0.3284965510982029
Percentage of cicuits per modulation,2,8QAM,all, ,0.15595581494152636,0.15664919565266716,0.1522842060858957,0.15970371042571777,0.15551824287529498
Percentage of cicuits per modulation,2,16QAM,all, ,0.20643545537890476,0.2047512082227214,0.2078074585855822,0.21465113377270098,0.21587402432383374
Percentage of cicuits per modulation,2,32QAM,all, ,0.11445405961405157,0.11119052481110885,0.10950735939619888,0.10780766133148814,0.11576511163550554
Percentage of cicuits per modulation,2,64QAM,all, ,0.18616533619552336,0.17763710208063893,0.18573497052821197,0.18428485542838347,0.18434607006716283
Percentage of cicuits per modulation,3,4QAM,all, ,0.41331447475667643,0.3984374090332196,0.38063579755606536,0.39674635177760575,0.4294296101894879
Percentage of cicuits per modulation,3,8QAM,all, ,0.14817567243611257,0.15453582199038227,0.15876211433119528,0.14969554818657638,0.1431271519033058
Percentage of cicuits per modulation,3,16QAM,all, ,0.18455434626264564,0.18680064739238267,0.1920501896156187,0.19131359114490057,0.18213228035538007
Percentage of cicuits per modulation,3,32QAM,all, ,0.09684997842450975,0.10028760057287239,0.10469825366356103,0.10077528336549238,0.09279368213228036
Percentage of cicuits per modulation,3,64QAM,all, ,0.15710552812005563,0.15993852101114306,0.16385364483355963,0.1614692255254249,0.1525172754195459
Percentage of cicuits per modulation,4,4QAM,all, ,0.419476270331758,0.4471436426956681,0.43121351766513055,0.46160910863684973,0.448229050968777
Percentage of cicuits per modulation,4,8QAM,all, ,0.14925005570344657,0.14099101851286125,0.14613824884792626,0.1434358684028433,0.1472664445267185
Percentage of cicuits per modulation,4,16QAM,all, ,0.18114760826990958,0.1778945438993096,0.18065745007680492,0.16601874567528466,0.1729236085400469
Percentage of cicuits per modulation,4,32QAM,all, ,0.09884723183188114,0.09162338852569193,0.09517665130568356,0.0902434421588979,0.09477971121806739
Percentage of cicuits per modulation,4,64QAM,all, ,0.1512788338630047,0.14234740636646911,0.14681413210445468,0.13869283512612443,0.13680118474639022


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.0253941360001653,0.027792937978189908,0.03188215971226013,0.0259159410409759,0.025461304424576597
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.06460111163915119,0.06475064616778738,0.06724672030603547,0.06765620319585179,0.06417245568673872
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.03796722937372151,0.03837876244709662,0.04063494043535209,0.039633107124043256,0.03935495259753071
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.057451908176126616,0.05565795841871673,0.05613422316472276,0.057936434156569884,0.057485228912910295
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.019081761266194184,0.018720845218358373,0.021663652050978192,0.02040015287203165,0.02133889909971652
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.02098270553959956,0.020008032045803256,0.023711511673839374,0.02330265563509033,0.018722158188218437
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.04538504452755336,0.04541195127225546,0.048826378926796817,0.04755559687232087,0.04854469746529184
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.029361324049011303,0.02808126782753756,0.02896110106239215,0.027682232757997378,0.028493401036312472
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.03970287414509164,0.03805954011389029,0.039553836878105576,0.03841426254738516,0.0372885579888477
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.01560014050457673,0.015611001843251537,0.014584502796315933,0.015989588175141768,0.014703591788417807
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.09231977188668719,0.09353214362945496,0.09180024532734568,0.09542106948447006,0.09829392646127327
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.05631547409963428,0.054123631720402424,0.05725690762801722,0.05817400555710493,0.056747972544988215
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.028906750418414364,0.02931696718188465,0.028046321129337408,0.02954148719696735,0.029085282909151324
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.04281257102712978,0.04352750975687615,0.042828333229381066,0.045097249336349454,0.04342543845986106
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.018678843729983262,0.016548073853631412,0.016434853115449385,0.01697086135126481,0.017403403839963447
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.04955885695394343,0.048243762292634204,0.04830661760119753,0.0470184789232851,0.04643676728658505
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.03696510114263281,0.03944970188753076,0.0400424125241689,0.03640007023850103,0.0369874251061753
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.01757340331012253,0.019348992390151476,0.017068961932680513,0.01642341421090143,0.01886753268330166
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.031985453643820896,0.03186044835291574,0.029356119669847604,0.02858087240349953,0.030570179537501428
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.009401409178254851,0.009164770211407564,0.0088671282147238,0.008738495863158873,0.008784773060029283
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.15299502035250118,0.15282511764887602,0.14594898022827918,0.1471909764184562,0.15319356614020332
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.05628448044300267,0.05603896571964041,0.05041684858313063,0.055064918967494034,0.053279752448002655
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.016643593611174245,0.016537776359011852,0.016736314684296972,0.016919215394626756,0.01623002398679169
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.02552844184556894,0.028009185365200646,0.025281190877149213,0.02546145662256102,0.02662430038524241
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.008502593135938178,0.00900001029749462,0.008409738248196429,0.008511253653951433,0.008504407962368773
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,0.051993048648530486,0.05226896036225369,0.054468103626491994,0.055221379621474144,0.054651869869261176
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.09470669887313783,0.08237371494188125,0.08976465339963224,0.0878106941072848,0.0905833297137645
Percentage of cicuits per modulation and bandwidth,1,4QAM,400.0, ,0.04880154765938378,0.046495000595811985,0.05048581718476286,0.05122559023824357,0.04916822308126656
Percentage of cicuits per modulation and bandwidth,1,4QAM,300.0, ,0.0713060015520313,0.06924418541668924,0.06943975975714581,0.07471696491868783,0.07617382617382618
Percentage of cicuits per modulation and bandwidth,1,4QAM,500.0, ,0.025225973571748658,0.02415746769074108,0.02647241232985518,0.026004855098928012,0.026712418016765844
Percentage of cicuits per modulation and bandwidth,1,8QAM,100.0, ,0.02584897205250675,0.026454052063134403,0.02932312011054653,0.032202625190659306,0.03458498023715415
Percentage of cicuits per modulation and bandwidth,1,8QAM,200.0, ,0.046779535046396994,0.051933139062516925,0.0481464959143482,0.05674665406346001,0.04823437432133084
Percentage of cicuits per modulation and bandwidth,1,8QAM,400.0, ,0.027182407397287223,0.027948998494220625,0.027114365608713154,0.02601559646823777,0.027233635929288104
Percentage of cicuits per modulation and bandwidth,1,8QAM,300.0, ,0.03865869520072574,0.03675618290344596,0.0393114779070147,0.03509205353498464,0.03597489467054685
Percentage of cicuits per modulation and bandwidth,1,8QAM,500.0, ,0.014645929196769152,0.014353652327458267,0.01401416649439107,0.014404176244387635,0.013432219953959084
Percentage of cicuits per modulation and bandwidth,1,16QAM,100.0, ,0.09946116096313379,0.10086555231770862,0.09598833603534007,0.09505037702206277,0.09094166702862355
Percentage of cicuits per modulation and bandwidth,1,16QAM,200.0, ,0.04763205928322385,0.04937656400645644,0.05193293220320541,0.048679885711830545,0.054945054945054944
Percentage of cicuits per modulation and bandwidth,1,16QAM,400.0, ,0.025422709934093318,0.02457995255170023,0.025471400437398675,0.023695460697329696,0.025409373235460192
Percentage of cicuits per modulation and bandwidth,1,16QAM,300.0, ,0.036592963396106806,0.03676701584859876,0.03568825007888409,0.03592988034114589,0.03396603396603397
Percentage of cicuits per modulation and bandwidth,1,16QAM,500.0, ,0.015367295858699573,0.013974499247110313,0.01447115018442556,0.013501901222367827,0.013692828910220214
Percentage of cicuits per modulation and bandwidth,1,32QAM,100.0, ,0.04778507645393636,0.047903283465675815,0.045067296288639605,0.044447786203785256,0.045530556400121616
Percentage of cicuits per modulation and bandwidth,1,32QAM,200.0, ,0.030177172024089274,0.03345213463184236,0.029986834517501386,0.030236954606973298,0.028590974243148156
Percentage of cicuits per modulation and bandwidth,1,32QAM,400.0, ,0.014525701419780749,0.015371949171821343,0.013306929831242452,0.014597520891963308,0.013996872692524866
