Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.001187232386142468,6.909303230829116E-4,8.563643441027637E-4,4.865706500583885E-4,0.0011093810821331258
Blocking probability,1,all,all,all, ,5.546905410665629E-4,7.493188010899183E-4,9.536784741144414E-4,8.369015181004281E-4,7.201245620864149E-4
Blocking probability,2,all,all,all, ,0.0010801868431296224,0.001050992604126119,0.0011775009731413001,0.0011093810821331258,0.0013818606461658233
Blocking probability,3,all,all,all, ,0.0015375632541845077,0.0014013234721681588,0.0016738030362008563,0.002734527053328143,0.0010217983651226157
Blocking probability,4,all,all,all, ,0.004855975087582717,0.005624756714674971,0.005332814324639937,0.005342545737641105,0.005001946282600233


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,5.8388478007006614E-5,4.8657065005838845E-5,4.8657065005838845E-5,1.9462826002335538E-5,1.1677695601401323E-4
Blocking probability by QoTN,1,all,all,all, ,1.9462826002335538E-5,9.731413001167769E-6,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,9.731413001167769E-6,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,9.731413001167769E-6,1.9462826002335538E-5


Blocking probability by QoTO,0,all,all,all, ,9.634098871156092E-4,5.546905410665629E-4,6.909303230829116E-4,4.184507590502141E-4,8.174386920980927E-4
