Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,2,all,all, ,-28.654961127279865,-29.89421412988223,-30.301541214015025,-29.333184227100954,-31.10788701269719
Average Crosstalk per overlaps,0,3,all,all, ,-27.003692191822,-27.536049840417146,-29.52687931630462,-26.325529081133112,-27.650023270591348
Average Crosstalk per overlaps,0,4,all,all, ,-26.101482456845655,-26.14735033427358,-27.37743010889949,-26.652483394797756,-26.4951317817104
Average Crosstalk per overlaps,0,5,all,all, ,-25.989726588580748,-26.980203645968018,-23.75264276154681,-26.452890955504138,-26.88796196587026
Average Crosstalk per overlaps,0,6,all,all, ,-24.67913309215307,-24.57731892288067,-22.016457107407366,0.0,-22.371077276354313
Average Crosstalk per overlaps,0,7,all,all, ,-27.418932387563515,-22.991824524209505,-25.70703890061835,-25.78706605123108,-27.865030716147537
Average Crosstalk per overlaps,0,8,all,all, ,-23.558900593345594,-22.497223940193305,-24.871438359742434,-23.643325570468143,-20.06158536259065
Average Crosstalk per overlaps,0,9,all,all, ,-23.949581840435727,-22.41700538917608,-21.870051876290994,-23.528456014165716,-23.94424893987832
Average Crosstalk per overlaps,0,10,all,all, ,-24.36873528905676,-23.22119746854724,-21.570379696433864,0.0,-24.231113592649844
Average Crosstalk per overlaps,0,12,all,all, ,-20.328524853099346,-20.307374933762127,-19.747702037630376,-21.896216136263163,0.0
Average Crosstalk per overlaps,0,14,all,all, ,-21.966086069810654,0.0,0.0,-23.29864319663772,-20.549384458263816
Average Crosstalk per overlaps,0,15,all,all, ,-21.452441884055524,-24.39196415976946,-21.757683535419662,0.0,-24.1135047609676
Average Crosstalk per overlaps,0,16,all,all, ,-20.398252426107472,0.0,0.0,-22.893367640306728,-21.97945310907977
Average Crosstalk per overlaps,0,17,all,all, ,-19.53991635905421,-21.71843648276774,0.0,0.0,-20.104793211946273
Average Crosstalk per overlaps,0,18,all,all, ,-20.248418561736493,-20.396760984445244,-21.122592637546386,0.0,-24.14893650092899
Average Crosstalk per overlaps,0,20,all,all, ,-19.452836685575924,0.0,0.0,0.0,-22.115127338743008
Average Crosstalk per overlaps,0,21,all,all, ,-20.616814115758725,-20.632632204868557,0.0,0.0,0.0
Average Crosstalk per overlaps,0,24,all,all, ,-23.119095324447567,-22.14276054420495,0.0,0.0,-20.8911659942956
Average Crosstalk per overlaps,0,30,all,all, ,-19.46313344696111,-20.47286004900894,0.0,0.0,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,2,all,all, ,-27.934529285278085,-30.408413701263157,-28.937739960972923,-29.311294490538177,-27.368000997690757
Average Crosstalk per overlaps,1,3,all,all, ,-26.55056178539613,-28.020572749294026,-27.998983417422984,-25.878673773548016,-26.08525883641114
Average Crosstalk per overlaps,1,4,all,all, ,-27.29797529394437,-27.422323365026706,-26.7416968485824,-26.142402570998158,-26.876100836742705
Average Crosstalk per overlaps,1,5,all,all, ,-26.157121768775863,-24.934182144176134,-23.80220344259242,-26.85290501713966,-25.327900502938384
Average Crosstalk per overlaps,1,6,all,all, ,-23.629324145073397,-24.846275894906267,-24.968438878233677,-23.933859121246407,-23.512414001987942
Average Crosstalk per overlaps,1,7,all,all, ,-23.67386338735105,-23.352452664541303,-25.169535982640884,-22.42430106408965,-23.289193344221456
Average Crosstalk per overlaps,1,8,all,all, ,-22.682044745523275,0.0,-23.390565136874873,-22.606802040815783,-24.562547123150672
Average Crosstalk per overlaps,1,9,all,all, ,-23.23690663437813,-22.308093891752176,0.0,-23.446637854780178,-23.422247274972847
Average Crosstalk per overlaps,1,10,all,all, ,-23.48599110519661,-22.574533651869228,-22.204988301268877,-21.768385724444148,-21.23472304737897
Average Crosstalk per overlaps,1,12,all,all, ,-21.035377378140623,-23.084012746308048,-21.329526763013078,-20.285351625472632,-19.706279809044794
Average Crosstalk per overlaps,1,14,all,all, ,-21.391871462766126,-21.121647144040516,-22.18968997475464,-21.870053241354764,-22.348915002748505
Average Crosstalk per overlaps,1,15,all,all, ,0.0,-20.611302601029323,-20.96750546189101,-22.237009514147555,-20.218751068199087
Average Crosstalk per overlaps,1,16,all,all, ,-21.33939134201868,-20.139008146206905,0.0,-20.062683897276553,0.0
Average Crosstalk per overlaps,1,17,all,all, ,-20.72985221470588,-20.13896265909041,0.0,-20.797404229234225,-19.10403718244165
Average Crosstalk per overlaps,1,18,all,all, ,-19.99726371099871,0.0,-21.961090714911393,-19.90909921052932,-20.8036059532901
Average Crosstalk per overlaps,1,20,all,all, ,0.0,-19.28633089692312,0.0,0.0,-21.201981786484804
Average Crosstalk per overlaps,1,21,all,all, ,0.0,0.0,-20.180577863616662,0.0,-22.357348525138182
Average Crosstalk per overlaps,1,24,all,all, ,0.0,0.0,0.0,0.0,-19.865138145250775
Average Crosstalk per overlaps,1,30,all,all, ,0.0,0.0,-19.815870159874102,0.0,0.0
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,2,all,all, ,-27.490227539365904,-28.60533310791602,-29.799292367755502,-28.6076800200684,-28.591482675724198
Average Crosstalk per overlaps,2,3,all,all, ,-27.50841535996118,-26.867346494028205,-26.64030044600297,-26.906455603960925,-27.3220354587236
Average Crosstalk per overlaps,2,4,all,all, ,-26.433313420605717,-25.85338480503941,-26.05880366246452,-25.9048219605715,-26.173899478798408
Average Crosstalk per overlaps,2,5,all,all, ,-25.471812809712752,-25.36483822921625,-26.1454672085048,-26.892175015227153,-27.29439151028269
Average Crosstalk per overlaps,2,6,all,all, ,-25.04436713243142,-24.62506747442691,-23.962136185334217,-23.688157766706407,-24.74827485548834
Average Crosstalk per overlaps,2,7,all,all, ,-23.169050275698005,-25.719844927004914,-22.980247328455608,-25.937877919171704,-24.230678014851748
Average Crosstalk per overlaps,2,8,all,all, ,-23.814711886280854,-24.25442079525481,-23.172849333597036,-23.381208583875722,-23.32039836466784
Average Crosstalk per overlaps,2,9,all,all, ,-24.435946230185888,-21.511591562314926,-21.97148600545483,-23.62878874216507,-24.410526549233936
Average Crosstalk per overlaps,2,10,all,all, ,-22.8419089972431,-22.36958631101466,-22.465122531544875,-21.712130162111254,-23.54667663163928
Average Crosstalk per overlaps,2,12,all,all, ,-21.580240061980376,-21.997852559434307,-22.10653169496205,-21.424720574440695,-22.542411713386727
Average Crosstalk per overlaps,2,14,all,all, ,-21.974966923041944,-22.742783382674936,-21.61697785715102,-20.65250627052089,-22.786672208388126
Average Crosstalk per overlaps,2,15,all,all, ,-22.41875043308368,-20.73134746064099,-20.89011699217139,-19.63242559339325,-21.23202549529594
Average Crosstalk per overlaps,2,16,all,all, ,-22.19464061548456,-21.762505011643785,-21.91275113730053,-19.950446844769854,-20.874435478789806
Average Crosstalk per overlaps,2,17,all,all, ,-19.672514126212576,-19.738637522107183,-21.181186826458354,-21.063107821115366,-20.469412029004662
Average Crosstalk per overlaps,2,18,all,all, ,-22.23072146284711,-21.077797051817534,-21.669284703996244,-20.354507381789528,-20.06494360582628
Average Crosstalk per overlaps,2,20,all,all, ,-20.54052375106488,-19.2411461560814,-25.09765555778103,-21.273002722337196,-22.233084321274138
Average Crosstalk per overlaps,2,21,all,all, ,-19.57015379617583,-20.379466785424032,0.0,0.0,-20.588310016810176
Average Crosstalk per overlaps,2,24,all,all, ,-21.110589722801674,-20.76742038763502,-19.62325770404794,-20.440451544500768,-20.8708506481017
Average Crosstalk per overlaps,2,30,all,all, ,0.0,0.0,0.0,0.0,-21.172526212398246
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,2,all,all, ,-28.451546490691165,-28.891188225498432,-28.890524422995544,-28.918921767634185,-29.87169615550792
Average Crosstalk per overlaps,3,3,all,all, ,-28.552714001210553,-26.969432364047602,-28.070614200967082,-27.30605347194261,-27.356849280762948
Average Crosstalk per overlaps,3,4,all,all, ,-25.79208376748546,-26.120158278090333,-26.400750744575287,-26.843413681070242,-26.387736212357574
Average Crosstalk per overlaps,3,5,all,all, ,-26.360856316508745,-25.631617770172042,-25.661583037636934,-26.028653258832442,-26.437857250241315
Average Crosstalk per overlaps,3,6,all,all, ,-24.27838051710141,-24.650361253791196,-24.867486042572818,-24.79901055129254,-24.69304924084905
Average Crosstalk per overlaps,3,7,all,all, ,-25.22050559916897,-24.120500208599886,-25.16417308990186,-24.7230109959248,-23.345244329651536
Average Crosstalk per overlaps,3,8,all,all, ,-23.874150451560126,-23.242294216554708,-23.164901183164677,-23.51603823617531,-23.808546349293312
Average Crosstalk per overlaps,3,9,all,all, ,-22.875705830551773,-21.989417377246273,-23.726193208181684,-23.571584821489097,-21.81233600480111
Average Crosstalk per overlaps,3,10,all,all, ,-22.618973564066096,-22.103945358379043,-23.081792221277297,-22.38241161190986,-21.15630873043375
Average Crosstalk per overlaps,3,12,all,all, ,-22.44869891540754,-21.55335807712623,-22.544766008426755,-21.783340211568817,-22.00172920682528
Average Crosstalk per overlaps,3,14,all,all, ,-21.77080140245256,-20.28692257799253,-22.156022039743554,-20.536869265904873,-21.477690404067083
Average Crosstalk per overlaps,3,15,all,all, ,-21.19713158177668,0.0,-21.163355534258365,-21.57593414340454,-20.15932691523804
Average Crosstalk per overlaps,3,16,all,all, ,-20.526933975055066,-22.948377297279922,-20.708107561755863,-21.036681954405758,-20.997853059844566
