Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.35372596123388894,0.3561567193543881,0.35246685296304,0.3536243975858914,0.3516273523436504
BitRate blocking probability,1,all,all,all, ,0.4619870268686462,0.46156631842256557,0.46746859202856095,0.4686372802088861,0.46511517215606507
BitRate blocking probability,2,all,all,all, ,0.5409110650524045,0.5305404668452637,0.5331403684698138,0.5320468757601309,0.5362845540885864
BitRate blocking probability,3,all,all,all, ,0.5808301100774534,0.5794931216726339,0.5847508544953489,0.5822987884843415,0.5782958770388087
BitRate blocking probability,4,all,all,all, ,0.6170418383537399,0.6164358967881767,0.6195837481195802,0.6169021019185714,0.6168313104222711


General requested bitRate,0,all,all,all, ,2.4227945434108224E16,2.4178398321245E16,2.4120624236134688E16,2.4084944528328072E16,2.412641211082594E16
General requested bitRate,1,all,all,all, ,2.4154589774745632E16,2.4233791691419532E16,2.4203174548440136E16,2.4118064550492852E16,2.4154295286548576E16
General requested bitRate,2,all,all,all, ,2.4322221655164256E16,2.3981004352108584E16,2.4246840634979744E16,2.411373747567196E16,2.4208420648748388E16
General requested bitRate,3,all,all,all, ,2.4164432435633256E16,2.4224234405854816E16,2.421750948921222E16,2.4145437551805312E16,2.4192979902408512E16
General requested bitRate,4,all,all,all, ,2.4042028324239096E16,2.404699893963518E16,2.4056755702664956E16,2.3926180542154388E16,2.40711120590311E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.35372596123388894,0.3561567193543881,0.35246685296304,0.3536243975858914,0.3516273523436504
BitRate blocking probability by QoTO,1,all,all,all, ,0.4619870268686462,0.46156631842256557,0.46746859202856095,0.4686372802088861,0.46511517215606507
BitRate blocking probability by QoTO,2,all,all,all, ,0.5409110650524045,0.5305404668452637,0.5331403684698138,0.5320468757601309,0.5362845540885864
BitRate blocking probability by QoTO,3,all,all,all, ,0.5808301100774534,0.5794931216726339,0.5847508544953489,0.5822987884843415,0.5782958770388087
BitRate blocking probability by QoTO,4,all,all,all, ,0.6170418383537399,0.6164358967881767,0.6195837481195802,0.6169021019185714,0.6168313104222711


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability per core 0,0,all,all,all, ,0.8257754460297386,0.8223610505724298,0.8218805448971661,0.8225161800298395,0.8221381620921802
BitRate blocking probability per core 0,1,all,all,all, ,0.8759714080778013,0.8728920238823441,0.878334793594292,0.88080687021661,0.8788930487653566
BitRate blocking probability per core 0,2,all,all,all, ,0.905504698234639,0.9024186438925073,0.9058481170390472,0.9014946927938817,0.9024702857472106
BitRate blocking probability per core 0,3,all,all,all, ,0.9189645136150361,0.9171558321506099,0.9215150287410141,0.9179011931806681,0.9160707884005401
BitRate blocking probability per core 0,4,all,all,all, ,0.9284824362324798,0.9282418373574459,0.9291724946765842,0.9290671428567373,0.9256257398191754
BitRate blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 1,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 1,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 1,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 1,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability per pair,0,all,11,2, ,0.01939045277317554,0.06026243390347707,0.07689662182303547,0.08667421901908558,0.0886119165857796
BitRate blocking probability per pair,0,all,1,23, ,0.842940969398429,0.9222704850126663,0.9326546313587021,0.8452901426868681,0.8950077818542029
