Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,2,all,all, ,-28.689850278804375,-28.927548446421504,-28.384512660858654,-27.79787218009527,-27.273302913627894
Average Crosstalk per overlaps,0,3,all,all, ,-27.282657450087783,-28.1758991602257,-27.127532940709802,-26.53798489053401,-27.046268613603342
Average Crosstalk per overlaps,0,4,all,all, ,-23.94590135373743,-27.17133229648622,-27.771209492950618,-25.9177791494597,-25.749845079054325
Average Crosstalk per overlaps,0,5,all,all, ,-26.65903475335277,0.0,-26.41062017549821,-26.12261700978721,-25.245755798394583
Average Crosstalk per overlaps,0,6,all,all, ,-26.307944635860913,0.0,-26.114132343224654,-25.913582650360013,-25.04220078989444
Average Crosstalk per overlaps,0,8,all,all, ,-25.050450279352276,-25.052823924680972,-24.49591625163544,-24.075979696758463,-25.453655936159187
Average Crosstalk per overlaps,0,9,all,all, ,-24.983178221040912,-23.2001710135032,-23.906261230948267,-23.442374625484753,-23.608604113247523
Average Crosstalk per overlaps,0,10,all,all, ,-22.52036376043086,-24.44144054460554,-21.222006350397805,-23.614368931439753,-21.292859719355487
Average Crosstalk per overlaps,0,14,all,all, ,-24.01984988569631,0.0,0.0,-22.56264666544477,-23.582585003701272
Average Crosstalk per overlaps,0,15,all,all, ,-20.26236788938811,0.0,0.0,0.0,-20.993745456447808
Average Crosstalk per overlaps,0,22,all,all, ,-21.270751790649722,0.0,0.0,-21.061264045497637,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,2,all,all, ,-27.837651515976038,-27.28593237083821,-28.882094196815334,-27.98483293767767,-28.16268124266883
Average Crosstalk per overlaps,1,3,all,all, ,-26.49715869157785,-28.17631719025003,-27.4776933980955,-27.592081481002694,-26.655877231737666
Average Crosstalk per overlaps,1,4,all,all, ,-26.15714942862559,-25.830167611959588,-25.85629156777282,-25.80470759650935,-26.057325152932222
Average Crosstalk per overlaps,1,5,all,all, ,-25.797291056080635,-24.19634966393058,-26.48578206857896,-27.3251623423884,-25.925659396517183
Average Crosstalk per overlaps,1,6,all,all, ,-25.677957448976947,-24.513609347449915,-24.87512843888744,-25.11101413057588,-24.671378212582887
Average Crosstalk per overlaps,1,8,all,all, ,-23.233582400943366,-24.02069130075257,-23.471286908161414,-23.84212713277541,-24.282187876841743
Average Crosstalk per overlaps,1,9,all,all, ,-23.550632716079633,-22.80771934787368,-21.42679481228713,-23.891488949510187,-23.898856012600078
Average Crosstalk per overlaps,1,10,all,all, ,-23.355982556250133,-22.09828185761958,-23.21889757141211,-22.509651527049005,-23.016891988644414
Average Crosstalk per overlaps,1,14,all,all, ,0.0,-23.768649601072642,-20.41463587930307,-22.167460676734454,-21.544648690407204
Average Crosstalk per overlaps,1,15,all,all, ,-19.55089375081956,-22.181714090701533,-20.84928278892218,-21.050346951600716,-21.30644880569386
Average Crosstalk per overlaps,1,22,all,all, ,-20.334325534928844,0.0,0.0,-20.184397731137643,-21.964023819756573
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,2,all,all, ,-28.08602129170487,-28.844791979799496,-27.977788034969763,-29.0304328696699,-28.324671296309134
Average Crosstalk per overlaps,2,3,all,all, ,-27.47967425320647,-27.65042055154367,-26.802271506042388,-26.66606718736637,-27.37814130045852
Average Crosstalk per overlaps,2,4,all,all, ,-25.80034180739418,-25.58501014011104,-26.11548374664203,-25.905618928259866,-26.02612713511803
Average Crosstalk per overlaps,2,5,all,all, ,-25.459370210887645,-26.541663549883705,-25.98600155534491,-28.858071591920233,-25.79615394905446
Average Crosstalk per overlaps,2,6,all,all, ,-23.954464807631705,-24.707635465348563,-25.646622043472203,-24.39292382902157,-24.94254987013138
Average Crosstalk per overlaps,2,8,all,all, ,-23.766796316093547,-23.231829215769704,-24.369342603285883,-23.91007163783372,-23.641054608438388
Average Crosstalk per overlaps,2,9,all,all, ,-22.534364533954562,-23.42485282212674,-23.40700187223627,-22.926215729844635,-22.68266866415899
Average Crosstalk per overlaps,2,10,all,all, ,-22.357988354017625,-22.38944262312094,-23.645236264074097,-22.389341022902506,-23.65889965120795
Average Crosstalk per overlaps,2,14,all,all, ,-23.037300035866952,-22.70299639476721,-20.951771644044246,-20.533457541795205,-22.064289043648923
Average Crosstalk per overlaps,2,15,all,all, ,-21.729599075979646,-20.960341740311755,-21.906651801230232,-21.961208189466007,-22.122059111639697
Average Crosstalk per overlaps,2,22,all,all, ,-21.059447986380523,0.0,-20.095488001090764,0.0,-20.136989288765264
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,2,all,all, ,-28.821233993191548,-29.23324872938327,-28.98004299423669,-28.9860675707531,-28.795921981919932
Average Crosstalk per overlaps,3,3,all,all, ,-27.069449581002708,-26.787932894119635,-27.43118045101875,-27.24108986408491,-26.911360481077445
Average Crosstalk per overlaps,3,4,all,all, ,-26.294570273280964,-26.438946296554604,-25.963634882181402,-26.236961948974727,-26.60601360980225
Average Crosstalk per overlaps,3,5,all,all, ,-25.981162101433174,-25.585826472904504,-25.911621273757337,-25.747491432692243,-25.770588155931613
