Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.020001366613629043,0.020571953017447592,0.021679264076873497,0.020570346288648723,0.02146169994629693
Percentage of cicuits per modulation,0,8QAM,all, ,0.20065792684712475,0.1987580671932514,0.19589461143337045,0.20058772417967569,0.20077137138114534
Percentage of cicuits per modulation,0,16QAM,all, ,0.2437257792138067,0.2444420577811191,0.2415968438116443,0.24058616212205527,0.24244495435238977
Percentage of cicuits per modulation,0,32QAM,all, ,0.1855861308239704,0.18580173987756418,0.1850745102634714,0.18691972000117155,0.1888883464336279
Percentage of cicuits per modulation,0,64QAM,all, ,0.3500287965014691,0.35042618213061777,0.3557547704146403,0.35133604740844876,0.3464336278865401
Percentage of cicuits per modulation,1,4QAM,all, ,0.027034154059518114,0.025072032035942764,0.026505011821254813,0.026359223775062748,0.02625998064951184
Percentage of cicuits per modulation,1,8QAM,all, ,0.23641211458262118,0.24702837329686966,0.24242365032532875,0.24391315812604378,0.24402138326671421
Percentage of cicuits per modulation,1,16QAM,all, ,0.24771215657932005,0.2458758607217854,0.24600910529709452,0.24599337845360522,0.2436500102616225
Percentage of cicuits per modulation,1,32QAM,all, ,0.17587826817333893,0.1768227767739415,0.1751792727485883,0.17505102887892726,0.1767637774498402
Percentage of cicuits per modulation,1,64QAM,all, ,0.3129633066052017,0.3052009571714607,0.3098829598077336,0.30868321076636096,0.3093048483723112
Percentage of cicuits per modulation,2,4QAM,all, ,0.02808895486819873,0.026518040481079495,0.02866164208139046,0.027248089698558835,0.025798261888487453
Percentage of cicuits per modulation,2,8QAM,all, ,0.287716453915948,0.2849711547863499,0.2835273761693891,0.2825680713048753,0.28718875109852554
Percentage of cicuits per modulation,2,16QAM,all, ,0.246647589096485,0.24809817150679575,0.24732885617369033,0.247473314483069,0.24854018162288838
Percentage of cicuits per modulation,2,32QAM,all, ,0.17285059918545936,0.17283660897623937,0.16916429611816575,0.16987740805604204,0.17373303388340983
Percentage of cicuits per modulation,2,64QAM,all, ,0.2646964029339089,0.2675760242495355,0.2713178294573643,0.27283311645745484,0.2647397715066888
Percentage of cicuits per modulation,3,4QAM,all, ,0.03084348696215198,0.027715187021180712,0.02835790235647419,0.028141470044686073,0.02726027397260274
Percentage of cicuits per modulation,3,8QAM,all, ,0.3069535189436302,0.3177302741148578,0.3159670934861928,0.31890406672598737,0.31909001956947164
Percentage of cicuits per modulation,3,16QAM,all, ,0.24585516118272607,0.24757528851617455,0.24489137133298772,0.24651653971389179,0.24765166340508807
Percentage of cicuits per modulation,3,32QAM,all, ,0.17015912256950577,0.16951427395810884,0.17187882107816765,0.16885859840225287,0.1691682974559687
Percentage of cicuits per modulation,3,64QAM,all, ,0.246188710341986,0.2374649763896781,0.2389048117461777,0.23757932511318192,0.2368297455968689
Percentage of cicuits per modulation,4,4QAM,all, ,0.02660666738718203,0.02986529599432825,0.034003075952362176,0.027424999017025126,0.029774279042730327
Percentage of cicuits per modulation,4,8QAM,all, ,0.3404828107959402,0.33633660246563474,0.3227482451297421,0.3392737781622302,0.32976344128397883
Percentage of cicuits per modulation,4,16QAM,all, ,0.2508474243213237,0.2479617157036512,0.24690432999447906,0.2502752329650454,0.2508350000492625
Percentage of cicuits per modulation,4,32QAM,all, ,0.16892482732194264,0.16827169246524085,0.16848726240239767,0.1679904061652184,0.16780791550489177
Percentage of cicuits per modulation,4,64QAM,all, ,0.21313827017361145,0.21756469337114498,0.22785708652101902,0.21503558369048087,0.22181936411913653


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.008961080796150054,0.009490241259116784,0.009599421886291284,0.009743334407247946,0.009881365034418787
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.0035141493318235507,0.0036223040196834634,0.003945235444620223,0.0036415468275586014,0.00364204462236977
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.0023330046952939683,0.002313978578611808,0.002587840081248413,0.0023528492907282116,0.00274373871014988
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.0038069951094755134,0.0038761582097421427,0.0040721860901154275,0.003690361128196116,0.0038275643216325733
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.0013861366808859562,0.0012692709502933968,0.0014745805745981523,0.0011422546349178456,0.001366987257725919
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.12309284187304159,0.1224846467033128,0.11934337219976172,0.12455456950668267,0.12555777962212566
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.012426422498364944,0.012282637349762256,0.01290990410343548,0.012203575159378692,0.01195137431040375
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.025301875189129564,0.024916765116528836,0.02365188179918361,0.025344384890997666,0.023795342479129032
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.026424450670128753,0.02575643666826139,0.0266303392511865,0.02525651914985014,0.026373089879412195
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.013412336616459885,0.013317581355386103,0.01335911407980313,0.013228675472766502,0.013093785090074696
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.0,9.763622694564592E-6,9.765434268861936E-6,0.0,9.764194698042278E-6
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.08523764434856457,0.08694506009509768,0.08521317943008926,0.08409727713831044,0.0862373675731094
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.05304413185869215,0.0520596362074184,0.05231343137829339,0.05113786134786047,0.052062686129961434
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.07746746971486583,0.07706427392819831,0.0760434366516279,0.0773511407902059,0.076443880290973
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.027976533291684157,0.028363323927710137,0.028017030917364894,0.02799988284567847,0.0276912561636479
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.014896088556563162,0.015426523857412054,0.015165719419542588,0.015034804596354548,0.016276912561636478
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.06671026814911707,0.06729088761093917,0.06613152086873303,0.06738326060002538,0.06751940633696236
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.03229112774908974,0.031604846662305584,0.03226499482431984,0.03352566167784514,0.0323780696187082
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.056450904405376645,0.05557454037746165,0.05603406183472979,0.055277314041921724,0.05659327246985305
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.015237741963823785,0.01590494136944572,0.01547821331614617,0.015698679085024748,0.016120685446467803
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.17987563815975713,0.18324367073158826,0.1862854241128103,0.18166730125257496,0.17747400283161646
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.09782025126167722,0.09586901123792972,0.09698052772406789,0.09643753233947418,0.09749548405995216
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.022734593871714025,0.02254420480174964,0.02285111618913693,0.022815804117974403,0.02236000585851682
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.03834327382056363,0.037775456205270404,0.03858323079627351,0.038494957482744147,0.03813894449055314
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.011255039387757093,0.01099383915407973,0.011054471592351713,0.011920452215681106,0.01096519064590148
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,0.012911543232183145,0.011339551692142404,0.012856835811563336,0.012696180402957233,0.012274855115663145
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.004561036830128236,0.0041607657371685305,0.00445495222649915,0.00415067436250525,0.0043001084800093825
Percentage of cicuits per modulation and bandwidth,1,4QAM,400.0, ,0.0033011358642041624,0.0033696342237632465,0.0030872037359073057,0.0031935776859746273,0.003166443517097818
Percentage of cicuits per modulation and bandwidth,1,4QAM,300.0, ,0.004434070066120384,0.004453777408800117,0.004474491490650462,0.004492494604123329,0.004798530144737742
Percentage of cicuits per modulation and bandwidth,1,4QAM,500.0, ,0.0018263680668821846,0.0017483029740684671,0.0016315285566345572,0.0018262967195023098,0.001720043392003753
