Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.00397041650447645,0.005108991825613079,0.003668742701440249,0.004817049435578046,0.005381471389645776
Blocking probability,1,all,all,all, ,0.007318022576878163,0.005955624756714675,0.00506033476060724,0.005138186064616582,0.007045543012845465
Blocking probability,2,all,all,all, ,0.0068217205138186065,0.00567341377968081,0.006286492798754379,0.006841183339820942,0.0048462436745815496
Blocking probability,3,all,all,all, ,0.008145192681977423,0.008534449202024133,0.0072401712728688205,0.007279096924873492,0.008699883223043986
Blocking probability,4,all,all,all, ,0.013993771895679253,0.01335149863760218,0.01487933047878552,0.014889061891786688,0.013555858310626704


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,5.8388478007006614E-5,0.0,5.8388478007006614E-5,9.731413001167769E-6
Blocking probability by QoTN,1,all,all,all, ,2.9194239003503307E-5,0.0,2.9194239003503307E-5,1.9462826002335538E-5,0.0
Blocking probability by QoTN,2,all,all,all, ,1.9462826002335538E-5,0.0,9.731413001167769E-6,0.0,9.731413001167769E-6
Blocking probability by QoTN,3,all,all,all, ,9.731413001167769E-6,9.731413001167769E-6,0.0,9.731413001167769E-6,0.0
