Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.002801927398482842,0.002721787108399525,0.0024594010077062644,0.0031831666794195756,0.0022240243198320196
BitRate blocking probability,1,all,all,all, ,0.0018964444186515058,0.002278814932032658,0.0027550931162372105,0.0019123794335006192,0.002074463766237884
BitRate blocking probability,2,all,all,all, ,0.0017354931668185536,0.003194427646521304,0.0027936588013785773,0.0022328004997757243,0.0026293723732752523
BitRate blocking probability,3,all,all,all, ,0.006905451168267552,0.007557765309630838,0.007695350570135887,0.006353736596577729,0.006979868974273341
BitRate blocking probability,4,all,all,all, ,0.017522771994494497,0.01628839871137234,0.018307358302644933,0.016222085491039644,0.017326747624893307


General requested bitRate,0,all,all,all, ,2.4224261004033348E16,2.41372565764461E16,2.4232547327353232E16,2.4177556252694264E16,2.4179275594377184E16
General requested bitRate,1,all,all,all, ,2.4045122776646908E16,2.4135024249120652E16,2.4177141363919992E16,2.4301303334558376E16,2.4213453195363068E16
General requested bitRate,2,all,all,all, ,2.4179997481660392E16,2.4374078919980716E16,2.4029209371626752E16,2.4079154752811168E16,2.4150527957133992E16
General requested bitRate,3,all,all,all, ,2.4270064387335568E16,2.4165477475526524E16,2.4190265584473408E16,2.4145223556948128E16,2.4217727915276336E16
General requested bitRate,4,all,all,all, ,2.4275623531051712E16,2.4099955123520548E16,2.4140612754048528E16,2.4190462802340948E16,2.4282244362178312E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.001737311136960906,0.0018520355020745726,0.0016747072624129834,0.0023968995143078793,0.001514372186075837
BitRate blocking probability by QoTN,1,all,all,all, ,6.68601536476776E-4,9.439122133540128E-4,9.87804852681234E-4,5.769342311364798E-4,8.05173296091412E-4
BitRate blocking probability by QoTN,2,all,all,all, ,2.8199453348503434E-4,3.055551446099329E-4,3.872586956399784E-4,2.416247030663465E-4,2.2685998217798127E-4
BitRate blocking probability by QoTN,3,all,all,all, ,2.5930747717789465E-4,9.649640174942076E-5,1.6882765595600582E-4,3.6584992055076047E-4,1.7587343476730265E-4
BitRate blocking probability by QoTN,4,all,all,all, ,1.6163785174271427E-4,1.4618280931711752E-4,1.4065590270981708E-4,2.5507856606224997E-4,2.0921119768789063E-4


BitRate blocking probability by QoTO,0,all,all,all, ,5.366998688765818E-6,2.0894284901841038E-5,6.326277830509157E-7,0.0,1.653889564316485E-5
BitRate blocking probability by QoTO,1,all,all,all, ,2.1878049626978043E-5,7.360375619003418E-5,5.701042378100703E-5,6.058415491375149E-5,2.770466506731694E-5
BitRate blocking probability by QoTO,2,all,all,all, ,6.712575546982216E-5,3.854894375447014E-4,2.177040624726923E-4,3.5962735514738243E-4,3.860741888182514E-4
BitRate blocking probability by QoTO,3,all,all,all, ,9.611151516995734E-4,9.362158501387845E-4,9.226341229668057E-4,0.0011922580392247845,0.0010698399618758595
BitRate blocking probability by QoTO,4,all,all,all, ,0.0015886759635086545,0.0019256505656625306,0.0016806029144147369,0.0016048229609878521,0.0013076184041010254


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0010592492628331701,8.358393359911155E-4,7.716823369499402E-4,7.82072037974163E-4,6.336971410595701E-4
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0011957552600492145,0.001228474934635829,0.0016765290636546854,0.0012023927709977579,0.0012109906449614747
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0013294134481080275,0.0024419096582715466,0.0021291468887491977,0.0015624794282056904,0.0018526707501271469
BitRate blocking probability by Crosstalk,3,all,all,all, ,0.004877696108679236,0.005488472670241321,0.006010708244929214,0.004188676814924107,0.0051210082659805395
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.01366945224019575,0.010939754901962376,0.013353857998074188,0.011732053294447807,0.01310709972471313


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,0.0,1.3017985431995984E-5,1.237878056028936E-5,4.195127137532463E-6,5.941609705344708E-5
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,1.0209572498537057E-5,3.282402785278309E-5,3.374877612028373E-5,7.246827645262991E-5,3.059516011768105E-5
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,5.695942975566956E-5,6.147340609512313E-5,5.954915451670736E-5,6.906901335630552E-5,1.6376745215187203E-4
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,8.073324307108611E-4,0.0010365803875013154,5.931805462838665E-4,6.069518218780758E-4,6.131473116496367E-4
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.002103005939047388,0.003276810434430321,0.0031322414874462084,0.0026301306695417433,0.002702818298391262


BitRate blocking probability per core 0,0,all,all,all, ,0.14674455539846168,0.1496497284170121,0.13219190841586417,0.1631800198577534,0.11768344377290131
BitRate blocking probability per core 0,1,all,all,all, ,0.10536206667629448,0.12219421089552719,0.14273505425231012,0.09675094203917149,0.11068494514564174
BitRate blocking probability per core 0,2,all,all,all, ,0.0996746786253697,0.15553019876251037,0.13743819886760678,0.10713527987938286,0.12820946610081246
BitRate blocking probability per core 0,3,all,all,all, ,0.2851643406958564,0.29099091364329205,0.29801464211037215,0.24669404379414553,0.28235997936118085
BitRate blocking probability per core 0,4,all,all,all, ,0.5277365136550005,0.48854910377447053,0.5213868918418226,0.4954615729292184,0.5020049244773829
BitRate blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 1,1,all,all,all, ,6.046444021281414E-4,0.0016230858087126197,0.0015477695629458248,0.0014630653559200705,4.7069737949297655E-4
BitRate blocking probability per core 1,2,all,all,all, ,9.571239405522524E-4,0.00838665047386,0.005008798533886989,0.009299812435584092,0.008742429495055777
BitRate blocking probability per core 1,3,all,all,all, ,0.014888344191008023,0.018573334709156532,0.010559717018202299,0.01649929133678809,0.013694272481562964
BitRate blocking probability per core 1,4,all,all,all, ,0.02359603174839218,0.034108105627183444,0.029977087148836824,0.02852930219432726,0.02564970194434269
BitRate blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,2,all,all,all, ,4.067079156759846E-4,5.440973679875684E-4,0.0,0.0,0.0
BitRate blocking probability per core 2,3,all,all,all, ,0.00813221639685544,0.004191421746803419,0.006418481562800308,0.004540719235615249,0.006731300319653384
BitRate blocking probability per core 2,4,all,all,all, ,0.006876749546566471,0.01582676468856863,0.010625305343605571,0.013341617397072588,0.00971011039178448
BitRate blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,1.1910897173172128E-4
BitRate blocking probability per core 3,3,all,all,all, ,9.656446576750147E-4,0.0020161814849222644,0.0013268147768418761,0.002742339064652448,0.0011635164785293113
BitRate blocking probability per core 3,4,all,all,all, ,0.0070310543935401615,0.004658767115155527,0.008015140844368964,0.004411869597568897,0.006993480625051952
BitRate blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 4,2,all,all,all, ,0.0,0.0,0.0,0.0,6.182694801959897E-5
BitRate blocking probability per core 4,3,all,all,all, ,3.2728214798457265E-4,5.413781633502559E-4,0.0012568254283851794,4.302297760584692E-4,2.9204118137725212E-5
BitRate blocking probability per core 4,4,all,all,all, ,0.0025330050821695416,0.0038726528994828687,0.0028128572719909486,0.002094831226121444,0.002033643342490138
BitRate blocking probability per core 5,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 5,2,all,all,all, ,0.0,1.2323253470719736E-4,0.0,0.0,0.0
BitRate blocking probability per core 5,3,all,all,all, ,4.609638284165913E-4,2.886267586516191E-4,2.1455423118762869E-4,5.265175078413268E-4,4.451999007431313E-4
BitRate blocking probability per core 5,4,all,all,all, ,0.0015032435736222424,0.001994818372313348,0.0019498967790877735,0.0017446269704645848,0.0018269246671500183
BitRate blocking probability per core 6,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 6,3,all,all,all, ,0.0,3.238363274135882E-4,6.685203043329686E-5,0.0,6.214044084643183E-5
BitRate blocking probability per core 6,4,all,all,all, ,2.274060611277885E-4,5.177013545270423E-4,8.982454848898293E-4,1.6191892465078892E-4,3.7860726719495967E-4


BitRate blocking probability per pair,0,all,11,2, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,1,23, ,0.0,0.0034295331342866007,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,2,9, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,1,20, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,17,24, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,21,15, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,19,11, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,3,1, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,24,2, ,0.15564093988080674,0.08121325917086769,0.11488208199072535,0.15300046832713576,0.1301205087937338
BitRate blocking probability per pair,0,all,23,22, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,17,22, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,15,20, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,2,7, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,10,1, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,14,16, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,13,18, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,11,7, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,15,10, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,17,4, ,0.0,0.0,0.0,0.0,0.006144217502206107
BitRate blocking probability per pair,0,all,15,19, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,9,22, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,9,19, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,24,7, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,1,18, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,19,4, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,5,1, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,5,20, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,21,24, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,9,1, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,9,21, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,14,15, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,8,4, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,8,21, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,6,3, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,9,2, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,16,2, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,9,4, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,23,21, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,19,24, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,22,15, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,23,17, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,8,11, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,24,17, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,22,18, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,5,11, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,4,8, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,23,9, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,6,12, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,4,5, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,16,9, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,16,11, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,24,20, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per pair,0,all,12,14, ,0.0,0.0,0.0,0.0,0.0
