Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.11554901825289489,0.11519965311994955,0.11727329235444436,0.11409303334450732,0.11540244852861385
Percentage of cicuits per modulation,0,8QAM,all, ,0.11196556728101956,0.11304150735149197,0.11209337661440708,0.11266341963599077,0.11138733512878944
Percentage of cicuits per modulation,0,16QAM,all, ,0.19797826237179045,0.1974161378059837,0.19737945596084971,0.1983416480981208,0.19887142758491422
Percentage of cicuits per modulation,0,32QAM,all, ,0.20117671447891886,0.19867751980763926,0.19957968683709412,0.20153609528128882,0.19970009963794924
Percentage of cicuits per modulation,0,64QAM,all, ,0.37333043761537626,0.37566518191493553,0.37367418823320475,0.3733658036400923,0.37463868911973325
Percentage of cicuits per modulation,1,4QAM,all, ,0.11905043690948182,0.1188029885806216,0.11848243079320309,0.11789492381779428,0.1186502570985857
Percentage of cicuits per modulation,1,8QAM,all, ,0.11501666765291832,0.11704616113463417,0.11547451158295446,0.11609891844951449,0.11641976648934595
Percentage of cicuits per modulation,1,16QAM,all, ,0.21003215180385426,0.2070687630158213,0.20955827966745233,0.20910633930686034,0.20848178597159578
Percentage of cicuits per modulation,1,32QAM,all, ,0.19578081543286585,0.1944551367463161,0.19718143176954409,0.19558695823794112,0.19346051735538822
Percentage of cicuits per modulation,1,64QAM,all, ,0.36011992820087974,0.3626269505226068,0.359303346186846,0.3613128601878898,0.36298767308508434
Percentage of cicuits per modulation,2,4QAM,all, ,0.11999052862132244,0.12053747729247295,0.12095183621947853,0.11949009671599413,0.120608021464223
Percentage of cicuits per modulation,2,8QAM,all, ,0.12060222182758144,0.11933299107495458,0.11813143465740997,0.12106752373534718,0.12049951666041941
Percentage of cicuits per modulation,2,16QAM,all, ,0.21633220860711538,0.21972987915646475,0.2200603526488107,0.21740887894233518,0.21920929590246405
Percentage of cicuits per modulation,2,32QAM,all, ,0.19292014443852484,0.19023971250296184,0.19251706047098735,0.19154893474381599,0.1908402217443627
Percentage of cicuits per modulation,2,64QAM,all, ,0.3501548965054559,0.3501599399731459,0.34833931600331347,0.35048456586250754,0.34884294422853085
Percentage of cicuits per modulation,3,4QAM,all, ,0.12151140374291901,0.12291429982711781,0.12182284980744544,0.1224520043080024,0.12170734117182097
Percentage of cicuits per modulation,3,8QAM,all, ,0.12237150398908563,0.12008891084218326,0.12129949639577367,0.12288675684488228,0.12158877581266674
Percentage of cicuits per modulation,3,16QAM,all, ,0.22472343328291366,0.22605087675969376,0.22762911029920016,0.22548835554852925,0.22644007509139413
Percentage of cicuits per modulation,3,32QAM,all, ,0.18995363367638482,0.19006174364040504,0.1907573812580231,0.1902734000612606,0.1892204327635609
Percentage of cicuits per modulation,3,64QAM,all, ,0.3414400253086969,0.34088416893060014,0.3384911622395576,0.3388994832373255,0.34104337516055727
Percentage of cicuits per modulation,4,4QAM,all, ,0.12299305948586578,0.12336611848308306,0.12150412911796489,0.12423536410053042,0.12336624820126035
Percentage of cicuits per modulation,4,8QAM,all, ,0.12625976785519247,0.12413033337634109,0.1242700928927619,0.1235810241411788,0.12517243090358757
Percentage of cicuits per modulation,4,16QAM,all, ,0.2314795508027762,0.22984011036454044,0.231002587514499,0.23337133792693204,0.2315784250483799
Percentage of cicuits per modulation,4,32QAM,all, ,0.18882368711089928,0.18883055271594032,0.19098038049351138,0.18969910276111634,0.18788269736515656
Percentage of cicuits per modulation,4,64QAM,all, ,0.33044393474526623,0.33383288506009506,0.3322428099812628,0.3291131710702424,0.33200019848161566


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.0011352530627153279,0.001054436517008948,0.0015391749627539392,0.0015380671622660857,0.0015488275276963903
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.00104640717085065,0.0010051637825692775,0.00101625013566446,9.957998935184273E-4,9.075932009431077E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.047414090958449735,0.04678938862391107,0.047438161672570124,0.04613215546309625,0.04734282360136928
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.03712771103367259,0.038255351018960146,0.03927856106873995,0.03720939404097569,0.037556601260765335
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.028825556027206586,0.028095313177500098,0.028001144514715894,0.02821761678465088,0.02804660293783973
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.001510380161699523,0.0013106547360952343,0.0014306433948674435,0.00157750478181137,0.001706669823512583
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.04098757144690471,0.0406401513658402,0.040778270006807886,0.040975686707550335,0.03948030424102519
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.029013119576698686,0.029977531633095512,0.02908646019358085,0.029459901800327332,0.028687837264593015
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.03439323191739307,0.03539753242145926,0.034848499797736625,0.035030465561098734,0.03545532569771227
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.006061264178323577,0.005715637195001774,0.005949503221414265,0.005619860785203005,0.006057198101946393
