Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.16000389256520048,0.16232970027247956,0.1626216426625146,0.1617458154924095,0.16278707668353445
Blocking probability,1,all,all,all, ,0.15952705332814324,0.16195017516543403,0.15862203191903465,0.16293304787855198,0.1602958349552355
Blocking probability,2,all,all,all, ,0.16033476060724017,0.16003308680420397,0.16140521603736863,0.1622907746204749,0.16112300506033475
Blocking probability,3,all,all,all, ,0.15900155702608018,0.16136629038536396,0.16136629038536396,0.16268976255352277,0.1632541845075905
Blocking probability,4,all,all,all, ,0.16311794472557414,0.16328337874659402,0.1616874270144025,0.16301089918256131,0.16169715842740365


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.13773841961852862,0.14179641884001556,0.14245815492409497,0.1392857142857143,0.13981121058777735
Blocking probability by QoTN,1,all,all,all, ,0.11374075515764889,0.11625145971195018,0.1090891397430907,0.11866485013623979,0.11231023744647722
Blocking probability by QoTN,2,all,all,all, ,0.0800116776956014,0.08353444920202413,0.08111132736473337,0.08615219929933826,0.0804690541066563
Blocking probability by QoTN,3,all,all,all, ,0.05643246399377189,0.058709614636045154,0.056987154534838456,0.06170688984040483,0.06129817049435578
Blocking probability by QoTN,4,all,all,all, ,0.042750097314130014,0.03755352277150642,0.04023939275982873,0.042633320358116,0.04274036590112884


Blocking probability by QoTO,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTO,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.022265472946671857,0.020533281432463992,0.020163487738419618,0.022460101206695213,0.022975866095757105
Blocking probability by crosstalk,1,all,all,all, ,0.04578629817049436,0.04569871545348385,0.04953289217594395,0.044268197742312186,0.04798559750875827
Blocking probability by crosstalk,2,all,all,all, ,0.08032308291163877,0.07649863760217984,0.08029388867263526,0.07613857532113663,0.08065395095367847
Blocking probability by crosstalk,3,all,all,all, ,0.1025690930323083,0.1026566757493188,0.1043791358505255,0.10098287271311794,0.10195601401323472
Blocking probability by crosstalk,4,all,all,all, ,0.12036784741144414,0.12572012456208642,0.12144803425457376,0.1203775788244453,0.11895679252627482


Blocking probability by crosstalk in other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,4,all,all,all, ,0.0,9.731413001167769E-6,0.0,0.0,0.0


Blocking probability per core 0,0,all,all,all, ,1.0,1.0,1.0,1.0,1.0
Blocking probability per core 0,1,all,all,all, ,0.9998780115888991,1.0,1.0,1.0,0.9999392946032902
Blocking probability per core 0,2,all,all,all, ,0.9996966203507068,0.999817607003891,0.9998191572728917,0.999820143884892,0.9998188405797102
Blocking probability per core 0,3,all,all,all, ,0.9998164239383185,0.999698559112558,0.9997588327505125,0.9997607941633776,0.999761620977354
Blocking probability per core 0,4,all,all,all, ,0.9998210557709514,0.9998212263869852,0.9998194728607535,0.9997612652939422,0.9992783257156603
Blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 1,4,all,all,all, ,0.0,0.004291845493562232,0.0,0.0,0.0
Blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability per pair,0,all,11,2, ,0.07834101382488479,0.06542056074766354,0.05405405405405406,0.05291005291005291,0.09473684210526316
Blocking probability per pair,0,all,1,23, ,0.4166666666666667,0.42272727272727273,0.45251396648044695,0.378698224852071,0.36082474226804123
Blocking probability per pair,0,all,2,9, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,20, ,0.43564356435643564,0.43386243386243384,0.3728813559322034,0.38953488372093026,0.3977272727272727
Blocking probability per pair,0,all,17,24, ,0.07027027027027027,0.06818181818181818,0.09473684210526316,0.06043956043956044,0.08021390374331551
Blocking probability per pair,0,all,21,15, ,0.2303370786516854,0.24352331606217617,0.18435754189944134,0.21393034825870647,0.1978021978021978
Blocking probability per pair,0,all,19,11, ,0.05945945945945946,0.06532663316582915,0.08421052631578947,0.06914893617021277,0.0825242718446602
Blocking probability per pair,0,all,3,1, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,24,2, ,0.6787564766839378,0.6502463054187192,0.647887323943662,0.6567164179104478,0.695
Blocking probability per pair,0,all,23,22, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,17,22, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,15,20, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,7, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,1, ,0.22009569377990432,0.21649484536082475,0.17714285714285713,0.25773195876288657,0.2640449438202247
Blocking probability per pair,0,all,14,16, ,0.23404255319148937,0.225,0.20512820512820512,0.1951219512195122,0.1791907514450867
Blocking probability per pair,0,all,13,18, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,11,7, ,0.33513513513513515,0.45320197044334976,0.3958333333333333,0.3444976076555024,0.40106951871657753
Blocking probability per pair,0,all,15,10, ,0.3592814371257485,0.4377880184331797,0.4262295081967213,0.45054945054945056,0.3942857142857143
Blocking probability per pair,0,all,17,4, ,0.4075829383886256,0.43349753694581283,0.41711229946524064,0.3786407766990291,0.44041450777202074
Blocking probability per pair,0,all,15,19, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,22, ,0.2222222222222222,0.20103092783505155,0.21714285714285714,0.22346368715083798,0.1989795918367347
Blocking probability per pair,0,all,9,19, ,0.1787709497206704,0.1987179487179487,0.1657754010695187,0.1774193548387097,0.2080536912751678
Blocking probability per pair,0,all,24,7, ,0.42857142857142855,0.46524064171123,0.3544973544973545,0.4585635359116022,0.3910891089108911
Blocking probability per pair,0,all,1,18, ,0.45604395604395603,0.3939393939393939,0.3858695652173913,0.40096618357487923,0.45
Blocking probability per pair,0,all,19,4, ,0.45108695652173914,0.4207920792079208,0.43790849673202614,0.5106382978723404,0.3645320197044335
Blocking probability per pair,0,all,5,1, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,5,20, ,0.22285714285714286,0.15897435897435896,0.2648648648648649,0.2,0.1945945945945946
Blocking probability per pair,0,all,21,24, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,1, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,21, ,0.05,0.06896551724137931,0.0374331550802139,0.051643192488262914,0.07111111111111111
Blocking probability per pair,0,all,14,15, ,0.45454545454545453,0.42592592592592593,0.4387755102040816,0.36065573770491804,0.4594594594594595
Blocking probability per pair,0,all,8,4, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,8,21, ,0.11242603550295859,0.06593406593406594,0.05025125628140704,0.07253886010362694,0.07734806629834254
Blocking probability per pair,0,all,6,3, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,2, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,16,2, ,0.41624365482233505,0.3403141361256545,0.40414507772020725,0.42702702702702705,0.4
Blocking probability per pair,0,all,9,4, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,23,21, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,19,24, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,22,15, ,0.1111111111111111,0.09659090909090909,0.062146892655367235,0.09405940594059406,0.11594202898550725
Blocking probability per pair,0,all,23,17, ,0.06989247311827956,0.05699481865284974,0.06918238993710692,0.04678362573099415,0.08585858585858586
Blocking probability per pair,0,all,8,11, ,0.18719211822660098,0.16939890710382513,0.23756906077348067,0.2303370786516854,0.22099447513812154
Blocking probability per pair,0,all,24,17, ,0.058823529411764705,0.0797872340425532,0.06666666666666667,0.053475935828877004,0.09375
Blocking probability per pair,0,all,22,18, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,5,11, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,8, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,23,9, ,0.20207253886010362,0.1569767441860465,0.2275132275132275,0.25263157894736843,0.24550898203592814
Blocking probability per pair,0,all,6,12, ,0.05172413793103448,0.07526881720430108,0.10215053763440861,0.08602150537634409,0.046153846153846156
Blocking probability per pair,0,all,4,5, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,16,9, ,0.050761421319796954,0.0457516339869281,0.04477611940298507,0.0825242718446602,0.05365853658536585
Blocking probability per pair,0,all,16,11, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,24,20, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,12,14, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,20,5, ,0.22549019607843138,0.1511627906976744,0.19889502762430938,0.18012422360248448,0.20652173913043478
Blocking probability per pair,0,all,11,12, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,7,14, ,0.07865168539325842,0.06285714285714286,0.05263157894736842,0.06951871657754011,0.07142857142857142
Blocking probability per pair,0,all,10,23, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,22,20, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,17,11, ,0.08823529411764706,0.06451612903225806,0.05235602094240838,0.049723756906077346,0.06878306878306878
Blocking probability per pair,0,all,3,10, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,17,14, ,0.22727272727272727,0.22702702702702704,0.17733990147783252,0.15432098765432098,0.24260355029585798
Blocking probability per pair,0,all,10,7, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,2, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,5, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,22,1, ,0.30303030303030304,0.355,0.43478260869565216,0.3951219512195122,0.36318407960199006
