Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,6.477773433464375E-5,7.972774031456233E-5,6.691094174857484E-5,7.527583002663748E-5,7.676995004374217E-5
BitRate blocking probability,1,all,all,all, ,1.0947354479136075E-4,1.6958169990709013E-4,1.405904595096501E-4,1.367584423113201E-4,6.783566884220516E-5
BitRate blocking probability,2,all,all,all, ,4.6715645450735003E-4,2.965582668103653E-4,6.748544955286869E-4,4.276457950470286E-4,4.2525545636825913E-4
BitRate blocking probability,3,all,all,all, ,0.004729978896667689,0.004837730831060885,0.005254376486937779,0.0045799018578238605,0.004484313158330183
BitRate blocking probability,4,all,all,all, ,0.015706859891857543,0.01588091655854552,0.014060748981484203,0.014738800514315642,0.015431068943073365


General requested bitRate,0,all,all,all, ,2.418751064985388E16,2.422777945775168E16,2.420800376522092E16,2.4144008790181652E16,2.4325416440426932E16
General requested bitRate,1,all,all,all, ,2.4221471474521596E16,2.3985526754579788E16,2.4105465271839384E16,2.4082848529660064E16,2.4168094291747064E16
General requested bitRate,2,all,all,all, ,2.4215042254895756E16,2.4078071864009552E16,2.4001668872503564E16,2.4129129800364516E16,2.4023279324741424E16
General requested bitRate,3,all,all,all, ,2.4136388803650072E16,2.4106508349886712E16,2.4079540461866064E16,2.413066787517942E16,2.4281215768837896E16
General requested bitRate,4,all,all,all, ,2.4088356204916832E16,2.4098506144907036E16,2.416269068260186E16,2.4218113701673888E16,2.422189018346948E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,3.1774192701385594E-5,2.068640751483212E-5,1.5682138758594018E-5,3.570370800301774E-5,2.3358436721326195E-5
BitRate blocking probability by QoTO,1,all,all,all, ,2.5527029558002796E-5,6.460470239855957E-5,8.095252072284377E-5,8.94645579921357E-5,5.3368553241779735E-5
BitRate blocking probability by QoTO,2,all,all,all, ,2.653873068643574E-4,1.8396769302890946E-4,4.397534932507495E-4,2.616341385229563E-4,3.098477537158627E-4
BitRate blocking probability by QoTO,3,all,all,all, ,0.0015544364784362624,0.0015139604059897752,0.0016192129092004691,0.0016354751455263975,0.0011503493915106763
BitRate blocking probability by QoTO,4,all,all,all, ,0.00270008767432722,0.0024019362814976897,0.0019388714517287512,0.0025922169129372727,0.0028591511625509335


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,1.0620808398728925E-5,3.772246871989498E-5
BitRate blocking probability by Crosstalk,3,all,all,all, ,0.002694494666215355,0.0030968972631890625,0.003182061051657869,0.0025387439592962496,0.0028659425788117275
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.011371106267263112,0.011383878212736427,0.009958702967035353,0.010888992919660041,0.010391985544793937


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,3.300354163325815E-5,5.9041332799730203E-5,5.1228802989980835E-5,3.957212202361976E-5,5.3411513322415974E-5
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,8.394651523335794E-5,1.0497699750853056E-4,5.963793878680633E-5,4.729388431918434E-5,1.4467115600425434E-5
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,2.0176914764299248E-4,1.1259057378145584E-4,2.3510100227793732E-4,1.5539084812534344E-4,7.768523393250133E-5
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,4.810477520160696E-4,2.2687316188204585E-4,4.5310252607944117E-4,4.056827530012148E-4,4.6802118800778414E-4
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.001635665950267237,0.002095102064311417,0.0021631745627200914,0.0012575906817183257,0.0021799322357285034


BitRate blocking probability per core 0,0,all,all,all, ,0.0029586163631224543,0.0027819189472603964,0.0029144237907729725,0.002391563596546226,0.003234393628827695
BitRate blocking probability per core 0,1,all,all,all, ,0.004499971727611687,0.006930795796970087,0.004261252591267333,0.0046058831489298666,0.002889297359700223
