Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,1.8489684702218762E-4,1.1677695601401323E-4,1.1677695601401323E-4,1.654340210198521E-4,1.2650836901518102E-4
Blocking probability,1,all,all,all, ,2.3355391202802646E-4,2.919423900350331E-4,2.238224990268587E-4,2.238224990268587E-4,1.4597119501751654E-4
Blocking probability,2,all,all,all, ,8.271701050992604E-4,5.254963020630595E-4,7.882444530945893E-4,6.617360840794084E-4,4.865706500583885E-4
Blocking probability,3,all,all,all, ,0.0028610354223433244,0.003211366290385364,0.003474114441416894,0.0030653950953678476,0.002958349552355002
Blocking probability,4,all,all,all, ,0.009877384196185286,0.009770338653172441,0.009283768003114052,0.009274036590112885,0.01003308680420397


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,1.1677695601401323E-4,3.8925652004671076E-5,2.9194239003503307E-5,8.758271701050993E-5,5.8388478007006614E-5
Blocking probability by QoTO,1,all,all,all, ,4.8657065005838845E-5,1.0704554301284547E-4,1.1677695601401323E-4,9.731413001167769E-5,7.785130400934215E-5
Blocking probability by QoTO,2,all,all,all, ,3.6006228104320745E-4,2.238224990268587E-4,3.79525107045543E-4,3.016738030362009E-4,2.7247956403269756E-4
Blocking probability by QoTO,3,all,all,all, ,0.0010023355391202804,0.0012845465161541456,0.0013818606461658233,0.0011677695601401323,9.536784741144414E-4
Blocking probability by QoTO,4,all,all,all, ,0.0023841961852861036,0.002160373686259245,0.0019268197742312184,0.0021895679252627483,0.00226741922927209


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,2,all,all,all, ,0.0,0.0,0.0,9.731413001167769E-6,2.9194239003503307E-5
Blocking probability by crosstalk,3,all,all,all, ,0.0012942779291553134,0.0014597119501751654,0.0014694433631763332,0.001391592059166991,0.0014305177111716622
Blocking probability by crosstalk,4,all,all,all, ,0.005936161930712339,0.005955624756714675,0.00532308291163877,0.005809653561697158,0.005809653561697158


Blocking probability by crosstalk in other,0,all,all,all, ,6.811989100817439E-5,7.785130400934215E-5,8.758271701050993E-5,7.785130400934215E-5,6.811989100817439E-5
Blocking probability by crosstalk in other,1,all,all,all, ,1.8489684702218762E-4,1.8489684702218762E-4,1.0704554301284547E-4,1.2650836901518102E-4,6.811989100817439E-5
Blocking probability by crosstalk in other,2,all,all,all, ,4.671078240560529E-4,3.016738030362009E-4,4.0871934604904634E-4,3.503308680420397E-4,1.8489684702218762E-4
Blocking probability by crosstalk in other,3,all,all,all, ,5.644219540677306E-4,4.671078240560529E-4,6.228104320747372E-4,5.060334760607241E-4,5.741533670688984E-4
Blocking probability by crosstalk in other,4,all,all,all, ,0.001557026080186843,0.0016543402101985207,0.0020338653172440636,0.0012748151031529778,0.0019560140132347218


Blocking probability per core 0,0,all,all,all, ,0.005974842767295598,0.003428927680798005,0.003838771593090211,0.004758883248730965,0.0040752351097178684
Blocking probability per core 0,1,all,all,all, ,0.0070747462319286376,0.008931321219587311,0.005145278450363196,0.006734006734006734,0.004549590536851683
Blocking probability per core 0,2,all,all,all, ,0.016872160934458143,0.011338582677165355,0.015355687872140394,0.014402003757044458,0.008440137542982182
Blocking probability per core 0,3,all,all,all, ,0.05797587131367292,0.0625,0.07064641469445426,0.062354892205638474,0.06489976214746856
Blocking probability per core 0,4,all,all,all, ,0.21777632010495243,0.21538967444919435,0.21518987341772153,0.21297225008358409,0.21284224250325945
Blocking probability per core 1,0,all,all,all, ,0.0,2.2079929344226098E-4,0.0,4.4652824291136416E-4,0.0
Blocking probability per core 1,1,all,all,all, ,1.9334880123743234E-4,1.9308746862328635E-4,0.0011679968853416391,1.9611688566385565E-4,0.0
Blocking probability per core 1,2,all,all,all, ,0.005461767626613704,0.0029840848806366046,0.005242463958060288,0.003727549983056591,0.003482009616978942
Blocking probability per core 1,3,all,all,all, ,0.011450381679389313,0.014814814814814815,0.01785216178521618,0.013535684987694831,0.009747391543108183
Blocking probability per core 1,4,all,all,all, ,0.022253129346314324,0.024049357844371694,0.02328854766474728,0.020525657071339173,0.02171980185443922
Blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0,0.0,2.4838549428713363E-4
Blocking probability per core 2,3,all,all,all, ,0.0029734675205855443,0.0021696928171748317,0.001830035456936978,0.0018007878446820484,0.0032527881040892194
Blocking probability per core 2,4,all,all,all, ,0.009412256850031374,0.007760761589403973,0.006655744419414295,0.0081276033729554,0.010458734596665631
Blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,3,all,all,all, ,0.0010768126346015793,3.5081564637782847E-4,2.6939655172413793E-4,6.337709370755998E-4,6.250558085543353E-4
Blocking probability per core 3,4,all,all,all, ,0.0032401091405184173,0.0027526881720430106,0.0034899557371467485,0.0029373650107991363,0.0057301761186483524
Blocking probability per core 4,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 4,3,all,all,all, ,1.3156163662675965E-4,2.7192386131883074E-4,2.641484514297035E-4,2.6698705112802027E-4,3.972983710766786E-4
Blocking probability per core 4,4,all,all,all, ,0.0014474636489242713,0.0019928002057084085,0.0019076437310880147,0.001564435173717489,0.001383946223803875
Blocking probability per core 5,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 5,3,all,all,all, ,0.0,1.377220768489189E-4,4.650730164635848E-5,4.6307015512850196E-5,4.739111890431733E-5
Blocking probability per core 5,4,all,all,all, ,6.160845457561253E-4,7.280493132068146E-4,4.27370720357092E-4,5.293806246691371E-4,2.8749401054144706E-4
Blocking probability per core 6,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 6,3,all,all,all, ,0.0,2.7882336539802036E-5,1.3798813302056022E-4,0.0,0.0
Blocking probability per core 6,4,all,all,all, ,3.5075412136092597E-4,1.456494509015701E-4,4.6611897686884575E-4,8.761426360211443E-5,3.2115850632098334E-4


Blocking probability per pair,0,all,11,2, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,23, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,9, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,20, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,17,24, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,21,15, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,19,11, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,1, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,24,2, ,0.005813953488372093,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,23,22, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,17,22, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,15,20, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,7, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,1, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,14,16, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,13,18, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,11,7, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,15,10, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,17,4, ,0.015625,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,15,19, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,22, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,19, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,24,7, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,18, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,19,4, ,0.005291005291005291,0.0,0.0,0.0,0.005291005291005291
Blocking probability per pair,0,all,5,1, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,5,20, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,21,24, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,1, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,21, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,14,15, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,8,4, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,8,21, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,6,3, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,2, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,16,2, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,4, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,23,21, ,0.0,0.0,0.0,0.0,0.0
