Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,2,all,all, ,-33.077633783229494,-31.93820026016113,-32.165486465981665,0.0,-31.93820026016113
Average Crosstalk per overlaps,0,4,all,all, ,-27.166987712964502,0.0,0.0,-29.266482976130987,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,2,all,all, ,-29.103918607871613,-26.938200260161125,-31.12127162571169,-29.719712763997563,-28.927900303521316
Average Crosstalk per overlaps,1,4,all,all, ,0.0,-26.396502886216936,-28.51831422673225,0.0,-27.624066225287685
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,2,all,all, ,-27.447174924532828,-26.382447999547793,-29.026007576503783,-29.282830493289016,-29.191837790346728
Average Crosstalk per overlaps,2,4,all,all, ,-23.439990006037856,-23.699112850717942,-26.213857964062917,-21.93820026016113,-24.233565670388746
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,2,all,all, ,-26.789371569271427,-25.91454200838665,-27.144406415077142,-26.306255176749584,-26.708034807117137
Average Crosstalk per overlaps,3,4,all,all, ,-25.310842500281908,-22.920984031859817,-24.59988161465812,-23.63810803007939,-24.52801570571156
Average Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,4,2,all,all, ,-27.713852408885188,-28.36357920540753,-28.463028016646298,-27.35056740567275,-27.181535732722587
Average Crosstalk per overlaps,4,4,all,all, ,-25.0990752119967,-26.282961710856835,-25.984406406845093,-24.953749207109944,-25.39337283432945


Minimum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,0,2,all,all, ,-33.077633783229494,-31.93820026016113,-33.077633783229494,0.0,-31.93820026016113
Minimum Crosstalk per overlaps,0,4,all,all, ,-27.166987712964502,0.0,0.0,-29.266482976130987,0.0
Minimum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,1,2,all,all, ,-30.389180660303698,-28.927900303521316,-33.077633783229494,-31.480625354554377,-28.927900303521316
Minimum Crosstalk per overlaps,1,4,all,all, ,0.0,-29.09389292171593,-28.51831422673225,0.0,-27.95880017344075
Minimum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,2,2,all,all, ,-31.93820026016113,-26.70941280735775,-33.077633783229494,-32.28582132275325,-31.93820026016113
Minimum Crosstalk per overlaps,2,4,all,all, ,-28.873949984654253,-23.699112850717942,-28.4163750790475,-21.93820026016113,-25.37934922379442
Minimum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,3,2,all,all, ,-33.077633783229494,-31.93820026016113,-34.046733913310064,-33.077633783229494,-34.15668775632469
Minimum Crosstalk per overlaps,3,4,all,all, ,-29.176136140771636,-28.927900303521316,-30.290097773701206,-27.378880703663885,-28.927900303521316
Minimum Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,4,2,all,all, ,-37.166987712964506,-33.077633783229494,-34.948500216800944,-33.077633783229494,-37.166987712964506
Minimum Crosstalk per overlaps,4,4,all,all, ,-30.06733382658968,-30.09456240994442,-30.06733382658968,-30.68881289407813,-30.06733382658968


Maximum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,0,2,all,all, ,-33.077633783229494,-31.93820026016113,-31.480625354554377,0.0,-31.93820026016113
Maximum Crosstalk per overlaps,0,4,all,all, ,-27.166987712964502,0.0,0.0,-29.266482976130987,0.0
Maximum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,1,2,all,all, ,-27.678512937438317,-24.94850021680094,-28.927900303521316,-27.95880017344075,-28.927900303521316
Maximum Crosstalk per overlaps,1,4,all,all, ,0.0,-23.699112850717942,-28.51831422673225,0.0,-27.28933227713462
Maximum Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,2,2,all,all, ,-24.15668775632469,-26.055483191737835,-21.93820026016113,-24.94850021680094,-26.70941280735775
Maximum Crosstalk per overlaps,2,4,all,all, ,-19.507819773298184,-23.699112850717942,-24.587536763318173,-21.93820026016113,-23.699112850717942
Maximum Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,3,2,all,all, ,-21.93820026016113,-21.93820026016113,-21.93820026016113,-21.93820026016113,-22.16096420727265
Maximum Crosstalk per overlaps,3,4,all,all, ,-19.89700043360188,-19.093892921715934,-19.093892921715934,-19.093892921715934,-21.33122185662501
Maximum Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Maximum Crosstalk per overlaps,4,2,all,all, ,-21.93820026016113,-21.93820026016113,-21.52427340857888,-21.93820026016113,-21.93820026016113
Maximum Crosstalk per overlaps,4,4,all,all, ,-19.26648297613099,-19.601894458516497,-19.208187539523752,-20.476919903378747,-20.177287669604315


Average Crosstalk per pair,0,all,11,2, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,1,23, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,2,9, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,1,20, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,17,24, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,21,15, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,19,11, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,3,1, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,24,2, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,23,22, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,17,22, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,15,20, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,2,7, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,10,1, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,14,16, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,13,18, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,11,7, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,15,10, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,17,4, ,-200.0,-200.0,-199.08451458475267,-200.0,-200.0
Average Crosstalk per pair,0,all,15,19, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,9,22, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,9,19, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,24,7, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,1,18, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,19,4, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,5,1, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,5,20, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,21,24, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,9,1, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,9,21, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,14,15, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,8,4, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,8,21, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,6,3, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,9,2, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,16,2, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,9,4, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,23,21, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,19,24, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,22,15, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,23,17, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,8,11, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,24,17, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,22,18, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,5,11, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,4,8, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,23,9, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,6,12, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per pair,0,all,4,5, ,-200.0,-200.0,-200.0,-200.0,-200.0
