Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.04052909743919175,0.04067232452213182,0.04032195273873944,0.0404115122198106,0.04077977945828102
Percentage of cicuits per modulation,0,8QAM,all, ,0.09792585238609708,0.09752987892708374,0.09707244909876592,0.09739836290550208,0.0978909359883987
Percentage of cicuits per modulation,0,16QAM,all, ,0.24913131077174644,0.24841359442519562,0.24853038501965974,0.2476275756012575,0.2464986812267025
Percentage of cicuits per modulation,0,32QAM,all, ,0.1681315151692119,0.16764316580371394,0.16785728189356483,0.16825477161461122,0.16703164082649616
Percentage of cicuits per modulation,0,64QAM,all, ,0.44428222423375285,0.4457410363218749,0.44621793124927006,0.4463077776588186,0.44779896250012163
Percentage of cicuits per modulation,1,4QAM,all, ,0.04737385142501168,0.04816509296213375,0.04938824376806798,0.04784060270399174,0.047447564358362934
Percentage of cicuits per modulation,1,8QAM,all, ,0.1085111353371749,0.10883870339725495,0.11053466618647614,0.10992144991580444,0.1094262494525281
Percentage of cicuits per modulation,1,16QAM,all, ,0.2643669210403364,0.266338946753626,0.2616194749700692,0.2651333015369341,0.2648596038736678
Percentage of cicuits per modulation,1,32QAM,all, ,0.16880158853761096,0.1699016840260878,0.16866367520951556,0.16627894526801446,0.16809577108375104
Percentage of cicuits per modulation,1,64QAM,all, ,0.41094650365986607,0.4067555728608975,0.4097939398658711,0.41082570057525525,0.4101708112316901
Percentage of cicuits per modulation,2,4QAM,all, ,0.05720964207450694,0.05590715245457909,0.05625298259624655,0.05664511354341137,0.05684938175445429
Percentage of cicuits per modulation,2,8QAM,all, ,0.11852934015096177,0.118425408447413,0.11850524449984905,0.1199996104857243,0.11790478044981015
Percentage of cicuits per modulation,2,16QAM,all, ,0.274954954954955,0.27427803633672815,0.2783918814947555,0.27663303860086474,0.27605880634797003
Percentage of cicuits per modulation,2,32QAM,all, ,0.16745069393718043,0.17027242809572957,0.16790190788768883,0.1676956335449694,0.16747152176029598
Percentage of cicuits per modulation,2,64QAM,all, ,0.3818553688823959,0.3811169746655502,0.3789479835214601,0.3790266038250302,0.3817155096874696
Percentage of cicuits per modulation,3,4QAM,all, ,0.06446040637870122,0.06471736795860587,0.06512504516469245,0.06435648396700669,0.06553056921995784
Percentage of cicuits per modulation,3,8QAM,all, ,0.1244412780824859,0.12547105340232353,0.1235413025009033,0.12521840987847138,0.12668852971031466
Percentage of cicuits per modulation,3,16QAM,all, ,0.2857338043838932,0.2859416186664063,0.28680800367176745,0.2853921616477134,0.2869622081674085
Percentage of cicuits per modulation,3,32QAM,all, ,0.16825093201647376,0.16695304110123987,0.1674267355448571,0.1675045146175997,0.16508550011712345
Percentage of cicuits per modulation,3,64QAM,all, ,0.35711357913844594,0.3569169188714244,0.35709891311777975,0.35752842988920885,0.3557331927851956
Percentage of cicuits per modulation,4,4QAM,all, ,0.06662735269546415,0.06721962341287001,0.06845372571361216,0.06916027385150333,0.07046171691454747
Percentage of cicuits per modulation,4,8QAM,all, ,0.13023735810113518,0.13116671252800818,0.13427499361530754,0.13052147691219662,0.12939279851369817
Percentage of cicuits per modulation,4,16QAM,all, ,0.2926433731387292,0.2910688313219859,0.29048386146199634,0.2911587611853802,0.29071356250430064
Percentage of cicuits per modulation,4,32QAM,all, ,0.16484348125214998,0.1657690946971186,0.16520637290532975,0.1690944630526388,0.1681133206853503
Percentage of cicuits per modulation,4,64QAM,all, ,0.3456484348125215,0.3447757380400173,0.3415810463037542,0.34006502499828106,0.34131860138210346


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.0071441780788584885,0.0068809125238447465,0.007338342352162573,0.006637921804891818,0.00711456295560941
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,6.034591837727879E-4,5.158251255498891E-4,6.131506209366606E-4,5.353162745880498E-4,7.202156753968485E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.01615713298488432,0.016243625180052165,0.01558181181142212,0.016117886376687464,0.015873942791517028
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,7.689237986782297E-4,7.299412154007864E-4,8.95394557558298E-4,8.17573946643567E-4,8.564726950665226E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.015855403392997926,0.01630202047728423,0.015893253396659788,0.0163028138169997,0.01621458534069121
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.005956726136595906,0.006063378362595866,0.0064624128936816285,0.005859279950945563,0.0061899617507080494
