Metrics,LoadPoint,Link,Core,Number of slots,Slot, ,rep0,rep1,rep2,rep3,rep4
Utilization,0,all,all, - , - , ,0.026888017684498926,0.02699877423800781,0.026716286938148478,0.02672511012298075,0.02715389833615433
Utilization,1,all,all, - , - , ,0.04063057656843881,0.04075910270027322,0.04088744101341148,0.040887863933830905,0.041106010953981836
Utilization,2,all,all, - , - , ,0.05591367622392715,0.05525903739311494,0.05563827056787541,0.05575880551431598,0.05581808817702788
Utilization,3,all,all, - , - , ,0.06971353648035143,0.07022395449748021,0.07053745082565001,0.06957783423968568,0.07088456169925936
Utilization,4,all,all, - , - , ,0.08280381184458516,0.08355795321146396,0.08401502895095364,0.08338121935493947,0.0836845888809389


Utilization Per Link,0,<13-21>,all, - , - , ,0.049127326850358116,0.048459413056772906,0.04788373915642644,0.0482698025565836,0.04865879841377996
Utilization Per Link,0,<16-11>,all, - , - , ,0.017547053988485745,0.017521986911251123,0.016295550832731626,0.017730291282042787,0.018391771047654413
Utilization Per Link,0,<16-18>,all, - , - , ,0.02105614938414021,0.021520311718011473,0.02002872504587507,0.021663224468942397,0.021184017544351508
Utilization Per Link,0,<12-11>,all, - , - , ,0.00557925367013289,0.00539195872490708,0.005156210900573167,0.00525755227159015,0.005744639902962889
Utilization Per Link,0,<16-17>,all, - , - , ,0.008154394080521066,0.00858819353695202,0.007879785769894948,0.008504659782850721,0.007596957890784669
Utilization Per Link,0,<12-13>,all, - , - , ,0.04001038307012106,0.04169887011344182,0.04039204995690402,0.040939659157257696,0.04072128885614073
Utilization Per Link,0,<23-21>,all, - , - , ,0.0088859226422167,0.009343911610967079,0.009148901045433127,0.00820140896958125,0.008798014096646864
Utilization Per Link,0,<1-2>,all, - , - , ,0.0041753843908124005,0.00433371100483722,0.004166769483678742,0.0038731631957948467,0.004244160283322444
Utilization Per Link,0,<23-24>,all, - , - , ,0.021351171940164608,0.019979333780512927,0.0202678745203816,0.02061549449479934,0.020899204283214314
Utilization Per Link,0,<1-3>,all, - , - , ,0.02793107552966715,0.02781609714730358,0.027077348224710494,0.02705577402964015,0.02807932752460894
Utilization Per Link,0,<3-1>,all, - , - , ,0.02872252613579537,0.028678700022243545,0.02679597136879156,0.02796047395457019,0.029485421126896658
Utilization Per Link,0,<3-2>,all, - , - , ,0.027518142134241058,0.02788641095061748,0.026336800728464383,0.028662247852140783,0.027385460400097688
Utilization Per Link,0,<12-9>,all, - , - , ,0.0920336350650635,0.09155660467524955,0.08804545873185629,0.09142195928098647,0.09466057352777806
Utilization Per Link,0,<12-18>,all, - , - , ,0.08110397232803171,0.08537769177834642,0.08367740974114375,0.08153432669048619,0.08259532005922177
Utilization Per Link,0,<3-5>,all, - , - , ,0.009030112641105389,0.008850528971806796,0.009304955548294042,0.009444336317634056,0.009427692994774597
Utilization Per Link,0,<5-3>,all, - , - , ,0.008972666893733878,0.009498310904743741,0.008413618938721256,0.008835414870989773,0.009366115741255909
Utilization Per Link,0,<5-4>,all, - , - , ,0.02714756210726929,0.027617745752933704,0.026402027261859654,0.028977710719845156,0.028819223363733756
Utilization Per Link,0,<10-9>,all, - , - , ,0.02920235865122619,0.029504175818829952,0.02875049525941298,0.03016667216954901,0.02905519709586847
Utilization Per Link,0,<10-8>,all, - , - , ,0.0526428475852181,0.0530217818564751,0.0537382136948735,0.05352417908580469,0.054522313608683336
