Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.001833774135293145,0.0015060942133117061,0.002391795635670764,0.0016895253013033823,0.0023769131002995825
BitRate blocking probability,1,all,all,all, ,0.004100094571529143,0.003857914680510056,0.0036188743509746996,0.0038977095414561057,0.003756352813778941
BitRate blocking probability,2,all,all,all, ,0.006657078828210412,0.006073437843669953,0.006284495545935696,0.006193980697398664,0.005727965709106111
BitRate blocking probability,3,all,all,all, ,0.011487527161136426,0.012377384995844143,0.012411779060274481,0.011713840579348649,0.01114212427987676
BitRate blocking probability,4,all,all,all, ,0.0199842050019403,0.020799340841240178,0.023343335126161404,0.01995677962305963,0.02145781208678866


General requested bitRate,0,all,all,all, ,2.41441881047001E16,2.4069763848475E16,2.4411132601312092E16,2.4096667886391776E16,2.4174621935992692E16
General requested bitRate,1,all,all,all, ,2.4077396823061184E16,2.4193512095054352E16,2.4335613987164848E16,2.4041900678812728E16,2.4254172261301268E16
General requested bitRate,2,all,all,all, ,2.3982117607338864E16,2.420974599683034E16,2.4200799453653548E16,2.4160653612051168E16,2.4119828727647132E16
General requested bitRate,3,all,all,all, ,2.4092703775882932E16,2.4101290308987264E16,2.4236496826476788E16,2.4026609195183616E16,2.4182709038899128E16
General requested bitRate,4,all,all,all, ,2.4034740781143488E16,2.4101915884762252E16,2.4094215157840484E16,2.4159568877390092E16,2.4296030163259156E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,2.2503530267328908E-4,3.3985381907533326E-4,4.632782048783056E-4,2.322358328254839E-4,4.6589830147158057E-4
BitRate blocking probability by QoTO,1,all,all,all, ,3.1234634844441695E-4,2.234627877378023E-4,2.3013235013922604E-4,4.013468581382456E-4,4.3961929065160904E-4
BitRate blocking probability by QoTO,2,all,all,all, ,0.0015844795540989982,7.961636828830801E-4,0.0015289119440895665,0.001552612913336375,0.00135372031998607
BitRate blocking probability by QoTO,3,all,all,all, ,0.004785924336289704,0.0033729553504721916,0.0048663868528598326,0.00356308967683534,0.0034945982540719044
BitRate blocking probability by QoTO,4,all,all,all, ,0.005861631003910676,0.004535632138555282,0.008539989976306624,0.004531095302211728,0.005041133198038184


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
