Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.0010704554301284547,0.0010801868431296224,0.001313740755157649,0.001138575321136629,0.0015862203191903464
Blocking probability,1,all,all,all, ,0.002899961074347995,0.0025885558583106268,0.002491241728298949,0.002578824445309459,0.002374464772284936
Blocking probability,2,all,all,all, ,0.004330478785519658,0.004213701829505644,0.004252627481510315,0.0038536395484624368,0.003941222265472947
Blocking probability,3,all,all,all, ,0.006880108991825613,0.008115998442973919,0.0072401712728688205,0.00750291942390035,0.007356948228882834
Blocking probability,4,all,all,all, ,0.01326391592059167,0.012933047878551965,0.014558193849746983,0.013594783962631375,0.01291358505254963


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,2.0435967302452317E-4,2.4328532502919425E-4,2.822109770338653E-4,2.7247956403269756E-4,3.308680420397042E-4
Blocking probability by QoTO,1,all,all,all, ,2.7247956403269756E-4,1.7516543402101986E-4,2.919423900350331E-4,2.919423900350331E-4,3.308680420397042E-4
Blocking probability by QoTO,2,all,all,all, ,0.0010704554301284547,6.228104320747372E-4,9.73141300116777E-4,0.0010120669521214481,0.0010801868431296224
Blocking probability by QoTO,3,all,all,all, ,0.002909692487349163,0.0024328532502919426,0.0030167380303620086,0.0026372129233164657,0.0025107045543012844
Blocking probability by QoTO,4,all,all,all, ,0.004515375632541845,0.0032892175943947063,0.005303620085636435,0.0036103542234332425,0.0036006228104320747


