Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,1,all,all, ,-32.47626624786638,-32.21848749616356,-32.501225267834,-31.453650195120844,0.0
Average Crosstalk per overlaps,0,2,all,all, ,-28.147292021221045,-27.95880017344075,-29.69137485160914,-29.68445378739013,-30.996571682797665
Average Crosstalk per overlaps,0,3,all,all, ,-27.672064604847648,-29.208187539523752,-27.920366030109296,-28.91822780463532,-29.522972185791087
Average Crosstalk per overlaps,0,4,all,all, ,-28.07186722581028,-25.900052498266497,-27.655508000336305,-27.076993579785704,-28.013246885591382
Average Crosstalk per overlaps,0,5,all,all, ,-25.070156419811145,-26.693957422472042,-25.625931612596034,-26.73742338218964,0.0
Average Crosstalk per overlaps,0,6,all,all, ,-25.679140395192128,-26.587068243187634,0.0,-25.406075122407692,-24.395809330378807
Average Crosstalk per overlaps,0,7,all,all, ,-25.027805664562884,-27.193962872398036,-25.46002544127475,0.0,-25.19673605405126
Average Crosstalk per overlaps,0,8,all,all, ,-23.34918740153098,-26.251837901751003,-24.05925210043547,-26.76264507062179,0.0
Average Crosstalk per overlaps,0,10,all,all, ,-22.272437815030624,-22.844008564396827,-24.368580747024073,0.0,0.0
Average Crosstalk per overlaps,0,11,all,all, ,-24.301246920434387,-24.670152228349828,0.0,-25.257991580391884,0.0
Average Crosstalk per overlaps,0,34,all,all, ,-20.627209807029946,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,1,all,all, ,-32.45855511987395,-33.90876908982058,-30.389180660303698,-34.70091247915254,-32.47425010840047
Average Crosstalk per overlaps,1,2,all,all, ,-29.357695425059436,-29.121318625307158,-29.208187539523752,-30.05076647489656,-28.27390073460113
Average Crosstalk per overlaps,1,3,all,all, ,-26.613199010246376,-27.56998389023945,-25.61796811310707,-28.333757789429274,-26.98834974498355
Average Crosstalk per overlaps,1,4,all,all, ,-26.159250925775627,-28.424946823768323,-25.155174151534553,-26.711913511187557,-27.44432202099258
Average Crosstalk per overlaps,1,5,all,all, ,-25.921109316668026,-26.80284188602523,-24.276163188409438,-24.853481844185637,-25.671152011903406
Average Crosstalk per overlaps,1,6,all,all, ,-25.791164567851503,-25.231647142929468,-24.535762608226047,-26.819366650372384,-26.084872439698273
Average Crosstalk per overlaps,1,7,all,all, ,-25.43381806441363,0.0,-23.33050167875771,0.0,-25.798608113884427
Average Crosstalk per overlaps,1,8,all,all, ,-24.286406482325372,-24.310511990971754,-24.123347351240582,-24.77001282716392,-23.704583573125337
Average Crosstalk per overlaps,1,10,all,all, ,-23.91167502945558,0.0,-24.661916399909952,-22.23783249393556,-26.17358231901967
Average Crosstalk per overlaps,1,11,all,all, ,0.0,-23.95246104267166,0.0,0.0,-22.44972548463494
Average Crosstalk per overlaps,1,34,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,1,all,all, ,-33.427320435721875,-32.12775516751822,-34.0372409708763,-31.252693643111098,-34.28883962295055
Average Crosstalk per overlaps,2,2,all,all, ,-28.5139720649913,-29.41402106585536,-28.940869251253318,-28.639302244313583,-30.399157242289434
Average Crosstalk per overlaps,2,3,all,all, ,-28.26075536780908,-27.592784810183886,-27.79083528824749,-28.86271022584535,-28.259193521114845
Average Crosstalk per overlaps,2,4,all,all, ,-27.435954679025404,-26.833613649603404,-26.528761374328173,-27.585827923972193,-27.329317983676695
Average Crosstalk per overlaps,2,5,all,all, ,-25.687122901195668,-25.607208234094063,-26.500409881993054,-26.649245824020138,-26.549548573770654
Average Crosstalk per overlaps,2,6,all,all, ,-26.048960106905096,-25.61301221270314,-25.87058972025451,-25.74909436161952,-25.87621996969312
Average Crosstalk per overlaps,2,7,all,all, ,-25.428651372156278,-25.58835057551494,-25.647549539016005,-24.60038958714612,-25.525517628209187
Average Crosstalk per overlaps,2,8,all,all, ,-24.17796089419291,-24.355072134127365,-25.030813245653558,-24.75105559642279,-25.281565085140667
Average Crosstalk per overlaps,2,10,all,all, ,-24.51408209542342,-23.262475698651844,-23.696244402683185,-23.346833059666068,-24.09521834205082
Average Crosstalk per overlaps,2,11,all,all, ,-24.371195942075822,-24.24959656883253,-24.470918847622197,-23.268766528465925,-24.786192326924834
Average Crosstalk per overlaps,2,34,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,3,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,3,1,all,all, ,-31.947795939201782,-33.67635522322664,-32.137039097717725,-32.31794535553658,-32.8629493688355
Average Crosstalk per overlaps,3,2,all,all, ,-30.515278017671022,-29.523219738631273,-29.59622233626714,-30.715884670488194,-29.28320329637939
Average Crosstalk per overlaps,3,3,all,all, ,-28.227991465896938,-28.302314892513674,-28.706366269609838,-28.15286643815469,-27.459026281239364
Average Crosstalk per overlaps,3,4,all,all, ,-27.666499873290054,-26.963859232122008,-26.49382188153968,-27.243273749904873,-26.517943053597744
Average Crosstalk per overlaps,3,5,all,all, ,-25.87829709750002,-25.86624477538522,-25.840320055572004,-26.39948438595445,-27.533511467235428
Average Crosstalk per overlaps,3,6,all,all, ,-24.728526318624706,-25.561075486624173,-25.56753905125948,-25.30920202168391,-25.555808112886492
Average Crosstalk per overlaps,3,7,all,all, ,-25.115635204475133,-25.316382778966105,-25.610315452594705,-25.80621849184719,-26.552758015815314
Average Crosstalk per overlaps,3,8,all,all, ,-24.606213505322394,-24.553409293417342,-24.363125139046367,-25.43752338189713,-24.590215397224732
Average Crosstalk per overlaps,3,10,all,all, ,-23.589869107699553,-23.87189290792507,-23.88428205496976,-23.609376105732704,-23.597643761916892
Average Crosstalk per overlaps,3,11,all,all, ,-22.339078464933515,-23.780291752939732,-23.665900341682896,-25.06953817567036,-23.956616895938062
Average Crosstalk per overlaps,3,34,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,4,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,4,1,all,all, ,-33.071359029092875,-32.28950459514658,-32.86813621044556,-33.296695807600585,-33.99484289246114
Average Crosstalk per overlaps,4,2,all,all, ,-29.694557245880883,-29.756668805042732,-29.901335106308757,-30.791308321239455,-29.98261688955255
Average Crosstalk per overlaps,4,3,all,all, ,-28.34451366339125,-27.911291176832687,-27.77969598797791,-28.366322073437914,-28.313104596225095
Average Crosstalk per overlaps,4,4,all,all, ,-26.90489719012074,-27.200584860030283,-26.953697829859827,-27.127266004483086,-27.136605048568114
Average Crosstalk per overlaps,4,5,all,all, ,-26.32328499504523,-25.792610503142107,-25.995760251187775,-26.52865950810937,-27.061299932334855
Average Crosstalk per overlaps,4,6,all,all, ,-25.53732826658151,-26.096962854250393,-25.433724055896263,-25.153554758838155,-25.370959596696757
Average Crosstalk per overlaps,4,7,all,all, ,-25.540524406151413,-24.908306040476585,-25.142448483569748,-25.605456521685728,-25.650842019142207
Average Crosstalk per overlaps,4,8,all,all, ,-24.763792556992357,-24.949834540989222,-24.718376671774703,-24.838573387819185,-24.26160229700921
Average Crosstalk per overlaps,4,10,all,all, ,-23.99383798189094,-23.706456902951334,-23.982925123101566,-23.29163396220181,-23.727405388627048
Average Crosstalk per overlaps,4,11,all,all, ,-23.998171348790503,-24.270081714901153,-23.45433576595663,-24.237731128281695,-23.853399587913206
Average Crosstalk per overlaps,4,34,all,all, ,0.0,-19.807452007072616,-19.7701150103928,0.0,0.0


Minimum Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,0,1,all,all, ,-33.52182518111362,-32.21848749616356,-32.730012720637376,-35.74031267727719,0.0
Minimum Crosstalk per overlaps,0,2,all,all, ,-31.480625354554377,-31.268732363854994,-32.430380486862944,-31.93820026016113,-31.81585569599101
Minimum Crosstalk per overlaps,0,3,all,all, ,-29.597368199827446,-29.208187539523752,-29.430951486635273,-29.208187539523752,-30.177287669604315
Minimum Crosstalk per overlaps,0,4,all,all, ,-31.268732363854994,-28.13608784304507,-30.389180660303698,-28.513973451939066,-30.10889342430126
Minimum Crosstalk per overlaps,0,5,all,all, ,-27.166987712964502,-27.166987712964502,-26.532125137753436,-28.258432407215185,0.0
Minimum Crosstalk per overlaps,0,6,all,all, ,-25.74031267727719,-26.587068243187634,0.0,-25.406075122407692,-24.395809330378807
Minimum Crosstalk per overlaps,0,7,all,all, ,-25.99585372200107,-27.678512937438317,-25.46002544127475,0.0,-25.19673605405126
Minimum Crosstalk per overlaps,0,8,all,all, ,-23.61843663323761,-26.251837901751003,-25.337680877104635,-27.33566696583746,0.0
Minimum Crosstalk per overlaps,0,10,all,all, ,-22.272437815030624,-23.399480616943507,-24.368580747024073,0.0,0.0
Minimum Crosstalk per overlaps,0,11,all,all, ,-24.301246920434387,-24.670152228349828,0.0,-25.257991580391884,0.0
Minimum Crosstalk per overlaps,0,34,all,all, ,-20.627209807029946,0.0,0.0,0.0,0.0
Minimum Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Minimum Crosstalk per overlaps,1,1,all,all, ,-35.74031267727719,-37.28933227713462,-30.389180660303698,-38.69666231504994,-32.730012720637376
