Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.0016745852480722799,0.0019568328514267355,0.0017914516600136307,0.0016840588739194767,0.0019760729686845975
Percentage of cicuits per modulation,0,8QAM,all, ,0.25655230158112,0.2588763301108872,0.26115276019861744,0.2590919710302936,0.256762939384205
Percentage of cicuits per modulation,0,16QAM,all, ,0.41940571695614925,0.4156566099087785,0.4132314282932528,0.4144147652052021,0.4179540344011915
Percentage of cicuits per modulation,0,32QAM,all, ,0.20055105537814472,0.20093071254028058,0.19913348262097166,0.2002667237754069,0.20055680479708748
Percentage of cicuits per modulation,0,64QAM,all, ,0.12181634083651374,0.12257951458862701,0.12469087722714439,0.12454248111517795,0.12275014844883139
Percentage of cicuits per modulation,1,4QAM,all, ,0.004090935655426334,0.004237742208886594,0.004072129294976083,0.003730144043943629,0.004101674769341686
Percentage of cicuits per modulation,1,8QAM,all, ,0.26481016110494227,0.2632173718204756,0.26430846866506247,0.26531745181491473,0.2635593963425921
Percentage of cicuits per modulation,1,16QAM,all, ,0.40772018000116883,0.4115480910676188,0.4097166070784908,0.4106177624979304,0.40933934782396897
Percentage of cicuits per modulation,1,32QAM,all, ,0.19901427931350205,0.19818994827031924,0.19818020633420685,0.1976391986520837,0.19803976968268042
Percentage of cicuits per modulation,1,64QAM,all, ,0.12436444392496056,0.12280684663269978,0.12372258862726378,0.12269544299112752,0.12495981138141678
Percentage of cicuits per modulation,2,4QAM,all, ,0.005824219778933299,0.005763716865942382,0.005843617384517829,0.005871853145147918,0.006332448676918273
Percentage of cicuits per modulation,2,8QAM,all, ,0.26812873769548207,0.2700462267647116,0.2702404760743378,0.27159759273528866,0.26871438607446724
Percentage of cicuits per modulation,2,16QAM,all, ,0.40896364008858277,0.4036162203280735,0.4058631286278718,0.40499205056426363,0.40570603387713683
Percentage of cicuits per modulation,2,32QAM,all, ,0.1954479381091285,0.19600538337006768,0.19517096726988928,0.19433688050486234,0.19620833658574663
Percentage of cicuits per modulation,2,64QAM,all, ,0.12163546432787332,0.12456845267120482,0.12288181064338324,0.12320162305043746,0.12303879478573101
Percentage of cicuits per modulation,3,4QAM,all, ,0.00866029362891717,0.008334310391995935,0.008969310887258303,0.008554186278147765,0.007517769272826681
Percentage of cicuits per modulation,3,8QAM,all, ,0.2717240435556077,0.27438738421854847,0.272948441118135,0.274114797961057,0.27525775208935405
Percentage of cicuits per modulation,3,16QAM,all, ,0.40494203663519246,0.4042287098917419,0.4040488915377776,0.4012948460051169,0.4025033195344841
Percentage of cicuits per modulation,3,32QAM,all, ,0.19303853146443023,0.19155235080314223,0.19127690549003898,0.19279143800167958,0.1929332968835429
Percentage of cicuits per modulation,3,64QAM,all, ,0.12163509471585245,0.12149724469457146,0.1227564509667901,0.12324473175399879,0.12178786221979224
Percentage of cicuits per modulation,4,4QAM,all, ,0.008349604105140256,0.009105464260807213,0.008831648541648246,0.008704954070817304,0.009557581234529095
Percentage of cicuits per modulation,4,8QAM,all, ,0.2730644322563554,0.27212274205113596,0.2720029864528995,0.2742011462667818,0.27412478880986996
Percentage of cicuits per modulation,4,16QAM,all, ,0.40512750071133524,0.4036755822291198,0.40438929985362454,0.4020668132213237,0.40501355545951045
Percentage of cicuits per modulation,4,32QAM,all, ,0.19129521884596892,0.19317925093559382,0.19230202469717958,0.19219596451283663,0.18866645711366942
Percentage of cicuits per modulation,4,64QAM,all, ,0.12216324408120015,0.12191696052334319,0.12247404045464816,0.12283112192824056,0.12263761738242113


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,7.788768595685022E-5,5.841292093811151E-5,8.762535293544933E-5,3.89377774316642E-5,4.867174799715757E-5
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,1.9471921489212554E-4,1.7523876281433454E-4,1.2656995424009348E-4,7.78755548633284E-5,1.7521829278976725E-4
